Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Overdoses on heroin in Season 7	Pennsatucky	Pennsatucky	0	10	Stupid	Heroin overdose kills her and devastates those who care about her with no benefit to anyone.
Frequently justifies herself with incorrect Bible quotes	Pennsatucky	Other inmates / listeners	40	20	Bandit	Gains some self-justification/status while misleading and irritating others.
Tries to turn over a new leaf in Season 2	Pennsatucky	Pennsatucky & fellow inmates	70	70	Intelligent	Her deliberate reform improves her life and makes her safer and easier to live with.
Wants to own up to her mistakes and be decent during the riot	Pennsatucky	Fellow inmates	65	65	Intelligent	Accepting responsibility and trying to behave decently benefits her conscience and the group.
Shoots an abortion clinic worker for “disrespecting” her	Pennsatucky	Clinic worker	10	0	Bandit	She gratifies her ego and gains notoriety but destroys another’s life and harms society.
Studies/learns the term “hijab” from a bigoted pastor	Pennsatucky	Pennsatucky	55	10	Bandit	Gains vocabulary/status within her subculture but the context reinforces prejudice toward Muslims.
Quickly buys into her own press as a pro-life icon and becomes a “holy warrior”	Pennsatucky	General public / pro-lifers	60	20	Bandit	She gains identity and support while spreading a false, harmful narrative about her crime.
Is antagonistic toward Piper in Season 1	Pennsatucky	Piper	40	30	Bandit	Her hostility bolsters her status and venting but creates stress and danger for Piper.
Uses information about Linda to get transferred to Florida	Pennsatucky	Linda	75	25	Bandit	She secures a better placement for herself by coercing Linda, to Linda’s detriment.
Helps Nicky through detox, providing bags and buckets	Pennsatucky	Nicky	70	85	Intelligent	She gains warmth and purpose while Nicky gains crucial support through withdrawal.
Befriends Suzanne and acts as “Cloudcuckoolander’s minder”	Pennsatucky	Suzanne	75	85	Intelligent	She gains meaningful companionship and Suzanne gets stability and care.
Continues collecting money from extremists who think she’s a pro-life hero	Pennsatucky	Pro-life extremists	80	25	Bandit	She receives ongoing financial support while they invest in a false, violent “hero.”
Has a brief crisis of faith after psych ward	Pennsatucky	Pennsatucky	45	45	Helpless	Inner turmoil harms her stability without clear benefit yet to herself or others.
Relapses into heroin in Season 7 after thinking she failed her GED	Pennsatucky	Pennsatucky	5	10	Stupid	Relapse severely damages her and contributes to her eventual death without helping anyone.
Becomes a Churchgoing Villain, militantly religious	Pennsatucky	Fellow inmates	60	20	Bandit	Her militant religiosity gives her identity and leverage while making others’ lives harder.
Finds she enjoys being the “water lady” and helping hot, tired prisoners	Pennsatucky	Working prisoners	75	80	Intelligent	She feels good and purposeful while others get needed water and morale.
Helps Nicky withdraw from drugs in Season 4	Pennsatucky	Nicky	70	85	Intelligent	Again she gains fulfillment and Nicky gains concrete aid with recovery.
Pulls out her IV at abortion #5 and shoots the nurse after a snarky comment	Pennsatucky	Nurse	10	0	Bandit	She asserts control and rage at the cost of a life and her own long-term prospects.
Accepts legal aid and support from pro-lifers who believe she killed for their cause	Pennsatucky	Pro-life supporters	80	30	Bandit	She gains substantial legal and material support while they are misled into backing a lie.
Makes little cross memorials for her aborted fetuses	Pennsatucky	Pennsatucky	40	50	Helpless	Grieving ritual soothes her somewhat but keeps her in guilt; no real harm to others.
Allows Big Boo’s reasoning to pull her out of her abortion guilt funk	Pennsatucky	Pennsatucky	70	70	Intelligent	Letting herself be consoled improves her mental health and reduces emotional burden on others.
Lets Healy help her grow out of her hair-trigger temper	Pennsatucky	Pennsatucky & fellow inmates	75	75	Intelligent	Managing anger improves her own stability and makes her less dangerous to others.
Makes a concerted effort to be calmer, more positive, and less bigoted	Pennsatucky	Fellow inmates	80	80	Intelligent	Her sustained effort improves her life and significantly eases social tensions.
Gradually sheds prejudices after befriending LGBT inmates and people of color	Pennsatucky	LGBT inmates / POC inmates	85	85	Intelligent	She gains richer relationships and others gain reduced hostility and increased support.
Becomes best friends and hetero life-partners with Big Boo	Pennsatucky	Big Boo	85	85	Intelligent	Their reciprocal friendship provides mutual support and emotional benefit.
Bonds with Healy over distrust of lesbians and forms a friendship	Pennsatucky	Healy	65	40	Bandit	She gets a powerful ally; he gains connection, but it rests on shared prejudice that harms unseen targets.
Helps Nicky withdraw from drugs (season 4 restatement)	Pennsatucky	Nicky	72	88	Intelligent	Reinforces her role as helpful caretaker with strong net benefits for Nicky.
Forms a quasi-detective duo with Suzanne and enjoys her company	Pennsatucky	Suzanne	75	80	Intelligent	Both gain companionship and constructive shared activity.
Studies enough in prison to earn her GED	Pennsatucky	Pennsatucky	90	60	Intelligent	Her education greatly improves her potential and sets a positive example for others.
Puts on a convincing disguise as a young boy while on the run	Pennsatucky	Authorities / public	70	20	Bandit	She escapes or prolongs freedom while undermining lawful custody.
Accepts candy in return for sexual favors	Pennsatucky	Whoever trades candy	35	20	Helpless	She compromises her bodily autonomy and dignity for minor material gain and contributes to exploitative dynamics.
