Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Amy reacts devastatedly when Bender bakes her a pony for brunch	Amy	Baked pony / Bender	10	20	Helpless	Her strong emotional reaction hurts herself while not helping anyone and arguably dampens the social situation.
Amy hooks up with sensitive Kif	Amy	Kif	80	80	Intelligent	They form a stable, mutually supportive long-term relationship that benefits both.
Amy expresses distaste for bad boys and desire for a good guy	Amy	Herself / potential partners	70	70	Intelligent	Stated preference aligns with later healthy relationship with Kif and discourages harmful partners.
Amy keeps her eyes on bad boys and flirts with them despite being with Kif	Amy	Kif	55	20	Bandit	She gets ego and excitement while undermining Kif’s feelings and the relationship.
Kif breaks up with Amy over her bad-boy flirting	Kif	Amy	40	30	Helpless	He preserves some self-respect but loses a valued relationship, and Amy is also hurt.
Amy starts a robosexual affair with Bender after breakup	Amy	Bender / Kif	70	40	Bandit	She gains pleasure and companionship with Bender but at some cost to Kif and social stability.
Kif acts “bad” in his own way to make up with Amy	Kif	Amy	75	75	Intelligent	He adapts to reconcile the relationship, boosting both his bond and her satisfaction.
Amy and Fry remain close friends after breaking up	Amy	Fry	85	85	Intelligent	They salvage a positive friendship that benefits both without romantic strain.
Amy and Bender remain good friends and dance together after breakup	Amy	Bender	80	80	Intelligent	They maintain a fun, supportive friendship despite past romance.
Amy accuses Leela of not being ladylike enough	Amy	Leela	60	35	Bandit	She reinforces her own feminine self-image while passively undermining Leela.
Amy in Leela’s body overeats because it’s not her own body	Amy	Leela	75	5	Bandit	She enjoys indulgence at the direct physical expense of Leela’s body.
Amy’s overeating leaves Leela’s body gigantic by episode’s end	Amy	Leela	60	0	Bandit	She has enjoyed herself but leaves Leela with severe physical consequences.
Amy’s appetite is killed after seeing Fry and Leela have sex in others’ bodies	Amy	Herself	10	50	Helpless	The traumatizing sight harms her while at least stopping her harmful overeating.
Amy repeatedly removes Zoidberg’s restraints despite being injured	Amy	Amy / Others	5	15	Stupid	She keeps harming herself and enabling danger with no gain.
Amy dates Fry because of shared ditzy, rebellious traits	Amy	Fry	70	70	Intelligent	Both enjoy companionship and bonding over similarities.
Fry dumps Amy for “suffocating” him	Fry	Amy	55	35	Bandit	He regains space at the cost of hurting Amy and ending a functioning relationship.
Amy loves and commits to raising Kif’s children despite difficulty	Amy	Kif’s children	90	85	Intelligent	She accepts hard work for strong emotional and familial rewards for herself and the kids.
Amy latches onto her swamp-emerged children immediately years later	Amy	Children	95	90	Intelligent	Her full emotional investment benefits her happiness and their sense of being loved.
Amy brings attention to her cleavage-window outfit as an explanation for time skips	Amy	Bystanders	60	60	Intelligent	She offers a (joking) explanation and displays self-aware humor with no harm.
Amy’s parents attempt to forcibly split up her relationship with Bender	Mr. & Mrs. Wong	Amy & Bender	20	5	Stupid	They damage Amy’s autonomy and happiness without gaining anything clear themselves.
Amy defends Kif as not scrawny when her parents insult him	Amy	Kif	70	70	Intelligent	She supports her partner’s dignity and asserts her own choice.
Amy fails at haggling by confusing it with bidding at auctions	Amy	Herself / seller	30	55	Helpless	She likely overpays, helping the seller at her own expense.
Amy flirts with all men	Amy	Various men	65	40	Bandit	She gains attention and fun, but can create awkwardness or strain existing relationships.
Amy suggests an end-of-the-world orgy when Earth faces death	Amy	Crew	65	40	Bandit	She seeks pleasure and distraction while potentially destabilizing group dynamics and commitments.
Amy changes clothes in preparation for the proposed orgy	Amy	Herself	70	45	Bandit	She readies herself for pleasure at minor potential social cost before others lose interest.
Amy accepts motherhood by end of “Kif Gets Knocked Up a Notch” out of love	Amy	Kif & children	90	85	Intelligent	She sacrifices some party lifestyle for deep relational and familial rewards.
Amy becomes fully invested as a parent when the children emerge	Amy	Children	95	90	Intelligent	Strong commitment enhances her fulfillment and the children’s well-being.
Bender burns Amy’s longer hair back to familiar style by burping fire	Bender	Amy	55	20	Bandit	He likely finds it amusing but causes cosmetic harm and distress to Amy.
Amy dates creatures that aren’t even humanoid	Amy	Non-humanoid partners	70	60	Intelligent	She pursues broad romantic/sexual experiences, generally benefiting both sides without shown harm.
Amy kisses Leela in Bender’s Game	Amy	Leela	60	55	Intelligent	In-context playful intimacy seems mutually enjoyable with no lasting downside shown.
Amy proposes an “end-of-the-world orgy” again when Earth faces death	Amy	Crew	65	40	Bandit	She tries to engineer group pleasure with little regard for others’ boundaries or consequences.
Amy cursing in Cantonese when angry	Amy	Those she curses at	55	35	Bandit	She vents and feels better while verbally harming or insulting others slightly.
Amy wears a tracksuit to rebel against her parents’ demand to be ladylike	Amy	Her parents	70	40	Bandit	She asserts independence and comfort at the cost of antagonizing her parents’ wishes.
Amy frequently insults Leela yet still socializes and invites her to wedding	Amy	Leela	65	60	Bandit	She maintains a friendship but often gains amusement or superiority through barbed comments that hurt Leela.
Amy abandons Leela to go for “coffee” with guys	Amy	Leela	60	30	Bandit	She gains romantic/sexual opportunity while disregarding her friend’s feelings and time.
Amy acts more masculine to fill the void of her father wanting a son	Amy	Herself / father	40	35	Helpless	Her self-presentation is driven by unmet parental approval, limiting her authenticity without clear benefit to him.
