Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Dwight tries to fire Stanley, causing Stanley’s first on-screen laugh	Dwight	Stanley	30	10	Bandit	Dwight attempts to remove Stanley (benefit to Dwight), clearly distressing Stanley, though the story only highlights Stanley’s rare laugh as a side-effect.
Stanley laughs at Dwight trying to fire him	Stanley	Dwight	60	40	Intelligent	Stanley gets emotional relief and amusement while causing only mild social embarrassment to Dwight.
Stanley gets along with Michael on Pretzel Day	Stanley	Michael	70	70	Intelligent	Cooperating for Pretzel Day improves Stanley’s mood and creates a rare positive interaction with Michael.
Stanley delivers a “That’s what she said” joke with Michael on Pretzel Day	Stanley	Michael & nearby coworkers	75	75	Intelligent	The shared joke gives Stanley enjoyment and strengthens camaraderie without harming anyone.
Stanley laughs at Ryan’s inability to talk to his clients while driving back	Stanley	Ryan	65	30	Bandit	Stanley gains amusement and relief while Ryan is implicitly belittled for incompetence.
Stanley reacts strongly to “Scott’s Tots” situation	Stanley	Michael & situation	40	10	Helpless	His reaction vents honest disgust but gives him little benefit and mostly highlights how bad the situation is for others.
Stanley laughs at Michael’s rapid-fire roast in “Stress Relief”	Michael	Stanley & office	65	60	Intelligent	Michael’s roasting entertains Stanley and the room, improving everyone’s mood with no serious downside shown.
Stanley joins office mocking of Michael after Koi Pond incident	Stanley	Michael	60	35	Bandit	Stanley gains amusement and group bonding at Michael’s expense through ridicule.
Stanley enjoys Dwight’s apparent misfortune in the meatball prank	Stanley	Dwight	70	30	Bandit	He’s entertained by Dwight’s over-loaded desk, a gain for him tied to Dwight’s inconvenience.
Stanley actually enjoys Jim’s gullibility and free food during meatball ruse	Stanley	Jim	85	15	Bandit	He profits in food and amusement while exploiting Jim’s gullibility, mildly harming Jim’s resources.
Stanley participates in Dunder Mifflin billboard defacement gag involving Dwight and Andy	Stanley	Dwight & Andy	75	25	Bandit	He gains fun and mischief while publicly embarrassing coworkers.
Stanley explodes at Ryan for being around his daughter	Stanley	Ryan	60	45	Intelligent	He protects his daughter and scares Ryan off, with Ryan’s fear being a cost but aligned with Stanley’s protective goal.
Stanley suggests “sell better” in the Osprey strategy meeting	Stanley	Sales team & Michael	40	35	Helpless	His lazy non-contribution slightly harms his standing and fails to help the team improve against a rival.
Stanley refuses to renew client contract because he doesn’t want to take the stairs	Stanley	Client/Dunder Mifflin	20	15	Stupid	He risks his job security and income for trivial comfort while endangering a client relationship and company revenue.
Stanley coasts on returning customers and caps his commission quickly	Stanley	Dunder Mifflin	75	45	Bandit	He maximizes income for minimal effort while contributing only the bare minimum to the firm’s broader performance.
