Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Claire becomes infected and befriended by the Man in Black	Claire	Man in Black	20	10	Helpless	Her vulnerability leads her to ally with a corrupting entity, harming her sanity and later others with little benefit to herself.
Claire becomes murderous and insane, willing to cut Kate’s throat over Aaron	Claire	Kate	10	5	Stupid	Her madness drives her to nearly kill a former friend over a delusion, endangering herself and others without real gain.
Claire kills two Others without flinching	Claire	Others	40	5	Bandit	She efficiently kills enemies, arguably aiding her faction’s survival but gravely harming the victims.
Man in Black corrupts Claire into a rifle‑toting jungle‑dweller	Man in Black	Claire	80	5	Bandit	He gains a loyal, dangerous follower while severely damaging her mental health and moral compass.
Ethan kidnaps pregnant Claire	Ethan	Claire	70	5	Bandit	He secures his objective in taking her, while traumatizing and endangering her.
Ethan administers drugs to Claire to keep her passive	Ethan	Claire	65	5	Bandit	The control helps his agenda but worsens her condition and leads to trauma and amnesia.
Claire wanders off with the Man in Black at night, leaving Aaron alone	Claire	Aaron	5	10	Stupid	Abandoning her baby for a manipulator endangers Aaron and herself with no compensating benefit.
Claire is kidnapped while pregnant	Unknown kidnappers	Claire	10	5	Bandit	Her captors pursue their goal at serious risk to her and her unborn child.
Claire wanders off into the jungle and vanishes near end of Season 4	Claire	Claire’s allies	15	20	Stupid	She isolates herself, worsening her future state and removing support, which also harms the group’s cohesion.
Survivors act protectively toward Claire	Other survivors	Claire	55	70	Intelligent	Their protection slightly costs them but significantly safeguards a vulnerable member.
Miles questions Sawyer, “What are you, her big brother?”	Miles	Sawyer	55	60	Intelligent	His teasing highlights Sawyer’s protectiveness, reinforcing social bonds with no real harm.
Man in Black turns Claire into his co‑dragon with Sayid	Man in Black	Claire and Sayid	80	10	Bandit	He gains powerful lieutenants while further corrupting and endangering them and others.
Man in Black informs Claire that Christian is her father and Jack is her half‑brother	Man in Black	Claire	40	30	Helpless	The truth has mixed value but appears weaponized to serve his manipulation more than her wellbeing.
Claire blames Kate for “taking” Aaron, ignoring her own choice to leave	Claire	Kate	20	25	Stupid	Her misplaced blame strains relationships and entrenches her delusion without helping her.
Claire refuses to be party to the Man in Black’s plan to murder her friends	Claire	Her friends	60	85	Intelligent	She protects her friends’ lives and regains some agency, with modest risk to herself but large benefit to others.
Man in Black abandons Claire after she refuses to help him kill her friends	Man in Black	Claire	60	15	Bandit	He avoids a resistant subordinate and potential liability, leaving her more isolated and unstable.
Claire becomes ruthlessly handy with a gun and booby traps after isolation	Claire	Others (general)	50	20	Bandit	Her skills increase her personal survivability but make her more dangerous and unpredictable to others.
Claire develops a Kubrick Stare mainly toward Kate	Claire	Kate	30	30	Stupid	Her menacing behavior reflects deepened instability, undermining trust without providing real advantage.
Claire recovers somewhat by the Grand Finale	Claire	Others around her	65	75	Intelligent	Her gradual recovery benefits her own wellbeing and improves her interactions with others.
Christian secretly supports Claire’s mother via mortgage and medical bills	Christian Shepherd	Claire’s mother	70	80	Intelligent	He takes on financial burdens that help his secret family, with some personal cost but large benefit to them.
