Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Homer causes a nuclear meltdown in a simulator truck with no nuclear material	Homer	Homer / nuclear plant staff / town safety	10	5	Stupid	He endangers others and looks incompetent, gaining no benefit from failing a simple safety exercise.
Homer becomes situationally narcissistic when he gets items like a gun or goes parasailing	Homer	People around him (family, community)	60	30	Bandit	His ego boost is a mild self-gain while making him more obnoxious and potentially less safe to others.
Homer performs complex acrobatics to escape Ned in “Sex, Pies, and Idiot Scrapes”	Homer	Homer / Ned Flanders	70	40	Intelligent	He protects himself using nonlethal skill, only mildly inconveniencing Ned.
Abe distracts high‑school Homer during gymnastics, causing him to trip	Abe Simpson	Homer	65	20	Bandit	Abe’s put‑down entertains himself while directly sabotaging Homer’s athletic success.
Homer performs dangerous but impressive acrobatics in astronaut training	Homer	Homer / NASA program	55	45	Intelligent	He trains seriously enough to benefit himself and the mission, despite comedic clumsiness.
Homer performs ninja‑like acrobatics while practicing killing snakes for Whacking Day	Homer	Snakes / Springfield environment	55	20	Bandit	He hones impressive skills but uses them in mass snake‑killing, harming animals for dubious civic benefit.
Homer does advanced acrobatics as Pie Man to escape the police	Homer	Police	65	45	Intelligent	He avoids arrest with skill in a vigilante role that generally targets wrongdoers, only mildly harming police aims.
Homer does a standing backflip searching for “invisible crops”	Homer	Homer	55	55	Intelligent	He briefly gains physical advantage and comic energy without harming or helping others noticeably.
Homer slides down a cooling pipe and lands perfectly in his car in “Marge vs. the Monorail”	Homer	Homer	60	55	Intelligent	He uses agility for quick, harmless transportation, benefiting only himself.
Homer street‑fights and batters opponents who threaten his family	Homer	Threatening opponents	75	55	Intelligent	He uses strength and dirty tricks to protect his family, with justified harm to aggressors.
Homer frequently strangles Bart and threatens his children’s lives	Homer	Bart / Simpson children	20	5	Stupid	He vents rage in a way that endangers his kids and worsens relationships, with no real benefit.
Abe repeatedly berates Homer harshly as a father	Abe Simpson	Homer	40	10	Stupid	Abe’s venting may feel cathartic but mainly damages his son and their bond, offering little genuine gain.
Mona leaves Homer for activism and later repeatedly prioritizes causes over him	Mona Simpson	Homer	45	20	Helpless	Her activism may help others, but it clearly harms her relationship with her son and her own later regret.
Mona once tells Homer he is “a big disappointment”	Mona Simpson	Homer	45	15	Stupid	The remark offers no real benefit to her and emotionally harms young Homer.
Homer drinks heavily and hangs out at Moe’s so often the school lists Moe’s as contact number	Homer	Simpson family (esp. kids)	35	20	Stupid	His alcoholism gives him short‑term pleasure but damages health, finances, and parental reliability.
Homer gets drunk on weekdays despite Marge’s concern	Homer	Homer / Marge	30	25	Stupid	He insists he’s “not drunk” while harming his own health and marriage with no real upside beyond momentary buzz.
