Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Jon continuously wears coat-of-plate armor after resurrection	Jon Snow	Jon Snow	70	60	Intelligent	Staying armored reduces his risk of being stabbed again with minimal cost to others.
Jon teaches fellow Night’s Watch recruits how to fight better	Jon Snow	Night’s Watch recruits	65	85	Intelligent	He gains their loyalty and competence while greatly improving their survival chances.
Jon leads the raid on the mutineers at Craster’s Keep	Jon Snow	Mutineers at Craster’s Keep	70	80	Intelligent	He removes a lethal internal threat and restores order, benefiting himself and the Watch.
Jon takes temporary command during the Battle of Castle Black and leads a sortie	Jon Snow	Night’s Watch and attacking wildlings	60	75	Intelligent	His leadership and combat skill help win the battle and enhance his standing.
Jon kills the Magnar of Thenn in combat	Jon Snow	Magnar of Thenn	65	70	Intelligent	Eliminating a dangerous enemy leader aids the defense and bolsters his reputation.
Jon forges alliance with Free Folk by leading Hardhome evacuation	Jon Snow	Free Folk and the living	40	90	Intelligent	He risks mutiny and later pays for it, but massively reduces enemy wight numbers and saves thousands.
Jon’s prowess at Battle of the Bastards leads Northern lords to crown him King in the North	Jon Snow	Northern lords	80	75	Intelligent	His battlefield feats give him a crown and provide the North a unifying war leader.
Melisandre resurrects Jon	Melisandre	Jon Snow	30	80	Intelligent	He’s dragged back from peace of death but becomes crucial to saving the living.
Lord Commander Mormont appoints Jon as his steward to groom him for command	Jeor Mormont	Jon Snow	70	80	Intelligent	Mentoring Jon secures a talented future leader, strengthening both Jon and the Watch.
Jon chooses to return to the Night’s Watch after time with the wildlings	Jon Snow	Night’s Watch	40	60	Helpless	He abandons a life and love with Ygritte to resume a burdensome duty that does aid the Watch.
Jon allows Free Folk through the Wall against factional opposition	Jon Snow	Free Folk and realm	20	85	Intelligent	He greatly benefits humanity’s chances against the dead at heavy personal cost, including his murder.
Night’s Watch mutineers kill Jon for letting wildlings through	Night’s Watch mutineers	Jon Snow	10	10	Stupid	They remove their best leader and defender based on ignorance, worsening survival odds for all.
