Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Ashley accepts working with Homelander in exchange for promotions and prestige	Ashley	Homelander	72	10	Bandit	Career advancement and safety for her at the cost of helping enable a dangerous tyrant.
Ashley refuses Annie’s offer of a Heel–Face Turn, insisting she is CEO now	Ashley	Annie/Starlight	40	20	Stupid	She clings to a hollow title, stays trapped with Homelander, and blocks a chance to change sides, hurting herself and others.
Ashley remains complicit in Homelander’s crimes to avoid his wrath	Ashley	General public	60	5	Bandit	She preserves her life and position by supporting a murderous Supe regime that harms many others.
Ashley cusses out and degrades her underlings	Ashley	Her staff	55	15	Bandit	It vented stress and reinforced her authority but demoralized and harmed subordinates.
Homelander brings Ashley back in Season 2 to replace Stillwell as manager	Homelander	Ashley	80	10	Bandit	He gains a pliable puppet manager while putting her in a dangerous, degrading role and enabling his control over Vought.
Homelander promotes Ashley to CEO as his proxy	Homelander	Vought/Board	85	10	Bandit	He consolidates power through a controllable figurehead while exposing Vought and Ashley to more chaos.
Homelander later declares Sage will run the company and leaves Ashley a title-only CEO	Homelander	Ashley	30	20	Bandit	He undercuts her remaining agency to tighten control, leaving her paid yet even more powerless and trapped.
Ashley wears a wig to cover her balding scalp and denies it to Homelander	Ashley	Herself image	40	50	Helpless	She protects her vanity short-term but worsens her humiliation once exposed and does nothing for others.
Ashley copes with stress by tearing out her own hair	Ashley	Ashley	5	50	Helpless	Her self-harming tic destroys her health and appearance without helping anyone.
Ashley takes Compound V out of desperation on hearing she’s on the purge list	Ashley	Herself	45	30	Stupid	She barely survives but suffers a painful, risky transformation with unknown function and no benefit to others.
Young Ashley chooses a corporate Vought path instead of her earlier hippie ideals	Ashley	Herself/ideals	60	30	Bandit	She gains status and money while contributing to a reactionary and later fascistic system hurting others.
Ashley returns to Vought after being fired, working directly under Homelander and Stormfront	Ashley	Herself	55	20	Bandit	She regains a powerful job but exposes herself to extreme abuse and helps run a toxic Supe apparatus.
Ashley presents a condescendingly friendly mask while disdaining Starlight	Ashley	Starlight	60	25	Bandit	The fake niceness keeps her PR role functional at the cost of manipulating and undermining Starlight.
