Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Jeff repeatedly choosing not to confess his feelings to Annie to preserve his emotional safety	Jeff	Annie	55	40	Bandit	He avoids vulnerability (short‑term self‑protection) but withholds clarity Annie could benefit from.
Jeff referencing his abusive dad and showing long-term damage from that upbringing	Jeff's father	Jeff	5	10	Stupid	Abuse leaves Jeff traumatized with no indicated benefit to the father.
Jeff’s adulthood pattern of lashing out, status-seeking, and defensiveness caused by his upbringing	Jeff	People around Jeff	30	35	Stupid	His maladaptive coping (status obsession, lashing out) harms him and strains others with little benefit.
Jeff producing a burst of love to bypass Raquel and open the computer lab, freeing the group and saving Greendale	Jeff	Study group & Greendale	90	95	Intelligent	He acts from genuine love, saving himself, his friends, and the school.
Jeff confessing he’s deeply in love with Annie and begging her to stay in Greendale	Jeff	Annie	70	70	Intelligent	Honest vulnerability helps him process feelings and honors Annie’s importance.
Jeff choosing to let Annie go to pursue her FBI opportunity despite his own pain	Jeff	Annie	65	95	Helpless	He sacrifices his own desire so Annie can thrive, greatly benefiting her while hurting himself emotionally.
Jeff repeatedly needing to relearn lessons about treating his friends better and accepting Greendale	Jeff	Study group	40	45	Stupid	His cyclical backsliding causes repeated friction and slows his own growth without clear gain.
Jeff forgetting his reconciliation with estranged friend Kim after reuniting with him	Jeff	Kim	35	30	Stupid	He erases the benefit of hard‑won reconnection, leaving both with little to show for it.
Jeff ending tense moments with Annie by awkwardly patting her on the head	Jeff	Annie	60	60	Intelligent	Though awkward, it is a gentle, de‑escalating gesture that soothes both of them.
Jeff telling Annie “We can’t keep doing this, kiddo” and gently chinning her to mark their relationship must change	Jeff	Annie	70	75	Intelligent	He names the unhealthy pattern and signals a shift while remaining tender and respectful.
Jeff nearly overdosing on anti-aging pills mixed with alcohol due to insecurity about aging	Jeff	Jeff	2	30	Stupid	He risks his life for vanity and shakes his friends with no upside.
Jeff lying about his real age and later revealing he is actually 40	Jeff	Study group	45	60	Helpless	The lie reflects insecurity and mild self‑damage; the later honesty clarifies things and helps trust.
Jeff relying on alcohol “to get through the day” at Greendale	Jeff	Jeff	20	35	Stupid	Habitual drinking erodes his health and coping with no real benefit.
Jeff organizing a secret speakeasy so he and others can keep drinking on campus	Jeff	Greendale community	25	20	Stupid	He enables unhealthy behavior and risks consequences for little beyond continued intoxication.
Jeff spending entire classes doing nothing but drinking instead of teaching	Jeff	His students	10	15	Stupid	His alcoholism undermines his job and deprives students of education.
Jeff openly ogling Annie when she wears revealing outfits	Jeff	Annie	60	35	Bandit	He gratifies himself at the cost of objectifying her and potentially making her uncomfortable.
Jeff repeatedly initiating “almost kiss” moments with Annie that never resolve	Jeff	Annie	55	45	Stupid	The near‑kisses feed his emotional needs but prolong ambiguity and tension without real payoff.
Jeff consistently rescuing or protecting Annie whenever she’s in danger	Jeff	Annie	80	95	Intelligent	He risks himself to safeguard her, strengthening their bond and literally saving her.
Jeff exaggerating or embracing border‑line alcoholism to cope with struggles in Season 5–6	Jeff	Jeff & colleagues	25	40	Stupid	His coping mechanism harms his health and modeling around others without real long‑term benefit.
Jeff lying about having a valid college degree to practice law	Jeff	Clients & legal system	80	15	Bandit	He gains a lucrative career and status at the expense of justice and institutional integrity.
Jeff and his partner “put trash back on the streets” as amoral attorneys	Jeff	Clients / public safety	75	10	Bandit	They profit while enabling harmful people to remain free, endangering others.
Jeff later seeking to open a firm “to help the little guy”	Jeff	Prospective clients	80	85	Intelligent	He pivots to using his skills to benefit himself and vulnerable clients.
Jeff choosing not to fully develop relationships with either Annie or Britta by the finale	Jeff	Annie & Britta	55	50	Stupid	He preserves emotional safety but ends up alone, leaving everyone without clear relational resolution.
Jeff making an anguished love confession to Annie in the finale, then letting her go	Jeff	Annie	70	90	Intelligent	Honesty plus self‑sacrifice gives them closure and prioritizes her future.
Jeff attempting to function as a teacher while being apathetic and sometimes drunk in class	Jeff	His students	25	25	Stupid	His negligence undermines his career and his students’ learning.
Jeff faking appendicitis in seventh grade to get people to worry about him	Jeff	Classmates & family	60	20	Bandit	He gains attention at the cost of others’ time, worry, and likely resources.
Jeff keeping the get‑well cards from the fake appendicitis under his bed for decades	Jeff	Jeff	40	55	Helpless	Clinging to old proof of being cared for soothes him but keeps him emotionally stuck.
Jeff trying, repeatedly, to atone for his past manipulative behavior by protecting and helping the group	Jeff	Study group	75	80	Intelligent	His efforts improve his character and materially support his friends.
Jeff losing control in “Biology 101” and attacking the group’s table with an axe after being excluded	Jeff	Study group	15	10	Stupid	He indulges rage, alienating his friends and damaging property with no gain.
Jeff confronting bullies on campus, often reframing it as disliking obnoxious behavior	Jeff	Bullies	80	85	Intelligent	He protects victims and satisfies his own need for justice and control.
Jeff calling out his deadbeat father William, listing the emotional harm and confronting his abuse	Jeff	William	75	60	Intelligent	He gains personal closure and models accountability, even if it hurts his father’s ego.
Jeff delivering a blistering “Reason You Suck” speech to Cornelius Hawthorne in the hospital	Jeff	Cornelius	70	65	Intelligent	He powerfully defends Pierce and forces accountability, even though Cornelius then dies.
Jeff dismissing Cornelius’s heart attack as fake, causing him to be ignored initially	Jeff	Cornelius	20	15	Stupid	His cynicism delays aid and adds guilt without helping anyone.
Jeff taking anti-aging pills combined with alcohol in “G.I. Jeff” to cope with turning 40	Jeff	Jeff	5	30	Stupid	He nearly kills himself in a fantasy‑fueled breakdown with no upside.
Jeff convincing everyone to establish a speakeasy after Frankie bans alcohol	Jeff	Greendale community	30	25	Stupid	He gets continued access to booze but risks others’ wellbeing and campus rules.
Jeff frequently ogling Annie yet simultaneously insisting she shouldn’t be sexualized	Jeff	Annie	50	35	Stupid	His hypocritical behavior creates mixed messages and discomfort without real benefit.
Jeff getting extremely jealous of Annie’s romantic interests (Vaughn, Rich, etc.)	Jeff	Annie’s potential partners	45	30	Stupid	His jealousy brings him no real advancement and undermines others’ relationships.
Jeff scheming with Britta to break up Annie and Vaughn	Jeff	Vaughn & Annie	60	20	Bandit	He tries to remove a rival to satisfy his own feelings at the expense of their relationship stability.
Jeff manipulating Troy to develop a crush on Annie to divert her from Vaughn	Jeff	Troy & Annie	55	25	Bandit	He uses Troy as a pawn to control Annie’s love life, harming trust in the group.
Jeff plotting to keep Rich out of the study group so he won’t be near Annie	Jeff	Rich	50	30	Bandit	He protects his own romantic prospects by excluding Rich from community benefits.
Jeff expressing a desire to stop being a “giant jerk” and turn over a new leaf in Season 1	Jeff	Everyone around him	70	70	Intelligent	Recognizing and resolving to improve his behavior benefits both him and others.
Jeff admitting to having commitment issues in “Interpretive Dance”	Jeff	Romantic partners	60	65	Intelligent	Honest self‑knowledge helps him and others navigate expectations more realistically.
Jeff confronting Pierce’s racist father in “Advanced Gay,” defending Pierce against his abuse	Jeff	Cornelius	75	80	Intelligent	He stands up for Pierce and releases his own pent‑up anger at bad fathers.
Jeff chasing down Pierce’s car and physically beating him after a deception about his dad visiting	Jeff	Pierce	15	10	Stupid	He vents rage violently, risking arrest and harming a friend for little gain.
Jeff buying Troy frozen yogurt after learning Joshua is racist, out of white guilt	Jeff	Troy	65	70	Intelligent	He channels guilt into a small kindness that comforts Troy and slightly eases his own conscience.
Jeff refusing to tolerate bullying and stepping in when he sees someone picked on	Jeff	Bullies	80	85	Intelligent	He protects others and reinforces a personal moral standard that strengthens his identity.
Jeff initially neglecting Annie’s debate prep until her opponent mocks her addiction, then getting involved	Jeff	Annie	70	80	Intelligent	Her mistreatment spurs him to help, benefiting both her performance and his growth.
Jeff faking appendicitis later as an adult example of manipulation (scissors story)	Jeff	His younger self (body)	10	30	Stupid	The earlier incident left him scarred physically and psychologically for attention.
Jeff living in his car after losing his condo and resisting more stable help	Jeff	Jeff	30	45	Helpless	His pride maintains independence but prolongs instability and depression.
Jeff deciding in Season 4 finale to open a law firm to “help the little guy” rather than return to amoral law	Jeff	Future clients	80	85	Intelligent	He aligns his career with ethical use of his talents, helping himself and others.
Jeff agreeing to a secret friends-with-benefits setup with Britta while hiding it from the group	Jeff	Britta & group	60	40	Bandit	He gains pleasure but fuels future trust issues and group drama.
Jeff forgetting who Kim is shortly after reuniting and repairing their estranged friendship	Jeff	Kim	25	25	Stupid	He discards the emotional work of reconnection, leaving both effectively back at zero.
Jeff trying to manipulate the study group for self-interest (e.g., chronic backstabbing moments)	Jeff	Study group	50	30	Bandit	He occasionally secures short‑term advantage but damages long‑term trust.
Jeff faking or exaggerating berserk anger to escape difficult conversations	Jeff	Conversation partners	55	45	Stupid	He avoids discomfort but prevents genuine resolution, wasting others’ emotional investment.
Jeff defending Annie from being mocked for her breakdown in high school	Jeff	External mockers	75	85	Intelligent	He protects her dignity and reinforces his own better instincts.
Jeff backing off defending Annie from Vaughn when she asserts her independence	Jeff	Annie	70	80	Intelligent	He respects her autonomy, building trust while showing care.
Jeff organizing Dungeons & Dragons for “Fat Neil” to prevent his suicide	Jeff	Neil	90	95	Intelligent	He uses his influence to save a life and atone for past harm.
Jeff choosing in “History 101” to endure grueling games to win seven class spots for his friends	Jeff	Study group	85	90	Intelligent	He literally risks injury to secure their shared future at Greendale.
Jeff deciding to become a Greendale professor when he can’t rebuild his law career ethically	Jeff	Himself & students	65	70	Intelligent	He carves out a stable, meaningful role that benefits his own life and his students.
Jeff drowning his sorrows in alcohol over being a professional failure instead of seeking healthier coping	Jeff	Jeff	25	40	Stupid	His avoidance worsens his mental state and alcoholism.
Jeff hitting a Rage Breaking Point at Thanksgiving and finally telling off William Sr. for his abuse	Jeff	William Sr.	75	60	Intelligent	He gains catharsis and sets boundaries, forcing his father to confront the damage done.
Jeff keeping his father’s boxing gloves as a memento	Jeff	Jeff	55	60	Helpless	They provide emotional comfort but also tether him to unresolved paternal hurt.
Jeff repeatedly stepping into a Papa Wolf role when Annie is threatened or in trouble	Jeff	Threats to Annie	85	95	Intelligent	He protects someone he loves, strengthening both her safety and his own sense of purpose.
Jeff almost killing himself in midlife panic in “G.I. Jeff,” then deciding to live and accept his age	Jeff	Jeff	60	75	Intelligent	Though the attempt is self‑destructive, the eventual acceptance leads to healthier self‑understanding.
Jeff giving repeated rousing “Winger speeches” that successfully motivate the group to act together	Jeff	Study group	80	85	Intelligent	He uses his rhetorical skill to inspire collective good outcomes.
Jeff repeatedly downplaying his romantic moments with Annie as “it doesn’t mean anything”	Jeff	Annie	45	40	Stupid	He preserves his emotional armor but deepens her confusion and stalls both their growth.
Jeff and Britta deciding to get engaged out of fear and loneliness rather than genuine readiness	Jeff	Britta	35	35	Stupid	The impulsive engagement soothes insecurity briefly but would trap them in a bad match.
Jeff then recognizing the engagement with Britta is wrong and backing out before it goes too far	Jeff	Britta	65	70	Intelligent	He averts a dysfunctional marriage, preserving both their chances at healthier futures.
Jeff choosing to support Annie’s FBI dream even though it leaves him alone at Greendale	Jeff	Annie	70	90	Intelligent	He chooses her happiness and growth over his fear of abandonment.
