Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
He keeps his slick, pomaded ’50s hairstyle into the early seventies	Don Draper	His colleagues and social milieu	55	45	Intelligent	Minor self-branding choice that keeps his persona consistent, mildly odd to others but not clearly harmful.
He cannot groom his hair as usual in one episode, striking colleagues as odd	Don Draper	Colleagues	40	55	Helpless	Temporary loss of composure slightly embarrasses him while only mildly amusing or interesting others.
Abigail takes Don in only because she wants a child	Abigail (stepmother)	Don	60	30	Bandit	She gains a wanted child but treats him poorly, harming his wellbeing.
She repeatedly calls him a “whore child”	Abigail	Don	55	10	Bandit	She vents her contempt, getting emotional discharge while seriously harming his self-worth.
Abigail beats young Don with a wooden spoon for “losing” his virginity to a prostitute	Abigail	Don	50	0	Stupid	She gains no real benefit and severely harms him physically and psychologically.
Aimee forces herself sexually on sick adolescent Dick while he is bedridden	Aimee	Young Don	60	0	Bandit	She takes what she wants sexually while inflicting major trauma and no benefit to him.
Abigail savagely beats Don after Aimee boasts she “took that boy’s cherry”	Abigail	Don	50	0	Stupid	Pure punitive violence; she gets no constructive gain and badly damages him.
Don drinks heavily, becoming an alcoholic called out by his nurse neighbor and Allison	Don	Himself and close others	20	20	Stupid	Alcoholism harms his health and relationships without giving lasting benefit.
He hits rock bottom in Season 6 and spends a night in jail due to drinking	Don	Himself	10	30	Helpless	His self-destructive spree jails him and upsets others but doesn’t clearly benefit anyone.
He asks Megan to track his alcohol intake	Don	Megan	65	65	Intelligent	An attempt at self‑regulation that modestly helps him and lowers burden on others.
He then drinks excessively behind Megan’s back	Don	Megan	30	25	Stupid	Deception plus relapse sabotages his own progress and hurts trust without real upside.
He takes over a dead man’s identity (Don Draper) to escape his past	Dick Whitman	Society/family of real Don	80	15	Bandit	Hugely improves his prospects while deceiving institutions and the dead man’s circle.
He deserts the army after switching dog tags	Dick Whitman	U.S. Army	75	20	Bandit	He protects himself and builds a new life while damaging military trust and duty.
He becomes a top-tier ad executive through work and talent	Don	Clients/family/society	90	80	Intelligent	Rags‑to‑riches career greatly benefits himself and provides value and prosperity to others.
He bullshits his way through a dual life to keep clients and his persona intact	Don	Clients and acquaintances	75	35	Bandit	He gains status and income but sustains relationships on deceit that can hurt others.
He lambasts tobacco publicly at work	Don	Tobacco clients	60	30	Bandit	He claims moral high ground or repositions himself while materially harming tobacco accounts.
He delivers an emotionally raw Hershey’s pitch revealing sincerity	Don	Hershey’s and colleagues	40	35	Stupid	Honesty brings him little concrete gain and destabilizes his job and client relationship.
He gives the impression of being a loving father early on despite being clueless	Don	His children	60	70	Intelligent	His efforts, though inept, provide some emotional support to the kids.
He later neglects his children through absence and forgetfulness	Don	His children	30	20	Stupid	He sacrifices their trust and his own paternal bond for short‑term impulses.
