Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
He cheats on Mickey while in a manic state	Ian	Mickey	20	10	Bandit	Ian gains short-term gratification while betraying Mickey and damaging their relationship.
He cheats on Trevor as soon as he sees Mickey again	Ian	Trevor	25	5	Bandit	Ian regains Mickey but severely harms Trevor and their relationship.
He and Mickey take part in an orgy	Ian	Orgy partners	60	40	Intelligent	Consensual group sex gives mutual pleasure with limited shown downsides.
He uses the Gallagher baseball bat to protect himself and siblings	Ian	Attackers	70	75	Intelligent	He protects himself and his family from attackers, harming only aggressors.
He can be scary when angry and confronts threats	Ian	Threatening others	60	55	Intelligent	His anger-based intimidation protects him and others without clear collateral harm.
He is protective of Debbie and Carl	Ian	Debbie and Carl	70	80	Intelligent	His protectiveness benefits his siblings with little cost to himself.
Devastated by Mickey marrying Svetlana, he runs away	Ian	Himself/Family	10	40	Helpless	His flight harms his own stability while indirectly freeing others of his support.
He helps Mickey realize he is gay and come to terms with it	Ian	Mickey	60	85	Intelligent	He gives Mickey crucial self-acceptance with no major downside to himself.
He beats the living crap out of his brother	Ian	Brother	30	10	Bandit	He proves his fighting ability and vents emotions while seriously harming his brother.
He refuses to fight back against Frank, fearing he’d kill him	Ian	Frank	55	65	Intelligent	He restrains himself, avoiding lethal harm to Frank and legal risk to himself.
He knocks down Mickey with two fingers	Ian	Mickey	55	30	Bandit	He demonstrates skill and dominance, physically hurting Mickey with little benefit to Mickey.
He decides to break up with Mickey and focus on EMT job and dating someone less complicated	Ian	Mickey	80	65	Intelligent	He pursues healthier work and relationships while releasing Mickey from a toxic dynamic.
He becomes a paramedic	Ian	Patients/Public	85	90	Intelligent	He gains stable employment and purpose while saving/helping others.
As paramedic, he loosens a mentally ill woman’s restraints against protocol	Ian	Mental-health patient	20	5	Stupid	His misplaced empathy breaks protocol, leading to her injury without benefiting anyone.
He assumes Jimmy’s dad is gay and dismisses bisexuality	Ian	Jimmy’s dad	55	20	Bandit	He keeps his simple worldview while invalidating another’s identity with no benefit to them.
He breaks up with Caleb for being bisexual	Ian	Caleb	50	25	Bandit	He maintains his rigid comfort zone while hurting Caleb and ending the relationship.
He tells Debbie she isn’t gay despite her lesbian relationships	Ian	Debbie	45	20	Bandit	He preserves his beliefs but undermines Debbie’s identity and autonomy.
He initially refuses to acknowledge his bipolar diagnosis and take medication	Ian	Himself/Close others	10	15	Stupid	His denial worsens his condition and burdens others without any real benefit.
He later accepts his diagnosis and begins taking his medication	Ian	Himself/Family	85	80	Intelligent	Treatment stabilizes him and reduces strain and risk for those around him.
He stops taking meds in season 8, leading to a manic episode and Gay Jesus movement and prison sentence	Ian	Public/Himself	5	10	Stupid	Noncompliance leads to legal trouble and social chaos, harming him and others.
He records a message to himself to go home and rest if bipolar symptoms affect work	Ian	Future Ian	80	75	Intelligent	He creates a self-safeguard that protects his health and workplace safety.
He tries to steal a helicopter in the Army	Ian	Army	20	10	Bandit	He seeks a thrill or advantage while seriously violating rules and endangering others.
He steals Lip’s identity to join the Army	Ian	Lip	25	15	Bandit	He gains enlistment at the cost of committing fraud and risking Lip’s legal/financial harm.
He blows up a van, resulting in a two-year prison sentence	Ian	Public/Property	10	5	Stupid	He commits property destruction that harms others and sends himself to prison.
He has a sexual relationship with his boss Kash	Ian	Kash	60	35	Bandit	He gains intimacy and perhaps favors in an imbalanced boss-employee dynamic with limited benefit and potential risk to Kash.
He gives lap dances for a living	Ian	Clients	75	70	Intelligent	He earns income while providing consensual entertainment to clients.
He constantly butts heads with Fiona and Lip while refusing medication	Ian	Fiona and Lip	25	20	Stupid	His confrontational behavior worsens relationships without bringing him real gain.
He stops taking meds again near end of season eight as Gay Jesus fame goes to his head	Ian	Community/Himself	15	10	Stupid	Ego-driven noncompliance destabilizes him and creates trouble for those around him.
