Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Rachel wears her cheerleader uniform at a party to get Joshua's attention	Rachel	Joshua	72	10	Bandit	She successfully gains his attention/interest but offers no benefit and some objectifying manipulation toward him.
Rachel falls down and bites her lip at the party	Rachel	Rachel	20	50	Helpless	Her attempt backfires physically on herself while not clearly affecting others.
Rachel rules her high school as a mean, arrogant popular girl	Rachel	High school peers	65	10	Bandit	She gains social dominance at the expense of classmates who experience her cruelty.
Rachel spreads a true rumor that Ross hooked up with the older librarian in high school	Rachel	Ross	60	15	Bandit	She gets social amusement/status from spreading gossip that hurts Ross’s reputation.
Rachel leaves Barry at the altar and runs away from her wedding	Rachel	Barry	80	40	Helpless	She averts a miserable, cheating marriage but causes significant short‑term harm and humiliation to Barry.
Rachel moves in with Monica after running away from her wedding	Rachel	Rachel & Monica	85	80	Intelligent	She gains housing, support, and growth while Monica regains a close friend and roommate.
Rachel works to get her first job and become less dependent on her parents	Rachel	Rachel & her parents	90	75	Intelligent	She becomes self‑sufficient and reduces dependence on her parents, benefiting all.
Rachel quits her waitress job in season 3 to pursue a career in fashion	Rachel	Rachel	88	70	Intelligent	Risky career shift pays off, leading to long‑term professional success with no shown harm to others.
Rachel eventually becomes an executive at Ralph Lauren	Rachel	Rachel & colleagues	95	80	Intelligent	She achieves major career success and likely contributes value to her company.
Rachel attempts to teach Joey to sail	Rachel	Joey	70	60	Intelligent	She gains insight about herself while giving Joey useful sailing skills despite some friction.
Rachel often cannot confess her feelings to people she likes	Rachel	Rachel	25	60	Helpless	Her shyness blocks her own romantic chances while leaving others largely unaffected or flattered.
Rachel tries to ruin or antagonize Ross’s girlfriends when jealous	Rachel	Ross & his girlfriends	40	15	Bandit	She may gain emotional relief or hope with Ross while actively undermining others’ relationships.
Rachel tries to sabotage Joey’s relationship with Charlie after falling for him	Rachel	Joey & Charlie	45	15	Bandit	Her crush drives behavior that risks her friendship with Joey and harms his relationship.
Rachel teaches Ben practical jokes and becomes his “Fun Aunt Rachel”	Rachel	Ben (and Ross)	75	65	Intelligent	She bonds positively with Ben though mildly annoying Ross without real harm.
Rachel bakes a half trifle/half shepherd’s pie dessert that tastes terrible	Rachel	Friends eating dessert	40	15	Helpless	She tries to contribute but creates an inedible dish that mostly harms diners’ enjoyment.
Rachel becomes a Fangirl around Joey’s soap-opera colleagues, embarrassing him	Rachel	Joey	55	35	Bandit	She enjoys herself meeting idols while causing Joey social embarrassment at work.
Rachel often deceives other characters successfully for her aims	Rachel	Various others	70	30	Bandit	Her quick‑witted lies typically get her what she wants at the expense of others’ trust or convenience.
Rachel loves soap operas and hides steamy romance novels for late-night reading	Rachel	Rachel	80	60	Intelligent	Her private guilty pleasures give her enjoyment without harming others.
Rachel plays high‑school mind games and “plays hard to get” with Joshua	Rachel	Joshua	60	30	Bandit	She enjoys control and flirtation while confusing and manipulating his expectations.
Rachel plays hard to get with Danny, misreading his response	Rachel	Rachel & Danny	40	55	Helpless	Her tactic backfires on her romantic interest while not really benefiting Danny.
Rachel encourages Monica to date billionaire Pete despite Monica not loving him	Rachel	Monica	65	30	Bandit	Rachel chases vicarious status/money fantasies while pressuring Monica toward a mismatched relationship.
Rachel gets very excited about a “money‑themed” wedding idea	Rachel	Her future wedding partner	55	40	Bandit	She enjoys the prospect of wealth display while pushing values that could burden a future spouse.
Rachel becomes upset at Ross’s hermaphrodite rumor about her	Rachel	Ross	60	40	Helpless	She protects her reputation emotionally but maintains a double standard, straining relations without broader gain.
Rachel spreads a rumor about Ross hooking up with the librarian and later defends it	Rachel	Ross	65	20	Bandit	She justifies prior gossip that harmed him, clinging to social benefit from the rumor.
Rachel declines pursuing Ross because he’s in a divorce while earlier almost crashing his wedding	Rachel	Ross	50	40	Helpless	Her inconsistent stance creates lost opportunity for herself and emotional confusion for him.
Rachel complains about men not respecting wedding vows while planning to sleep with Joey	Rachel	Her husband (alt timeline)	40	20	Bandit	She shields her self‑image while intending to cheat, harming her spouse’s trust.
Rachel asks Ross to take Emily to the opera then gets jealous when they hit it off	Rachel	Ross & Emily	35	20	Bandit	She loses ground romantically and emotionally while undermining their budding relationship.
Rachel forces Ross to skip a private farewell dinner with Emily to throw a faux party for Joshua	Rachel	Ross & Emily	35	10	Bandit	She pursues Joshua at the direct cost of Ross and Emily’s planned intimate goodbye.
