Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Leads the teachers' strike to get higher-quality education	Edna Krabappel	Students	72	80	Intelligent	She risks conflict to improve conditions and education quality, benefiting herself and students.
Bonds with Bart more than either would like	Edna Krabappel	Bart Simpson	55	60	Intelligent	Unwanted closeness still yields mutual understanding and some emotional benefit.
Bonds with Edna more than either would like	Bart Simpson	Edna Krabappel	55	60	Intelligent	Bart gains a caring adult ally despite reluctance, and Edna gains connection with a difficult student.
Continues teaching despite burnout, preferring it over other work	Edna Krabappel	Herself / Students	65	70	Intelligent	She chooses meaningful work that sustains her ideals and benefits students’ learning.
Feels students are doomed regardless of budget	Seymour Skinner	Students	45	30	Stupid	Pessimism leads to low investment that hurts students while doing little to help him.
Develops a secret romance with Skinner	Edna Krabappel	Seymour Skinner	70	60	Intelligent	Both gain intimacy and support, with no clear harm to others in the text.
Develops a secret romance with Edna	Seymour Skinner	Edna Krabappel	70	60	Intelligent	He gains companionship and she gains affection, with neutral outside effects.
Breaks up with Skinner	Edna Krabappel	Seymour Skinner	50	40	Stupid	The breakup removes mutual support without any shown compensating benefit.
Marries Ned Flanders	Edna Krabappel	Ned Flanders	78	75	Intelligent	Both gain stable companionship and emotional fulfillment.
Pretty much forgets about Seymour after marrying Ned	Edna Krabappel	Seymour Skinner	55	30	Bandit	Moving on aids her emotional closure while leaving Seymour sidelined.
Performs a striptease balloon act at a talent show	Edna Krabappel	Audience / Bart	60	20	Bandit	She gets attention/fun while strongly disturbing Bart and shocking the crowd.
Enjoys watching Edna’s striptease act	Some audience members	Edna / other viewers	70	20	Bandit	They gain entertainment while reinforcing a show that disturbs others.
Eats an armful of unpaid concessions	Homer Simpson	Concession stand owners	80	10	Bandit	He gains food without paying, directly harming the vendor.
Leaves Edna for the marriage counselor	Edna’s husband	Edna Krabappel	70	5	Bandit	He upgrades his relationship at severe emotional cost to Edna.
Does not kill herself or quit despite misery	Edna Krabappel	Herself	60	60	Intelligent	She preserves her life and career, allowing ongoing benefit to herself and students.
Single outs Bart to keep her sanity while teaching	Edna Krabappel	Bart Simpson	55	40	Bandit	Focusing discipline on Bart helps her cope but increases his burden.
Makes efforts to connect with Bart	Edna Krabappel	Bart Simpson	70	75	Intelligent	She nurtures a troubled student and strengthens their relationship.
Tries to do a little better for her sake	Bart Simpson	Edna Krabappel	65	70	Intelligent	He improves his behavior/performance, helping himself and pleasing his teacher.
Habitually responds with dry, sarcastic remarks	Edna Krabappel	People around her	55	45	Stupid	Sarcasm vents her frustration but strains relationships without clear gain.
Changes Edna’s last name in the Spanish dub	Dub localizers	Spanish-speaking audience	55	60	Intelligent	The pun-preserving name improves comprehension and humor with minimal cost.
Spies on Sideshow Bob’s date with Edna	Bart Simpson	Sideshow Bob / Edna	40	35	Stupid	He ruins their date mainly out of antagonism, gaining little beyond momentary satisfaction.
Feels outraged that Bart ruined his one chance with Edna	Sideshow Bob	Bart Simpson	45	40	Stupid	Rage harms his mood and stability without improving his situation.
Flirts with or is attracted to Edna (Patty and other women)	Patty / other women	Edna Krabappel	55	55	Intelligent	Mutual attraction offers potential connection with no stated harm.
Marries Ned and becomes mostly “Ned’s wife”	Edna Krabappel	Her own identity	55	55	Intelligent	She gains security and affection, with only a loss of narrative individuality.
Emotionally supports and helps Edna in her hardships	Bart Simpson	Edna Krabappel	65	80	Intelligent	He sacrifices mischief time to comfort her, benefiting both.
Terrorizes Edna “on principle”	Bart Simpson	Edna Krabappel	55	30	Bandit	He enjoys mischief and status while making her life harder.
Cares about students’ education more than other teachers	Edna Krabappel	Students	70	80	Intelligent	Her concern drives better teaching and personal meaning.
Implements policies/attitude that doom students regardless of budget	Seymour Skinner	Students	50	25	Stupid	His fatalism undercuts improvements without improving his own lot.
States Bart is “the closest thing to a man” in her life	Edna Krabappel	Bart Simpson	40	35	Stupid	This reveals unhealthy loneliness and unsettles Bart, with no benefit.
