Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Uses blood magic to create shadow assassins	Melisandre	Political rivals (e.g., Renly)	70	5	Bandit	Eliminates Stannis’s enemies to advance her cause while murdering them supernaturally.
Sacrifices Gendry’s blood for spell against Robb, Joffrey, Balon	Melisandre	Robb, Joffrey, Balon, Gendry	65	10	Bandit	Gains perceived strategic advantage via lethal magic while harming multiple targets.
Advocates burning Princess Shireen to clear snowstorm	Melisandre	Shireen Baratheon	20	0	Stupid	Promotes killing a child for weather relief that ultimately does not save Stannis.
Burns Princess Shireen as human sacrifice	Melisandre	Shireen Baratheon	5	0	Stupid	Helps cause Stannis’s ruin while inflicting horrific harm on an innocent child.
Adopts “a man is good or he is evil” absolutism	Melisandre	General others	40	20	Helpless	Rigid morality guides her into destructive choices that backfire politically and personally.
Uses prophetic visions (“Because Destiny Says So”) to direct actions	Melisandre	Stannis and followers	40	20	Helpless	Misinterpreted visions lead her to failed campaigns and atrocities that later haunt her.
Breaks down after Stannis’s defeat and failed prophecies	Melisandre	Herself	30	40	Helpless	Her crisis of faith harms her confidence but nudges her toward more self‑critical, less extreme behavior.
Agrees, after Davos’s urging, to attempt resurrecting Jon	Melisandre	Jon Snow	75	90	Intelligent	Uses her magic at another’s request to revive Jon, greatly aiding herself and others in the long run.
Successfully resurrects Jon Snow	Melisandre	Jon Snow	85	95	Intelligent	Restores a crucial leader and regains a sense of purpose, greatly benefiting both.
Stops preaching aggressively and stops urging burnings post‑banishment	Melisandre	People around her	60	80	Intelligent	Moderates her behavior, keeping herself alive and making her aid more acceptable and helpful.
Burns people alive for speaking against her religion	Melisandre	Religious dissenters	30	5	Bandit	Reinforces her power and faith through terror while gravely harming opponents.
Corrupts Stannis from just ruler into fanatic willing to burn Shireen	Melisandre	Stannis Baratheon	35	10	Bandit	Gains greater influence but drives Stannis into ruinous, self‑destructive extremism.
Taunts Davos about being left behind at Blackwater	Melisandre	Davos Seaworth	55	10	Bandit	Scores a petty psychological victory at the cost of deepening hostility from an important ally.
Persuades Stannis to use Gendry for blood magic	Melisandre	Gendry	65	15	Bandit	Obtains a powerful ritual resource while cruelly exploiting and injuring him.
Seduce‑tricks Gendry, ties him, and harvests his blood with leeches	Melisandre	Gendry	70	10	Bandit	Gains blood for magic by inflicting pain and betrayal on him.
Suggests burning Shireen after Jon rejects her advances and war worsens	Melisandre	Shireen Baratheon	15	0	Stupid	Escalates to child sacrifice for a victory that never materializes, worsening outcomes for everyone including herself.
Attempts to assassinate her with poison; she drinks the cup and survives	Melester Cressen	Melisandre	80	10	Bandit	Neutralizes an assassination attempt and proves her power while Cressen dies.
Abandons Stannis after he loses half his army	Melisandre	Stannis Baratheon	60	20	Bandit	Saves herself and redirects to more promising actors while leaving Stannis to collapse.
Deserts Stannis for the Wall (“Screw This, I’m Outta Here”)	Melisandre	Stannis Baratheon	60	25	Bandit	Protects her own survival and future influence as Stannis’s cause fails.
Convinces Stannis to spare Davos due to future need against White Walkers	Melisandre	Davos Seaworth	75	85	Intelligent	Secures a valuable ally for herself while saving Davos, who later proves crucial.
Speaks against executing Davos so he can fulfill destiny	Melisandre	Davos Seaworth	70	80	Intelligent	Retains a capable advisor for Stannis and preserves a future ally for herself.
Returns to Dragonstone in Season 7 briefly	Melisandre	Daenerys & allies	60	60	Intelligent	Re‑positions herself among key players while providing them with useful information.
Leaves Dragonstone after telling Daenerys about Jon	Melisandre	Daenerys & Jon Snow	55	65	Intelligent	Removes a polarizing figure while ensuring allies are informed and can cooperate.
Tells Daenerys about Jon and his importance	Melisandre	Daenerys Targaryen	70	80	Intelligent	Boosts her own relevance while encouraging an alliance vital for the coming war.
Comes back to Winterfell despite banishment on pain of death	Melisandre	Starks/Targaryens	60	85	Intelligent	Risks herself to help in a critical battle, gaining redemption and aiding others.
Lights Dothraki swords and Winterfell trenches at Battle of Winterfell	Melisandre	Allied army vs. wights	80	90	Intelligent	Uses magic to significantly improve battle odds and directly protect the defenders.
Allows herself to die/rapidly age after battle	Melisandre	Herself	40	75	Helpless	Intentionally ends her life as atonement after fulfilling her mission, benefiting others through removal of a dangerous extremist.
Removes her necklace and walks into the snow to die	Melisandre	Herself	40	70	Helpless	Consciously relinquishes her life and power once her task is complete, closing the threat she posed.
Tells Varys she will die in Westeros and later returns knowing this	Melisandre	Herself	45	70	Helpless	Accepts a fated, likely lethal return in order to play her part in the war.
Returns “Back from the Dead” in Season 8 just before battle	Melisandre	Defenders of Winterfell	65	85	Intelligent	Reappears at a decisive moment to contribute essential magic despite risk to herself.
Admits to Jon and Davos that she burned Shireen	Melisandre	Jon Snow & Davos	30	60	Helpless	Truth harms her position and leads to exile but gives others information to respond more justly.
Is banished from Winterfell by Jon under pain of death	Jon Snow	Melisandre	40	65	Intelligent	Removes a dangerous, mistrusted actor while avoiding immediate execution that could waste her later usefulness.
Returns to Winterfell despite threat of execution	Melisandre	Davos & Jon Snow	55	80	Intelligent	Risks death to provide vital magical support in humanity’s most important battle.
Mocks Davos about wanting to see beneath her robe, then births shadow	Melisandre	Davos Seaworth	60	5	Bandit	Terrifies and traumatizes Davos while demonstrating her power and advancing her assassination plot.
Uses glamour/necklace to conceal true ancient age	Melisandre	Others around her	70	40	Bandit	Maintains influence and allure by deceiving others with magically preserved youth.
