Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Tony’s parents routinely prioritize their own needs over their children	Tony’s parents	Tony and siblings	70	5	Bandit	They gain emotional gratification and autonomy while seriously damaging their children’s long‑term mental health.
Livia regularly subjects the children to physical and emotional abuse	Livia	Tony and siblings	60	0	Bandit	She vents control and rage at the kids, leaving them scarred, with no benefit to them.
Tony’s father is indifferent to his children’s emotional well-being	Tony’s father	Tony and siblings	65	10	Bandit	His neglect preserves his freedom and comfort while harming his children’s development.
Tony is emotionally and verbally abusive toward A.J. and Meadow	Tony	A.J. and Meadow	30	15	Stupid	His outbursts damage his kids and also poison his own relationships and household.
Tony threatens physical violence and intimidates his children	Tony	A.J. and Meadow	25	10	Stupid	Threats may gain short-term compliance but worsen fear, alienation, and his own family stability.
Tony forgets his “focus on the good times” advice and scolds A.J. for recalling it	Tony	A.J.	35	20	Stupid	He undercuts his own earlier wisdom, belittles his son, and gets no real benefit in return.
Tony kills Big Pussy and the stress contributes to his meaner, more aggressive behavior	Tony	Big Pussy / his circle	40	20	Stupid	Gaining short-term security as boss fuels guilt and psychological decline that harms him and everyone around him.
Tony engages in age-gap romances with his goomahs	Tony	Younger mistresses	65	30	Bandit	He gains sexual gratification and ego boosts while exploiting power and maturity imbalances.
Tony starts seeing a therapist to deal with panic attacks	Tony	Tony	55	40	Intelligent	Panic attacks cease and he gets tools and insight, though he misuses therapy and never reforms morally.
Tony increasingly uses therapy to become more manipulative rather than better	Tony	People he manipulates	60	15	Bandit	He gains psychological leverage and coping while others face a more dangerous, cunning Tony.
Tony’s therapist permanently cuts him off as a patient	Tony’s therapist	Tony	40	65	Intelligent	She loses a client but stops enabling him, reducing complicity and future harm.
Tony insults his therapist and pretends ending therapy was his choice	Tony	Tony’s therapist	35	25	Stupid	He protects ego but loses a last chance at help and further alienates someone who understood him.
Tony grooms Christopher to be his successor	Tony	Christopher	55	30	Bandit	He gains a loyal proxy while deepening Christopher’s entanglement in a deadly world.
Tony kills Christopher after concluding he’s a liability	Tony	Christopher	50	10	Bandit	He removes a dangerous subordinate and feels relief while devastating others and erasing any remaining “family” bond.
Tony rises from capo to boss and tries to expand and maintain the family	Tony	DiMeo crime family	45	20	Stupid	His leadership grants power and wealth but accelerates war, informants, and institutional collapse.
Tony’s decisions deteriorate relations with the Lupertazzis into mob war	Tony	DiMeo & Lupertazzi families	30	15	Stupid	His ego and miscalculations cripple his own family and destabilize business for everyone.
Tony takes pains to keep his wife and children separate from his criminal life	Tony	Carmela, Meadow, A.J.	45	35	Helpless	He wants their protection but his refusal to go straight ensures they’re morally and psychologically contaminated anyway.
Tony refuses to abandon crime despite wanting his family “clean”	Tony	Tony’s family	35	10	Stupid	He clings to power and wealth at the cost of dooming the very separation he claims to value.
Tony threatens to kill Christopher over Adriana’s dead dog	Tony	Christopher	40	20	Stupid	He indulges rage for an animal he cared about, further terrorizing and destabilizing his key lieutenant.
Tony invests in and emotionally bonds with racehorse Pie-O-My	Tony	Pie-O-My	60	55	Intelligent	He gains pleasure, status, and a relatively innocent affection that doesn’t directly hurt others.
Tony reads about dinosaurs in the hospital and engages with a physicist’s views on life	Tony	Tony	55	55	Intelligent	He expands his intellectual horizon and finds non-criminal sources of meaning without obvious harm.
Tony robs Feech La Manna’s card game as a young man	Tony	Feech / players	70	15	Bandit	He and his crew gain money and reputation while harming a made man’s business and trust network.
Tony returns some money to players in the Feech robbery	Tony	Robbed players	60	40	Bandit	He reduces blowback and shows selective leniency but keeps much of the illicit gain.
Tony forgives his uncle Junior’s earlier plot to kill him as “business”	Tony	Junior	45	40	Intelligent	Forgiveness reduces vendetta risk and eases family tension, even if partly self-justifying.
Tony blows up Artie’s restaurant to prevent Junior using it for a hit	Tony	Artie	25	30	Helpless	He protects Artie from mob stigma but ruins his friend’s livelihood and their relationship.
Tony brutalizes HMO debtor Alex Mahaffey for nonpayment and “denigration”	Tony	Mahaffey	75	10	Bandit	He enforces his loan business and reputation while inflicting excessive, disproportional harm.
