Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Jason avoids talking to hide his real identity in the Good Place	Jason	Himself & Good Place residents	20	10	Bandit	Protects his own cover and afterlife comfort while undermining the neighborhood’s purpose and others’ trust.
Jason starts speaking again and almost ruins his and Eleanor’s chances of staying in the Good Place	Jason	Himself & Eleanor	10	15	Helpless	His talking jeopardizes both their situations without helping himself.
Jason chooses the stage name “DJ Mr. Music” and alias “Jake Jortles”	Jason	Himself	30	40	Helpless	Bad aliases risk blowing his cover and professional image with no clear benefit beyond momentary amusement.
Eleanor has Janet give Jason a sparkler to distract him from hindering a discussion	Eleanor	Team discussion	60	70	Intelligent	Protects group deliberation while keeping Jason happily engaged.
Michael orders Janet to give Jason a Pikachu balloon to distract him	Michael	Jason	65	80	Intelligent	Effectively soothes and occupies Jason, helping group focus while giving him joy.
Jason gets irritated when Tahani keeps calling him Jianyu	Jason	Tahani	55	40	Intelligent	Asserting his real identity helps his self-respect even if it slightly strains the relationship.
Jason helps them escape the museum using a Molotov cocktail	Jason	Team Cockroach & demons	60	20	Bandit	Protects and advances his group at the cost of property and demon safety.
Jason realizes a Bad Janet replaced their Janet and slaps magnetic handcuffs on her	Jason	Bad Janet	80	85	Intelligent	Acts quickly to restrain a threat, safeguarding both himself and his friends.
Jason vows to go to the Bad Place, punch Shawn, and rescue Janet	Jason	Janet & Shawn	75	70	Intelligent	Accepts heavy risk to himself in order to save Janet and oppose Shawn’s torture.
Jason and Michael successfully rescue Janet from the Bad Place	Jason & Michael	Janet & demons	85	90	Intelligent	They secure Janet’s safety and gain an ally, frustrating demon plans.
Jason repeatedly suggests Molotov cocktails as the solution to problems	Jason	Whoever is nearby	35	20	Stupid	Defaults to dangerous fire-based “solutions” that tend to create more problems than they solve.
Jason commits robberies and other serious crimes in life	Jason	Victims & society	40	15	Bandit	Seeks gain via theft and lawbreaking while harming others and public order.
Jason plans to marry his male best friend Pillboi to avoid conviction	Jason	Justice system	35	20	Bandit	Attempts to exploit marriage rules for self-protection at society’s expense.
Jason frames an innocent gator dealer to save his 60-person dance crew	Jason	Innocent gator dealer	60	10	Bandit	He protects his large group (and himself) by sacrificing an innocent person.
Jason leads a 60-person dance crew through charisma	Jason	Dance crew	70	70	Intelligent	Gains status and fulfillment while giving others community and purpose.
Jason is instrumental in stalling a room full of demons with a Molotov cocktail	Jason	Demons	70	30	Bandit	Buys time for his team’s escape at clear cost to their pursuers.
Jason dies during a botched robbery by locking himself in a safe without air holes and doing whippets	Jason	Himself	0	40	Helpless	His extreme stupidity and impulsiveness kill him while only mildly inconveniencing others.
Jason eats electrical tape thinking it’s Fruit by the Foot	Jason	Himself	10	50	Helpless	Harms his own health without affecting others.
Jason tries to eat candles because they smell good	Jason	Himself	15	50	Helpless	Again endangers himself for no benefit, neutral to others.
Jason consistently shares long, irrelevant tangents during serious talks	Jason	Listeners	45	30	Stupid	Wastes others’ time and focus with no real gain to himself beyond idle chatter.
Jason always tries to be kind to people he dates and makes them breakfast	Jason	Partners	70	85	Intelligent	He gains affectionate bonds while improving his partners’ well-being.
Jason is nice to rebooting Janet when she doesn’t know anything	Jason	Janet	80	90	Intelligent	His kindness helps Janet form emotions and attachment, strengthening their relationship.
Jason ensures drunk Tahani gets safely to her hotel and sleeps in a dumpster	Jason	Tahani	30	85	Helpless	He sacrifices his own comfort and romantic opportunity to keep her safe.
Jason rejects Tahani’s drunken advances while she is intoxicated	Jason	Tahani	65	80	Intelligent	Protects both his integrity and her autonomy, fostering a healthier dynamic.
Jason steps aside and supports Tahani’s engagement to Larry Hemsworth	Jason	Tahani	70	85	Intelligent	Accepts personal loss so she can pursue happiness, while staying content via his own interests.
Jason bluntly explains that giving Donkey Doug money wouldn’t help because he’d waste it	Jason	Donkey Doug	65	60	Intelligent	Shows practical insight that avoids enabling harmful behavior for both of them.
Jason suspects from early on that the Good Place is actually a prank show	Jason	Team Cockroach	60	60	Intelligent	His skepticism helps them later contextualize the truth and his own situation.
Jason answers every question on Michael’s Bad Place litmus test with “yes”	Jason	Michael & system	40	40	Stupid	His oblivious honesty entertains demons but just confirms his damnation without benefit.
Jason calls out that “Heaven is so racist” for assuming he’s Taiwanese	Jason	Afterlife system	55	60	Intelligent	Recognizes and verbalizes a real systemic bias, modestly improving clarity for all.
Jason continues bluffing as a silent “Buddhist monk” to maintain cover	Jason	Good Place residents	40	25	Bandit	Protects his own comforts while deceiving everyone and undermining authentic relationships.
Jason breaks his vow of silence and reveals he’s actually a Filipino DJ	Jason	Good Place residents	50	55	Intelligent	Honesty costs him security but improves trust and truth in the group.
Jason falls in love with Janet	Jason	Janet	80	80	Intelligent	Mutual affection enriches them both with deep emotional growth.
Jason marries Janet in the afterlife	Jason	Janet	85	85	Intelligent	Secures mutual commitment and growth, benefiting each emotionally and experientially.
Jason becomes more introspective and empathetic after his near-death experience	Jason	Himself & others	90	85	Intelligent	Personal growth enhances his own life and improves how he treats others.
Jason turns down “Michael as manager” because he wants to fix his life and find purpose	Jason	Himself	80	75	Intelligent	Rejects short-term career gain for long-term moral and personal improvement.
Jason assesses that saving his father from damnation is impossible but he can save Pillboi	Jason	Pillboi	75	80	Intelligent	Focuses efforts where they can actually help, accepting painful reality.
Jason murders Derek after being provoked	Jason	Derek	30	15	Bandit	Acts out of jealousy, removing a rival but causing moral and relational damage.
Jason tries to save his relationship with Janet after killing Derek	Jason	Janet	55	60	Intelligent	Seeks to repair harm, improving both his growth and her emotional clarity.
Jason packs a not-lie detector that turns demons into goo when infiltrating the Bad Place	Jason	Demons & Team	75	35	Bandit	Improves their survival chances by carrying a lethal tool that directly harms enemies.
Jason throws pool balls at opponents’ heads when under attack	Jason	Opponents	65	45	Bandit	Uses violence to defend his group, helping them while physically harming others.
Jason delights in the animatronic caricatures of themselves in the Bad Place museum	Jason	Himself & team	55	35	Stupid	His oblivious enjoyment heightens risk to the team without offering corresponding benefit.
Jason becomes very uncomfortable and jealous about Derek being around Janet	Jason	Janet & Derek	30	40	Stupid	Jealousy distresses him and strains relationships without helping anyone.
