Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Regularly schooling Ferengi at Tongo	Jadzia Dax	Ferengi opponents	76	22	Bandit	She wins at their gambling game, gaining profit and satisfaction while they repeatedly lose.
Teaching Klingon musicians Klingon songs	Jadzia Dax	Klingon musicians	82	88	Intelligent	She uses her cultural knowledge to help them improve their own musical repertoire.
Setting records in four scientific fields before joining	Jadzia (pre-joining)	Scientific community/Starfleet	95	90	Intelligent	Her academic achievements greatly advance her own career and benefit wider science.
Serving as Defiant's helmsman in scrapes	Jadzia Dax	Defiant crew	90	94	Intelligent	Her skilled piloting repeatedly saves herself and the crew from danger.
Training/being handy with weapons and piloting	Jadzia Dax	Starfleet/DS9 crew	78	82	Intelligent	Her combat and piloting proficiency increase her survival and her value to her comrades.
Sisko calling her "Old Man"	Sisko	Jadzia Dax	60	70	Intelligent	The nickname reinforces their bond and mutual trust with no apparent downside.
Being battle couple with Worf	Jadzia Dax	Worf	78	80	Intelligent	The relationship provides mutual emotional support and combat synergy.
Negotiating the Khitomer Accords	Dax symbiont	Klingon Empire & Federation	92	96	Intelligent	The diplomacy solidifies peace, benefiting Dax’s status and two major powers.
Fighting alongside Kang, Kor, and Koloth	Dax symbiont	Klingon allies	85	88	Intelligent	Shared battles enhance Dax’s prestige and aid important Klingon figures.
Dating McCoy in college (previous host)	Previous Dax host	McCoy	70	70	Intelligent	A mutually pleasant relationship with no noted harm or major downside.
Earning Premier Distinctions in four fields	Jadzia (pre-joining)	Starfleet/Trill society	93	90	Intelligent	Her degrees secure her joining and career while contributing high-level expertise.
Habit of not keeping secrets	Jadzia Dax	People whose info she shares	45	20	Stupid	Her indiscretion yields her little benefit but undermines others’ confidentiality and trust.
Preferring casual sex over emotional entanglement	Jadzia Dax	Prospective partners (e.g., Bashir)	70	60	Intelligent	She maintains her emotional autonomy while being honest about her boundaries.
Writers retooling her to be lively	Writers/Producers	Audience/Jadzia character	80	80	Intelligent	The change makes her more engaging with no story-indicated downside.
Talking often about what Curzon Dax would do	Jadzia Dax	Listeners/crewmates	62	58	Intelligent	She leverages Curzon’s reputation for social and advisory influence.
Serving as consigliere to Sisko	Jadzia Dax	Sisko	88	92	Intelligent	Her advice helps his command decisions while affirming her role and relationship with him.
Moving Odo’s furniture slightly to cause chaos	Jadzia Dax	Odo	65	25	Bandit	She gains amusement at the cost of Odo’s comfort and order.
Pushing buttons of tightly wound people	Jadzia Dax	People like Worf	60	35	Bandit	She entertains herself by provoking others and adding to their stress.
Cracking gallows humor one-liners near death	Jadzia Dax	Nearby crew (esp. Sisko)	55	40	Stupid	The jokes don’t ease tension and irritate others, with no clear benefit to her.
Serving as genius bruiser in fights	Jadzia Dax	Enemies threatening crew	83	85	Intelligent	Her combat skills protect her and her allies while neutralizing foes.
Marrying Worf	Jadzia Dax	Worf	88	88	Intelligent	They gain mutual happiness and support until her death, with no shown harms.
Dumping Quark’s friendship over arms dealing	Jadzia Dax	Quark	72	68	Intelligent	She protects her ethics and exerts social pressure against his harmful war-profiteering.
Reminding Jadzia of her age during argument	Sisko	Jadzia Dax	55	52	Intelligent	He grounds the argument in reality; it stings but helps perspective without real harm.
Squeeing over Spock and wanting to ignore TPD	Jadzia Dax	Temporal Prime Directive/crew	40	20	Stupid	Her fannish impulse risks serious timeline harm with little real gain to her.
Sisko dragging her away from Spock	Sisko	Jadzia Dax/timeline	80	90	Intelligent	He prevents a temporal breach and protects her career and the timeline.
Hard-drinking, gambling lifestyle	Jadzia Dax	Herself/gambler friends	58	55	Intelligent	She enjoys social play and vice; no narrative indication of serious harm or ruin.
Throwing a mean right hook (e.g., at Sirella)	Jadzia Dax	Opponents like Sirella	60	35	Bandit	She asserts herself physically, gaining satisfaction but worsening conflict and causing harm.
Making Worf handle wedding minutiae while she parties	Jadzia Dax	Worf	65	45	Bandit	She offloads tedious tasks on her partner so she can have more fun, straining fairness.
Sprinkling research into Sirella’s Chronicle to undercut nobility claim	Jadzia Dax	Sirella	50	20	Stupid	Her spiteful “corrections” escalate conflict and threaten her own wedding prospects.
Using centuries of skills to give the symbiont an interesting life	Jadzia Dax	Dax symbiont & associates	90	85	Intelligent	She enriches her own and Dax’s experience while applying knowledge to help others.
Saving Sisko’s career by bailing him out	Dax (various hosts)	Sisko	88	92	Intelligent	Her interventions avert damage to his career and preserve her valued ally.
Confronting Quark about war profiteering	Jadzia Dax	Quark	75	80	Intelligent	She challenges him morally, nudging him toward introspection with little cost to herself.
Refusing panting-puppy Bashir	Jadzia Dax	Bashir	70	65	Intelligent	She maintains autonomy and signals healthy boundaries, helping him learn what doesn’t work.
Being happy to dump wedding minutiae on Worf	Jadzia Dax	Worf	64	48	Bandit	She prioritizes her leisure over shared responsibility, marginally disadvantaging him.
Taking command of the Defiant in wartime	Jadzia Dax	Defiant crew/Federation	92	94	Intelligent	Her command ability protects her and the crew and serves the Federation war effort.
