Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
He bullies other kids at school for enjoyment	Nelson	Other kids	70	10	Bandit	He gains status/enjoyment by repeatedly hurting classmates physically and socially.
He becomes the subordinate of Jimbo in the bully hierarchy	Nelson	Jimbo	40	40	Helpless	Yielding leadership lowers his dominance with no clear gain while not much affecting others.
He falls in love with female bullies	Nelson	Female bullies	55	60	Intelligent	Mutual attraction with peers potentially benefits both sides without evident harm.
He jumps out of a moving bus to avoid discussing his sexuality	Nelson	Himself	5	60	Helpless	He seriously endangers himself just to escape an awkward conversation, benefitting no one.
He admits he misses Mrs. Krabappel after her death	Nelson	Mrs. Krabappel’s memory	60	70	Intelligent	Expressing grief/attachment is emotionally healthy for him and honors a dead teacher.
He taunts people in Bart’s social circle with occasional punches	Nelson	Bart’s social circle	65	25	Bandit	He still gets amusement/status from mild bullying at the expense of others’ comfort.
He befriends Bart over time	Nelson	Bart	80	80	Intelligent	Friendship with Bart yields mutual support and shared fun.
He dates Lisa in later seasons	Nelson	Lisa	75	75	Intelligent	A consensual relationship is portrayed as mutually positive.
He reverts to being an antagonist to Bart and Lisa in some episodes	Nelson	Bart and Lisa	60	30	Bandit	He regains bully benefits while causing them stress or harm.
He laughs at anyone who has something embarrassing happen, wherever they are	Nelson	Embarrassed acquaintances	65	20	Bandit	He relentlessly seeks amusement from others’ misfortune, providing them only discomfort.
He takes offense to Bart “learning on his own” and retaliates	Nelson	Bart	60	15	Bandit	He punishes Bart for trivial/positive behavior, harming Bart more than himself.
He bullies others because he enjoys it, despite his rough home life	Nelson	Other kids	70	15	Bandit	Regardless of causes, he derives pleasure while inflicting direct harm.
He works with Martin when circumstances force cooperation	Nelson	Martin	55	65	Intelligent	Reluctant teamwork still helps them achieve shared goals.
He loves and remains loyal to his mother despite her shortcomings	Nelson	His mother	70	70	Intelligent	Affection for a flawed parent sustains a key relationship for both.
He has a positive relationship with Marge as a parental substitute	Nelson	Marge	75	80	Intelligent	He gains guidance and care while giving Marge a meaningful mentoring role.
He punched Bart for “besmirching an innocent girl’s name”	Nelson	Bart	40	55	Helpless	He sacrifices himself (risking trouble) to uphold a principle, but still harms Bart.
He attacks Bart for wasting the teacher’s time	Nelson	Bart	55	30	Bandit	He imposes his idea of justice via violence, harming Bart more than helping class.
He attacks Bart for taking credit for others’ work	Nelson	Bart	55	35	Bandit	He aggressively enforces fairness in a way that injures Bart without real due process.
He writes an impassioned essay against flag burning	Nelson	Readers / school	70	65	Intelligent	Expressing a thoughtful stance boosts his standing and contributes to civic discourse.
He refuses to pick on disabled kids	Nelson	Disabled kids	70	85	Intelligent	He limits his own bullying “fun” to protect a vulnerable group.
He offers to protect a blind kid from bullies	Nelson	Kevin (blind kid)	75	90	Intelligent	He uses his strength and reputation to defend someone at risk.
He offers sympathy when Milhouse’s parents split	Nelson	Milhouse	65	80	Intelligent	He provides emotional support at some cost to his tough image.
He takes pride that his grandfather sentenced 47 men to death	Nelson	Himself / executed men	60	20	Bandit	He boosts his self-image from an ancestor’s extreme harm to others.
He uses his planning ability to help Marge organize ending mixed wrestling	Nelson	Marge / school	70	70	Intelligent	He applies intelligence to help Marge achieve a school-level policy change.
He tells Principal Skinner to shut up when his bad grades are announced	Nelson	Skinner	40	35	Stupid	He shows disrespect that risks punishment while only briefly silencing Skinner.
He admits after losing to Bart that he wants to be an event planner	Nelson	Himself	75	65	Intelligent	Honestly stating his aspiration helps him and invites supportive responses.
He accepts Marge’s suggestion he could plan Lisa’s wedding and says “I’d like that”	Nelson	Marge and Lisa	80	80	Intelligent	He embraces a prosocial future role connecting him with Lisa and the family.
He becomes obsessed with Bart when he realizes he has no friends	Nelson	Bart	45	30	Helpless	Clinging intensely to one person strains Bart and leaves Nelson socially fragile.
