Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Dad prioritizes daughter’s safety over Billy’s crusade	Dad	Janine and Billy’s crusade	80	75	Intelligent	Protecting his child and pulling back from a dangerous crusade benefits him and those he’s responsible for.
Marvin clearly rejects Butcher’s surprise visit after years apart	Marvin	Butcher	70	55	Intelligent	By shutting Butcher down, he protects himself and indirectly limits Butcher’s trouble for others.
M.M. snaps “Oh hell no, the fuck do you want?” at Butcher	M.M.	Butcher	65	55	Intelligent	His hostility reinforces a boundary that keeps him safer from Butcher’s schemes with minimal harm to others.
M.M. and Annie bond over missing parents	M.M.	Annie	70	70	Intelligent	Emotional bonding strengthens trust and support for both of them.
Soldier Boy throws a car that kills Marvin’s grandfather and family	Soldier Boy	Marvin’s family	80	0	Bandit	He stops car thieves (serving his image/mission) while lethally harming innocent bystanders.
M.M. tells Butcher he’s “just a motherfucker”	M.M.	Butcher	60	55	Intelligent	Honest characterization helps define boundaries and expectations in the partnership.
M.M. later tells Butcher he’s “a motherfucker with a heart”	M.M.	Butcher	70	70	Intelligent	Recognition of Butcher’s growth improves their working relationship and mutual trust.
Billy’s visit about Soldier Boy compels Marvin to rejoin the group	Billy	Marvin	60	40	Bandit	Billy gets his competent ally back while Marvin sacrifices safety and family stability to reenter danger.
Marvin decides to rejoin The Boys to pursue closure on Soldier Boy	Marvin	Himself/Team	55	45	Helpless	His need for closure pulls him back into lethal risks with only uncertain benefit for anyone.
M.M. constantly corrals Frenchie to follow plans	M.M.	Frenchie/Team	65	75	Intelligent	His managing reduces chaos and increases mission safety at personal stress cost.
M.M. thanks Frenchie deadpan for disgusting trivia	M.M.	Frenchie	55	55	Intelligent	Defusing Frenchie’s weirdness with humor maintains team cohesion at little cost.
M.M. gives Kimiko pointers on how to cleanly break Hughie’s arm	M.M.	Hughie	45	30	Bandit	He helps orchestrate controlled harm to Hughie to serve operational needs more than Hughie’s welfare.
M.M. wears sunglasses to go incognito	M.M.	Himself	60	55	Intelligent	Disguise improves his operational security without hurting others.
M.M. insults Frenchie and another teammate as “French whore and Steven fucking Hawking”	M.M.	Frenchie and teammate	55	40	Bandit	Snark vents his frustration and asserts status while mildly undermining team morale.
M.M. calls out Butcher’s fake niceness and demands he “cut the small talk”	M.M.	Butcher	70	65	Intelligent	Forcing honesty lets him evaluate the real proposal and keeps the team’s dealings clearer.
Webweaver offers to pay M.M. “in nature” for the heroin enema	Webweaver	M.M.	40	40	Stupid	The offer disgusts M.M. and doesn’t materially help anyone beyond fleeting gratification.
M.M. welcomes Hughie into the group	M.M.	Hughie	70	75	Intelligent	He accurately sees Hughie’s potential, benefiting Hughie and strengthening the team.
M.M. befriends Annie and calls her first when Soldier Boy appears	M.M.	Annie	75	80	Intelligent	Trusting and including Annie improves coordination and safety with no shown downside.
M.M. makes a risky power play to convince A-Train to flip	M.M.	A-Train	65	80	Intelligent	He risks himself to pressure A-Train, and the gamble pays off when A-Train later saves Hughie.
M.M. spares Countess Crow and lets her leave	M.M.	Countess Crow	60	70	Intelligent	He correctly judges she’s less culpable and avoids needless killing, at little operational cost.
M.M. refuses to cross certain moral lines	M.M.	Himself/Team	55	70	Intelligent	Holding boundaries costs him some tactical advantages but prevents greater moral and collateral damage.
Butcher recruits Soldier Boy against Homelander	Butcher	Soldier Boy/World	70	30	Bandit	He gains a powerful ally at the price of unleashing another dangerous Supe that endangers others.
M.M. leaves the team after the Herogasm/Soldier Boy debacle	M.M.	The Boys	40	35	Helpless	Walking away protects his psyche somewhat but weakens the group during a critical fight.
M.M. works at a juvenile detention facility as a counselor	M.M.	Juveniles	75	80	Intelligent	Stable legal work gives him purpose while constructively helping troubled youths.
M.M. hides his work with The Boys from his wife	M.M.	Monique	40	30	Bandit	Secrecy protects her from legal fallout but erodes trust and strains the marriage.
M.M. accepts Butcher’s offer to rejoin only when they have a real chance	M.M.	The Boys	65	70	Intelligent	He trades personal safety for a realistic shot at accountability, benefiting himself and society.
M.M. keeps the team alive and together as “The Heart”	M.M.	The Boys	70	85	Intelligent	His stabilizing role increases survival and success despite emotional burden on him.
As leader, Milk avoids risky plays and the team nearly gets killed for minimal gain	Milk	The Boys	30	20	Stupid	His overcautious yet ineffective decisions endanger the team without achieving results.
Milk fails to act as a “bastard” leader, prompting members to disobey	Milk	The Boys	35	25	Stupid	Weak authority undermines cohesion and effectiveness, hurting both him and the team.
M.M. leaves Frenchie in jail when Frenchie turns himself in	M.M.	Frenchie	55	50	Intelligent	He respects Frenchie’s choice and avoids interfering legally, neither clearly helping nor harming others.
Butcher has Mallory pull strings to free Frenchie and force him back to work	Butcher	Frenchie	70	35	Bandit	He regains a skilled operative while trampling Frenchie’s agency and exposing him to danger.
M.M. nearly runs away to Belize with his family after burnout	M.M.	His family	55	60	Intelligent	Choosing retreat would prioritize their safety and sanity over a losing war.
A-Train gives M.M. a pep talk that keeps him from fleeing	A-Train	M.M.	70	65	Intelligent	Encouraging him to stay in the fight restores his resolve and helps the broader anti-Vought cause.
M.M. regularly breaks up fights at the juvenile facility	M.M.	Juveniles	75	80	Intelligent	He protects the kids from harm while maintaining order and doing his job well.
M.M. forbids inmates from using the N-word	M.M.	Inmates	65	70	Intelligent	Discouraging the slur promotes respect and a healthier environment with little downside.
M.M. is disturbed by disorder and lets that push him to “fix” things	M.M.	Himself/Various	45	55	Helpless	His OCD-driven need to organize helps others sometimes but harms his own mental well-being.
Frenchie uses M.M.’s dislike of disorder to recruit him to help Kimiko	Frenchie	M.M. and Kimiko	60	75	Intelligent	Manipulating his trait nudges him into aiding Kimiko, helping her and the team overall.
M.M. and Annie go to Herogasm together to evacuate people	M.M.	Herogasm attendees	70	85	Intelligent	He enters danger to get civilians out, risking himself for strong benefit to others.
M.M. glares at Hughie when Hughie and Starlight wake him	M.M.	Hughie	55	45	Bandit	He asserts boundaries and authority, mildly intimidating Hughie without real gain for others.
M.M. initially refuses to release the Female when he first meets her	M.M.	Kimiko	60	40	Bandit	Detaining a dangerous unknown protects the team’s safety while restricting her freedom.
M.M. works as a juvenile detention counselor instead of full-scale vigilantism	M.M.	Himself/Society	70	80	Intelligent	Choosing smaller, legitimate impact improves his life and still does tangible good.
M.M. scolds Hughie for meeting with Starlight while a fugitive	M.M.	Hughie	70	80	Intelligent	His harsh warning lowers risk to Hughie, the team, and Starlight.
M.M. calls out Billy’s abusive treatment of Hughie	M.M.	Butcher	70	75	Intelligent	Confronting Butcher protects Hughie’s well-being and helps rein in destructive behavior.
M.M. opposes Hughie’s relationship with Starlight on security grounds	M.M.	Hughie and Starlight	65	70	Intelligent	Discouraging the relationship reduces risk of Vought discovering them and endangering both.
M.M. becomes increasingly aggressive toward Hughie in Season 2	M.M.	Hughie	40	35	Stupid	His hostility hurts their relationship and doesn’t improve outcomes for anyone.
M.M. stops acting hostile after Hughie calls him out	M.M.	Hughie	65	65	Intelligent	Adjusting his behavior restores team morale and trust.
M.M. again bullies and dismisses Hughie as leader in Season 4	M.M.	Hughie	35	30	Stupid	He undermines his own leadership by alienating a key ally without gaining strategic value.
M.M. intentionally tries to keep Hughie and Annie from getting back together	M.M.	Hughie and Annie	60	70	Intelligent	Blocking their reunion reduces operational risk to the team and to Annie.
M.M. intimidates juvenile inmates in his introduction	M.M.	Inmates	70	70	Intelligent	Using intimidation keeps volatile teens in line and maintains safety in a hard environment.
M.M. throws knockout gas at Soldier Boy	M.M.	Soldier Boy	40	30	Helpless	He endangers himself taking a shot that fails and doesn’t slow Soldier Boy.
M.M. repeatedly tries to take on Soldier Boy despite standing no chance	M.M.	Himself/Team	20	15	Stupid	His revenge fixation jeopardizes him and the team without meaningful effect on Soldier Boy.
M.M. serves as Butcher’s right-hand man and contradicts him when needed	M.M.	Butcher/Team	75	80	Intelligent	Balancing support with pushback keeps operations effective and somewhat restrained.
M.M. takes over leadership of The Boys when Butcher is demoted	M.M.	The Boys	60	55	Intelligent	He steps up to fill a needed role, though his later performance is mixed.
M.M. becomes stubborn and short-tempered when in charge	M.M.	The Boys	40	35	Stupid	His rigidity and aggression lower team performance and morale without offsetting gains.
M.M. uses his trap-making skills to booby-trap Judy’s home against Black Noir	M.M.	Black Noir	65	75	Intelligent	The traps improve survival odds for him and the team while impeding a lethal enemy.
M.M. flips A-Train to their side as leader	M.M.	A-Train/Team	75	80	Intelligent	Recruiting A-Train gives the team intel and protection, and allows A-Train partial redemption.
M.M. feels sympathy over Todd’s death despite disliking him	M.M.	Todd	60	65	Intelligent	Empathy costs him little and indicates stable morality, slightly improving his relational stance with family.
M.M. intentionally plays “Team Mom,” caring for the Boys	M.M.	The Boys	70	80	Intelligent	His caretaking keeps everyone functioning and united at emotional cost to himself.
