Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Phil reveals he's deeply uncomfortable with clowns due to childhood trauma	Phil	Phil	30	60	Helpless	Sharing his fear is personally painful but helps others understand and accommodate him.
Phil tries to be the “cool dad” by staying hip to modern pop culture	Phil	Phil’s kids	55	60	Intelligent	Though cringey, his effort builds connection with his children more than it harms him.
Phil misinterprets “WTF” as “why the face”	Phil	Haley and Alex	55	55	Intelligent	Slight self-embarrassment but mostly harmless, adds lightness to interactions.
Phil influences impressionable Luke with his “cool dad” persona	Phil	Luke	60	60	Intelligent	Luke initially admires and bonds with him, with no clear downside shown.
Phil openly admits he’s turned on by powerful women in a private cam	Phil	Claire	55	55	Intelligent	Private admission gives him self-insight and is neutral to others in the story.
Phil muses that life would be simpler if he were gay while driving with Mitchell	Phil	Mitchell	55	55	Intelligent	Casual joking creates banter; no negative consequences are shown.
Phil gets distracted very easily, consistent with undiagnosed ADHD	Phil	Phil	30	40	Helpless	His distractibility impairs his functioning more than it helps anyone.
Phil enforces his rule that he’s the only one allowed to make Claire laugh and gets jealous of other men	Phil	Claire / other men	35	25	Stupid	Jealous reactions strain relationships without real benefit to him.
Phil “snaps” when Alex and Haley exploit his pushover tendencies to avoid chores	Phil	Alex and Haley	75	55	Intelligent	Setting boundaries restores his authority and household fairness despite short-term conflict.
Claire steps in to moderate Phil after he snaps at the girls	Claire	Phil and daughters	65	70	Intelligent	She de-escalates him and keeps discipline effective but not excessive.
Phil becomes more apt to discipline and scold the kids in later seasons	Phil	Phil’s kids	80	75	Intelligent	Firmer parenting improves kids’ behavior and his credibility as a parent.
Phil harshly scolds Haley when she’s expelled from college	Phil	Haley	70	40	Intelligent	Tough confrontation harms short-term feelings but pushes for responsibility and growth.
Phil confronts Gil Thorpe after a crass comment and threatens to kill him	Phil	Gil Thorpe	40	30	Stupid	He defends Claire but uses an extreme threat that risks serious fallout.
Phil works as a highly capable real-estate “bunny-ears lawyer”	Phil	Clients / family	90	85	Intelligent	His professional skill greatly benefits him financially and benefits clients and family.
Phil allows his family to walk all over him due to being a Nice Guy pushover	Phil	Family	25	60	Helpless	His deference benefits them but repeatedly undermines his own well-being.
Phil occasionally stands up for himself when pushed too far	Phil	Family / rivals	80	60	Intelligent	Boundary-setting improves his self-respect and teaches others to treat him better.
Phil refuses to commit adultery despite being attracted to other women	Phil	Claire	85	90	Intelligent	Fidelity protects his marriage and clearly benefits both him and Claire.
Phil compulsively buys a pet emu as an outlandish endeavor	Phil	Phil’s family	35	35	Stupid	The impulsive purchase likely creates hassle and confusion with no shown upside.
Phil runs a miniature village for baby ducks	Phil	Phil’s family	60	55	Intelligent	Odd but ostensibly harmless fun that delights him and mildly amuses others.
Phil effectively helps each of his children’s problems in “Fulgencio”	Phil	Haley, Alex, Luke	90	90	Intelligent	His hidden competence solves their issues and raises his standing.
Phil delivers deadpan snark when annoyed with Luke over Footloose	Phil	Luke	60	65	Intelligent	Light sarcasm asserts himself and keeps the exchange playful and bonding.
Phil goes into melodramatic funks when upset	Phil	Phil’s family	30	40	Helpless	His drama hurts his own resilience and mildly burdens those around him.
Phil uses property-law knowledge to threaten Aunt Alice over illegal structures	Phil	Aunt Alice	80	40	Bandit	He protects Gloria’s interests and his own family, while coercing Alice.
Phil rarely curses, substituting mild, humorous exclamations	Phil	Family / bystanders	65	70	Intelligent	Clean exclamations let him vent emotion without offending others.
Phil accidentally insults Claire by not defending her or commenting she used to be hotter	Phil	Claire	45	20	Stupid	He slightly undermines his own relationship and clearly hurts her with no gain.
Phil befriends Dylan in an intergenerational friendship	Phil	Dylan	70	75	Intelligent	The bond benefits both men socially and emotionally.
Phil is very emotionally open despite Jay’s annoyance	Phil	Jay	65	55	Intelligent	Emotional openness helps Phil and slowly nudges Jay toward more connection.
Phil clings to the idea of his daughters’ virginity and struggles with them growing up	Phil	Haley and Alex	40	35	Stupid	His resistance makes it harder for him and pressures his daughters with no real benefit.
Phil acts as Manchild, forcing Claire to “mother” him	Phil	Claire	35	40	Helpless	His immaturity comforts him but adds burden to Claire and undercuts his authority.
Phil desperately tries to impress Jay as a “Well Done, Son” guy	Phil	Jay	45	55	Helpless	His constant need for approval helps Jay’s ego more than his own self-esteem.
Phil confidently confronts a rival realtor who poached clients and objectified Claire, calling him a skeezy loser and promising to kill him if he disrespects Claire again	Phil	Rival realtor	60	40	Bandit	He reclaims dignity and warns off future disrespect but uses an over-the-top threat that harms the other.
Phil becomes serious and protective when someone hurts his kids	Phil	Threat to kids	85	80	Intelligent	Protectiveness safeguards his children and affirms his role, with little self-cost.
Phil practices “peerenting,” trying to be a hip “cool dad” who is also a parent	Phil	Phil’s kids	70	70	Intelligent	His approach improves closeness while still maintaining some parental authority.
Phil and Claire decide to marry after learning she is pregnant with Haley	Phil and Claire	Phil, Claire, Haley	75	70	Intelligent	Marriage provides stability for themselves and their child.
Phil remains happily married despite finding Claire nagging and controlling at times	Phil	Claire	80	80	Intelligent	His commitment sustains a mutually beneficial marriage.
Phil openly maintains a friendship with groups of women he’s just met	Phil	Random women	65	65	Intelligent	His sociability enriches his life and theirs without clear downside.
Phil copes with lifelong coulrophobia after finding a dead clown as a child	Phil	Phil	20	50	Helpless	The phobia significantly harms him; others at most can accommodate it.
