Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Does not correct boss misnaming him “Jerry” on first day	Garry	Former director / coworkers	20	40	Helpless	Hurts his own identity and status long-term while mildly amusing or easing others.
Returns from retirement part‑time same episode	Garry	Parks Department	65	80	Intelligent	Gains enjoyable work he likes while department regains a reliable worker.
Returns to Parks Department full‑time in sixth season	Garry	Parks Department	70	80	Intelligent	Chooses work he enjoys and the office benefits from his diligence.
Is set to retire again toward end of season 7	Garry	Parks Department	60	60	Intelligent	Acts in self‑interest of rest/age with limited impact either way on others.
Is appointed interim mayor of Pawnee	Ben / Pawnee leadership	Garry / Pawnee citizens	80	85	Intelligent	Garry receives honor and purpose while city gains a beloved, effective mayor.
Is elected mayor and remains in office until death	Citizens of Pawnee	Garry / Pawnee citizens	90	95	Intelligent	He gains lifelong role and admiration and citizens get a devoted, stable mayor.
Maintains upbeat attitude despite office abuse	Garry	Coworkers	55	60	Intelligent	Protects his own contentment and keeps office atmosphere functional despite mistreatment.
Leslie eats a non‑edible plant	Leslie	Her own health	10	50	Helpless	She harms herself for no benefit to anyone.
Dotes on his three daughters	Garry	Daughters	80	90	Intelligent	He gains emotional fulfillment while daughters thrive in loving environment.
Does the boring grunt work others avoid	Garry	Parks Department	75	85	Intelligent	Finds satisfaction in menial tasks and makes the department run smoothly.
Ben suggests Garry serve as interim mayor	Ben	Garry / Pawnee citizens	80	85	Intelligent	Ben’s judgment is validated and both Garry and the town benefit greatly.
Takes abuse without protesting	Garry	Abusive coworkers	30	55	Helpless	Allows ongoing harm to his own dignity while coworkers gain an easy scapegoat/vent.
Puts on sympathy weight during Gayle’s pregnancies	Garry	Gayle	40	70	Helpless	He sacrifices some health/fitness to emotionally support his pregnant wife.
Tom turns cruelty into concern during heart attack	Tom	Garry	65	80	Intelligent	He protects Garry’s life while still preserving his self‑image through humor.
Approves daughter making her own decisions about dating	Garry	Daughter / Chris	75	80	Intelligent	Respects his adult child’s autonomy and removes barriers for her relationship.
Produces high‑quality mural artwork for contest	Garry	Parks Department / Pawnee	70	75	Intelligent	Expresses his talent and creates strong civic art, though it’s underappreciated.
Slip of the tongue causes coworkers to dismiss his mural	Garry	Coworkers	35	45	Helpless	A minor verbal mistake causes his own work’s value to be ignored by others.
Invents clean renewable energy device while tinkering	Garry	Humanity / environment	85	95	Intelligent	He could gain huge acclaim and wealth while providing massive global benefit.
Sneezes and causes invention to be dismissed/destroyed	Garry	Society / environment	10	15	Stupid	Accident wipes out world‑changing tech, harming everyone including himself.
Requests coworkers use his real name “Garry”	Garry	Coworkers	60	55	Intelligent	Tries to reclaim identity with little effect on others.
April renames him “Larry Gengurch” after request	April	Garry	55	20	Bandit	She gains amusement/status while further undermining his identity.
Office later begins calling him “Terry” due to another Larry	Office staff	Garry	55	30	Bandit	They solve a naming conflict by again disregarding his preferences.
Plays Mailman Barry on Johnny Karate show	Garry	TV audience	70	70	Intelligent	He enjoys participating and entertains viewers.
Donna labels his banquet place with “Garry”	Donna	Garry	75	80	Intelligent	She gives him recognition and a small identity victory that delights him.
Ben appoints Garry interim mayor with grand ceremony	Ben	Garry	85	90	Intelligent	Ben affirms Garry publicly, giving him joy and the town a dedicated leader.
Citizens elect him mayor for life via write‑ins	Citizens of Pawnee	Garry	90	95	Intelligent	They continually empower a mayor they love, and he gains lifelong purpose.
Ann explains flatulence during heart attacks to Tom and others	Ann	Tom / coworkers	60	65	Intelligent	She educates them and reframes an awkward symptom, easing concern and confusion.
Chris seeks Garry’s approval to court Millicent	Chris	Garry / Millicent	60	60	Intelligent	He shows respect and builds rapport though Garry quickly reframes the issue.
Garry shuts down Chris’s approval request as outdated	Garry	Chris / Millicent	75	80	Intelligent	He upholds his daughter’s autonomy and relieves Chris of unnecessary gatekeeping.
Donna ensures he’s called “Garry” at her wedding	Donna	Garry	75	80	Intelligent	She publicly validates him, improving how others address him.
Ben calls “Get me Garry Gergich!” for resume task	Ben	Garry / April	70	80	Intelligent	He relies on Garry’s strengths, helping April effectively while affirming Garry’s value.
Garry happily returns from retirement due to liking paperwork	Garry	Parks Department	80	80	Intelligent	He gains enjoyment from tedious work the department urgently needs done.
Garry takes a vacation to Muncie and has a timeshare there	Garry	Gayle / family	70	65	Intelligent	He chooses modest vacations he and his wife clearly enjoy together.
Garry is consistently kind and caring to coworkers	Garry	Coworkers	75	70	Intelligent	Being nice supports relationships and his self‑image despite limited reciprocity.
Garry is a jerk specifically to Kyle	Garry	Kyle	55	25	Bandit	He vents on one person, slightly relieving himself while making life worse for Kyle.
Donna makes fun of him but recognizes limits	Donna	Garry	60	55	Intelligent	Her teasing maintains camaraderie without crossing into serious cruelty.
Ron keeps Garry in a low‑pressure menial role	Ron	Garry	55	65	Intelligent	He protects Garry from stress and the office from his visible‑pressure failures.
Garry uses Altavista and types “please take me to Yahoo.com”	Garry	Himself	45	55	Helpless	Inefficiency mildly harms his own productivity while mostly amusing others.
