Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Rachel repeatedly has to be taught that success depends on others	Rachel	Other people (teachers/friends)	20	30	Stupid	Her ego and forgetfulness block learning, hurting her own growth and straining others who must reteach her.
Rachel’s severe humbling deflates her ego while she retains drive	Rachel	Herself/peers	80	75	Intelligent	Losing status but keeping passion leads to lasting personal growth and better relations with others.
Rachel dates multiple boys despite being labeled unpopular	Rachel	Boys she dates	70	50	Bandit	She gains romantic experience/status; impact on others is mixed/unclear but not clearly beneficial.
Rachel lectures Quinn about Tay-Sachs to pressure paternity confession	Rachel	Quinn	40	20	Bandit	She uses a genetic lecture as a manipulation tactic, helping her agenda while stressing Quinn.
Rachel is treated as an outcast by whole school including glee club	School/glee club	Rachel	10	35	Stupid	Collective ostracism harms Rachel and offers little concrete benefit to others beyond petty satisfaction.
Rachel calls Kurt and Mercedes “lesser glee clubbers”	Rachel	Kurt and Mercedes	35	15	Bandit	She asserts dominance and ego at the cost of teammates’ morale and cohesion.
Rachel tells Tina and Mike their contributions will be “even more insignificant”	Rachel	Tina and Mike	30	10	Bandit	She boosts her own perceived centrality while discouraging and devaluing them.
Rachel sends her new rival to a crack house instead of an audition	Rachel	New rival singer	25	0	Bandit	She removes competition to secure solos while seriously endangering and sabotaging the rival.
Rachel joins many clubs mainly to appear in more yearbook pictures	Rachel	School clubs	65	40	Bandit	She gains visibility and status while free-riding on clubs without caring about their aims.
Rachel suggests forming a Gay Lesbian Alliance to maximize involvement	Rachel	Prospective GLA members	60	60	Intelligent	Her motive is attention, but the club could materially help queer students.
Rachel compliments Cassie’s abs flirtatiously	Rachel	Cassie	55	55	Intelligent	The exchange builds rapport and mutual ego-boost with no visible downside.
Rachel performs terribly in “That’s So Rachel,” show gets canceled	Rachel	Show audience/network	10	40	Helpless	Her poor performance tanks her own show and reputation; audience just laughs and moves on.
Rachel gets a “Big SHUT UP” moment against Puck	Rachel	Puck	60	55	Intelligent	She momentarily asserts herself against someone who often mocks her, benefiting her dignity with little harm.
Rachel is emotionally broken and humiliated by ex-boyfriend and teammates	Ex-boyfriend and teammates	Rachel	5	25	Stupid	They inflict extreme humiliation and emotional harm on her without substantive gain.
Puck and others tolerate Rachel’s obnoxiousness because of her talent	Glee club	Rachel/club	70	75	Intelligent	They endure annoyance to leverage her talent, improving the group’s competitive prospects.
Finn kisses Rachel onstage after “Pretending,” hurting Nationals chances	Finn	Audience/glee club	40	20	Bandit	He enjoys a romantic gesture but costs the group professionalism and likely placement.
Rachel tries to cancel out Finn’s past sex by sleeping with Puck	Rachel	Finn and herself	10	15	Stupid	She miscalculates circumstances, cheats, and ends up dumped, harming both herself and Finn.
Rachel joins every club for maximum yearbook presence	Rachel	Other club members	65	40	Bandit	She gains visibility; others get a disengaged member, slightly diluting resources/attention.
Rachel attempts to storm out in a wheelchair and bumps the doorframe	Rachel	Herself	45	60	Helpless	The failed dramatic exit mildly embarrasses her while amusing others.
Rachel explicitly tells Mr. Schuester she’s in glee to win popularity	Rachel	Mr. Schuester/glee club	55	45	Bandit	She seeks personal popularity; the group still benefits from her talent but is secondary in her mind.
Rachel stays in glee club even when it hurts popularity	Rachel	Glee club	75	70	Intelligent	She sacrifices some social status to remain in a group she values, strengthening it.
Rachel is often framed as victim of bullying by club that also mocks her	Glee club	Rachel	20	30	Stupid	They vent frustration via bullying, harming her more than they gain from minor catharsis.
