Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Holds Storm's End under siege conditions despite starvation	Stannis	Robert’s rebel cause and garrison	80	80	Intelligent	His endurance keeps Robert’s rebellion viable and his men alive, gaining him reputation and survival.
Chooses to support Robert over his lawful Targaryen king in the rebellion	Stannis	Robert	60	40	Bandit	He sacrifices safety for family loyalty, helping Robert win while undermining the prior legal ruler.
Nearly starves to death during the Siege of Storm’s End rather than surrender	Stannis	Himself (for Robert’s cause)	20	65	Helpless	He incurs severe personal harm to benefit his brother’s rebellion and men.
Distributes scarce food to wife and soldiers before eating after the siege is lifted	Stannis	Soldiers and wife	70	85	Intelligent	He forgoes privilege to feed others first, earning deep loyalty at modest personal cost.
Accepts Dragonstone as “reassignment” and broods over slight	Stannis	Himself	30	45	Helpless	His resentment over the posting eats at him without yielding tangible gain.
Frequently berates Renly for not being a warrior	Stannis	Renly	45	30	Bandit	His bullying vents frustration and may reinforce his authority while damaging their relationship.
Refuses to negotiate genuine peace with Renly and Robb because he sees them as thieves	Stannis	Realm at large	40	25	Bandit	Holding to his rigid claim blocks potentially stabilizing alliances and prolongs conflict.
Uses Melisandre’s blood magic to assassinate his brother Renly	Stannis	Renly and Renly’s followers	55	10	Bandit	He removes a rival and gains troops in the short term at great moral and political cost.
Shrugs off Renly’s death as acceptable collateral at first	Stannis	Renly’s memory/house	50	20	Bandit	Emotionally distancing himself helps his focus but deepens others’ hostility to him.
Insists on broadcasting Joffrey’s true parentage to many rather than keep it secret	Stannis	Lannisters and rival claimants	60	40	Bandit	Openly denouncing Joffrey clarifies his claim and weakens opponents while increasing war risk.
Learns of Mance’s invasion and decides to march north to the Wall	Stannis	Night’s Watch and the realm	55	80	Intelligent	He redirects his limited forces to confront the existential threat, benefiting all at some personal strategic cost.
Goes to the Iron Bank, frankly admitting his weak position to secure funds	Stannis	Iron Bank and himself	75	70	Intelligent	His brutal honesty wins crucial financial backing that sustains his campaign.
Holds up in Dragonstone and refuses to see anyone except Melisandre	Stannis	His own cause and court	30	30	Stupid	Withdrawing into isolation erodes alliances and gains no compensating benefit.
Allows Melisandre to burn “heretics” freely after Blackwater	Stannis	Dissenters and his own support base	25	10	Stupid	Terrorizes and shrinks his following while tying himself closer to an unpopular cult.
Nearly strangles Melisandre after Blackwater in a fury over defeat	Stannis	Melisandre	35	30	Stupid	An impulsive attack risks losing his main magical ally without solving his strategic problems.
Decides to use blood magic to kill Gendry for king’s blood	Stannis	Gendry	40	15	Bandit	He seeks magical advantage at the cost of murdering kin, trading ethics for a speculative edge.
Comes to Davos about Gendry instead of killing the boy immediately	Stannis	Davos and Gendry	60	70	Intelligent	He implicitly invites dissent, which opens a path to spare Gendry and keep Davos.
Releases Davos from prison to argue against sacrificing Gendry	Stannis	Davos and Gendry	65	80	Intelligent	He restores a loyal advisor and empowers him to avert an atrocity, strengthening his moral core.
Spares Gendry after Davos’s persuasion	Stannis	Gendry	65	85	Intelligent	He forgoes dubious magical gain to preserve kin and honor, improving legitimacy and trust.
Seriously contemplates burning Gendry earlier for power	Stannis	Gendry	40	20	Bandit	The consideration itself reflects willingness to trade kin for potential advantage.
Tells Davos he doesn’t really want the throne but must claim it from duty	Stannis	His own psyche	60	55	Intelligent	Framing ambition as duty steadies his resolve while anchoring it in a larger rationale.
Burns dissenters alive as a regular tool of rule	Stannis	Dissenters and onlookers	30	15	Bandit	Terror tactics consolidate short-term obedience while poisoning long-term support.
Makes Davos his Hand despite Davos’s low birth	Stannis	Davos and his own rule	85	85	Intelligent	He elevates competence and loyalty over class, gaining an exceptionally faithful and honest Hand.
Leads the fleet and storming party personally at Blackwater	Stannis	His own troops and claim	65	70	Intelligent	Frontline leadership inspires men and nearly wins the city, though it exposes him to risk.
Refuses to retreat at Blackwater until physically forced back	Stannis	His own life and army	35	40	Helpless	His stubborn courage sacrifices men and himself for a now-unwinnable position.
Issues the terse rousing command “Come with me and take this city!” at Blackwater	Stannis	Assaulting soldiers	70	65	Intelligent	A clear, brave lead-from-the-front order galvanizes troops toward a concrete objective.
Holds to burning Mance unless he bends the knee	Stannis	Mance and wildlings	55	45	Bandit	He seeks submission and northern strength but alienates wildlings who might have joined more freely.
Refuses Melisandre’s initial suggestion to sacrifice Shireen	Stannis	Shireen	70	80	Intelligent	He protects his daughter and his humanity, preserving family and moral authority.
