Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Claims she must be pregnant because a stork is nesting nearby	Brittany	Herself	20	55	Helpless	Her delusion causes confusion and potential anxiety for herself with no benefit, while not clearly affecting others.
Attempts scissoring over Skype	Brittany	Remote partner	45	40	Bandit	She seeks sexual gratification but risks embarrassment/relationship issues without clear gain for the partner.
Dates Kurt as his “beard” to help him appear straight	Brittany	Kurt	55	70	Intelligent	She gains companionship and social status while helping Kurt’s closeting goals at the time.
Reacts graciously to being called stupid but quietly holds a grudge	Brittany	Insulter	60	30	Bandit	Polite response preserves her image while she later withholds goodwill from them.
Runs for or accepts being framed as Betty in love triangle with Puck and Santana	Brittany	Puck & Santana	55	35	Bandit	She pursues romantic attention which complicates others’ relationships.
Becomes Veronica to Tina’s Betty in triangle with Artie	Brittany	Tina & Artie	55	35	Bandit	She seeks Artie’s attention at Tina’s expense, creating tension.
Serves as Archie in triangle with Artie and Santana	Brittany	Artie & Santana	55	35	Bandit	She benefits from dual romantic interest while fostering rivalry.
Claims she lost virginity to “alien” visiting her tent	Brittany	Herself	25	50	Helpless	If taken as bed trick, she was deceived and sexually exploited, harming herself with unclear effects on others.
Correctly reads others’ emotions and befriends people easily	Brittany	Peers	70	80	Intelligent	Her social savvy helps her build networks and gives others emotional understanding.
Answers “a male duck” when asked what a ballad is	Brittany	Mr. Schue / class	45	55	Intelligent	Wrong academically but lightens mood and harms no one; maintains her likable persona.
Teaches “Single Ladies” choreography as professional dancer	Heather/Brittany	Club members	70	85	Intelligent	She showcases her skill and boosts group performance quality.
Returns for 100th episode and accepts Santana’s offer to go to New York	Brittany	Santana	75	80	Intelligent	She rekindles a key relationship and opens new opportunities for both.
Makes out frequently with boys while show delays kissing girlfriend	Brittany	Male partners	65	40	Bandit	She gains experience/status while reinforcing unequal visibility for her same-sex relationship.
Stops learning alphabet after mixing up M and N	Brittany	Herself	15	55	Helpless	She harms her own education without affecting others significantly.
Frames herself as living in Britney Spears’s shadow	Brittany	Herself	30	55	Helpless	Her insecurity limits self-esteem with no benefit to her or others.
Runs a popular internet vlog/talk show	Brittany	Audience	70	75	Intelligent	She gains attention/creative outlet while entertaining viewers.
