Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Calls Roman “Romey”, Kendall “Kenny”, Shiv “Baby” and treats them as little kids	Connor	Roman, Kendall, Shiv	60	55	Intelligent	Familiar nicknames and gentle infantilizing seem to reinforce affection with no shown harm.
Runs for president as a vanity project to pass time and feel accomplished	Connor	General public / political system	40	25	Bandit	He spends money and gets ego gratification while pointlessly cluttering politics with an unserious candidacy.
Constantly starts new “project of the week” then drops it	Connor	Himself / anyone involved	35	50	Helpless	His flitting attention wastes his own time/resources without clear benefit to others.
Reacting angrily when Roman jokes about their mother’s institutionalization	Connor	Roman	45	40	Stupid	Outburst vents his hurt but achieves nothing and strains the sibling interaction.
Gets angry at people who forget he is the eldest son	Connor	Family members	35	30	Stupid	His status-obsessed anger brings no gain and just alienates others.
Takes Roman fishing and gives him a “single happy childhood memory”	Connor	Roman	70	80	Intelligent	He creates a rare positive bonding experience for both.
Tries to be a good older brother to Shiv at the ranch and offers to walk her down the aisle	Connor	Shiv	75	80	Intelligent	He provides emotional support and a father-figure gesture that comforts her.
Retracts his comment that Logan didn’t love him and pivots to comforting siblings when Logan dies	Connor	Roman, Kendall, Shiv	75	85	Intelligent	He suppresses his own grievance to stabilize and support his grieving siblings.
Begging Logan for $100M to cover Willa’s play debts	Connor	Logan	30	30	Stupid	He reveals weakness and dependence without achieving respect or clear lasting advantage.
Volunteers to take the fall for the cruises scandal	Connor	Logan / Waystar	10	40	Helpless	Offering himself as a scapegoat would heavily endanger him while only marginally helping the company.
Pays Willa to date him as an escort “girlfriend”	Connor	Willa	60	45	Bandit	He buys companionship to soothe his loneliness while objectifying her and keeping a power imbalance.
Talks condescendingly to a Black dancer assuming his life is hard	Connor	Black dancer	55	25	Bandit	He gets to feel compassionate and superior, while the dancer is stereotyped and belittled.
Casually talks to Willa about Lester the abuser and defends it as a “different time”	Connor	Willa / abuse victims	45	20	Stupid	His normalization of abuse unsettles Willa and minimizes harm with no benefit.
Has a meltdown when a party doesn’t go his way	Connor	Party guests / staff	30	25	Stupid	He indulges his control issues, ruining the event’s mood without gain.
Hoarding water on his land in expectation of scarcity to sell later	Connor	Future water-needy others	75	20	Bandit	He positions himself for profit from crisis while worsening access for others.
Runs for president on an anti‑masturbation plank	Connor	Public	40	20	Bandit	He feeds his ego with a bizarre plank that would reduce personal freedoms if influential.
Funds Willa’s play	Connor	Willa	45	60	Helpless	He loses large sums and incurs debt, while Willa and her work get substantial backing.
Makes younger women uncomfortable at the bachelor party by professing love	Connor	Younger women	40	10	Stupid	His neediness and declarations get him rejected and disturb them with no upside.
Follows a “really nice girl” around at Prague while she hides from him	Connor	Target woman	30	5	Stupid	His stalking behavior creeps her out and degrades his own social standing.
Chugs alcohol and sings tearful karaoke after Willa’s doubts about the wedding	Connor	Himself / onlookers	20	45	Helpless	He self-medicates and embarrasses himself while others only mildly bond or observe.
Pays for Willa’s lifestyle and indulges his eccentric hobbies with his wealth	Connor	Himself	80	55	Intelligent	He uses his privilege to enjoy life and fund interests without clear harm.
Becomes protective of Willa in an endearingly dorky way	Connor	Willa	70	75	Intelligent	His awkward protectiveness makes her feel valued and deepens mutual affection.
Pressures Willa to stop sex work and limit seeing others	Connor	Willa	65	25	Bandit	He gains exclusivity and emotional security by curtailing her autonomy.
Tells a Black reporter/dancer type that “Lester touched all of us” as if it’s funny	Connor	Audience / siblings	35	10	Stupid	He trivializes abuse, unsettling others and damaging his own image.
Pays a woman to be his girlfriend because of loneliness	Connor	Willa	55	40	Bandit	He alleviates isolation through a transactional tie that reinforces dependency and inequality.
Falls for Logan’s “you’re number one” emotional blackmail	Connor	Logan	25	40	Helpless	He sacrifices independence and dignity for hollow validation, marginally helping Logan keep control.
Creeps on multiple girls at the Prague party and asks where they were on 9/11	Connor	Party girls	35	10	Stupid	His morbid fixation and hovering unsettle them and socially backfire on him.
Verbally attacks Gil in a “debate” with shallow insults	Connor	Gil	55	30	Bandit	He enjoys a feeling of victory while degrading discourse and wasting Gil’s time.
Shows little concern for siblings during an active‑shooter report, caring more about a funeral and funds	Connor	Roman, Kendall, Shiv	60	15	Bandit	He preserves his composure and political focus while disregarding their safety.
Pimps Willa out to further his political ambitions	Connor	Willa	60	15	Bandit	He leverages her image and time for campaign visibility at the cost of her dignity and comfort.
Makes a blowjob joke about Shiv to get something from her	Connor	Shiv	55	20	Bandit	He gains momentary leverage/attention by humiliating his sister.
Explodes at siblings for taking advantage of him and asserts “I am the eldest son”	Connor	Roman, Kendall, Shiv	50	45	Stupid	He vents legitimate resentment but escalates conflict without concrete improvement.
Leaves after Kendall’s “eldest son” slight, removing himself from Kendall’s confession scene	Connor	Kendall	55	40	Stupid	His hurt exit denies himself involvement and support opportunities for Kendall.
Criticizes siblings for being “love sponges” still chasing Logan’s approval	Connor	Roman, Kendall, Shiv	70	65	Intelligent	His candid observation briefly shakes their delusions and reflects his own growth.
Sits down with Willa for an honest talk about their transactional relationship	Connor	Willa	80	85	Intelligent	The clarity strengthens their arrangement and makes both more secure and aligned.
Listens to Willa’s wishes and factors them into his decision about an ambassadorship	Connor	Willa	75	80	Intelligent	He restrains his ego and considers her preferences in a major life choice.
Claims he doesn’t like to take sides, then immediately says he’s on Shiv’s side	Connor	Shiv / others	55	45	Stupid	His contradiction slightly reassures Shiv while undermining his credibility and neutrality.
Monitors Willa’s every move via a secret tracking app on her phone	Connor	Willa	50	5	Stupid	He gains anxious pseudo-control while gravely violating her privacy and trust.
Intervenes to mediate his siblings’ relationship with Logan in season 4	Connor	Roman, Kendall, Shiv, Logan	60	65	Intelligent	He attempts to deescalate their destructive pattern and promote communication.
Tells Kendall in the S3 finale to stop whining and implies he’s suicidal just because he lost CEO	Connor	Kendall	40	15	Stupid	His tough‑love dismissal invalidates Kendall’s crisis and offers no productive help.
Defends Mo and the “wolf pack” as a “different time” with “memory gems”	Connor	Abuse victims / siblings	35	10	Stupid	He rewrites abuse as fond nostalgia, harming survivors’ validation without personal gain.
Explains to a child that he’s developing land and will hoard the water when scarcity comes	Connor	Child / future others	75	15	Bandit	He frames an exploitative survivalist scheme to a child, planning profit at others’ expense.
Accidentally informs Logan that Kendall will announce his retirement at RECNY gala	Connor	Kendall	30	25	Stupid	His careless disclosure triggers Logan’s countermove and worsens Kendall’s situation.
Mocks Greg for turning down Ewan’s $250M, prompting Greg to arm Kendall with documents	Connor	Greg / indirectly Logan	55	30	Bandit	His teasing amuses himself and prods Greg toward a move that contributes to Logan’s exposure.
