Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Puck vandalizes Vocal Adrenaline's cars by slicing their tires	Puck	Vocal Adrenaline members	25	5	Stupid	He gains only fleeting satisfaction while causing significant property damage and retaliation risk.
Puck slushies Rachel on his first appearance	Puck	Rachel	40	10	Bandit	He reinforces his bully image and social status at Rachel’s expense.
Puck opens a pool business and sleeps with various single moms	Puck	Single moms / their families	70	15	Bandit	He gains money and sex while creating potential emotional and relational harm for others.
Puck has sex with Rachel while she is with Finn	Puck	Finn	60	10	Bandit	He gets sex and validation but damages Finn and the friendship.
Puck dates Shelby, his baby's adoptive mom, and has sex with her	Puck	Shelby / Beth	55	20	Bandit	He gains intimacy and access to Beth while risking emotional instability for Shelby and Beth.
Puck frequently beats people up	Puck	School peers	55	10	Bandit	He maintains tough-guy status through physical harm to others.
Puck encourages Matt and Mike (and other boys) to help him get revenge on Jesse and Vocal Adrenaline	Puck	Jesse & Vocal Adrenaline	35	20	Bandit	He rallies a group for payback that would bring him satisfaction while escalating potential conflict.
Puck uses his pool cleaning job to seduce bored housewives	Puck	Bored housewives / their families	70	15	Bandit	He exploits work access for sex, risking others’ relationships for his gain.
Puck “eats the eye candy” and spices it up with a nipple ring to seduce older women	Puck	Older women	65	20	Bandit	He markets his body for sexual success, manipulating others’ attraction.
Puck flies across the country to give Jake advice and support	Puck	Jake	80	85	Intelligent	He invests time and effort to help his half-brother, strengthening their bond.
Puck joins the Air Force and “sorts himself out”	Puck	Puck (future colleagues, family)	90	75	Intelligent	He gains structure and maturity, eventually contributing more positively to others.
Puck attempts to be in his daughter Beth’s life	Puck	Beth	75	80	Intelligent	He accepts responsibility as a father, aiming to benefit both himself and his child.
Puck resolves to put his obnoxious and womanizing behavior to bed to be with Shelby and Beth	Puck	Shelby and Beth	80	80	Intelligent	He consciously reforms for the sake of a stable family dynamic.
Puck helps Artie to fulfill his community service requirement	Puck	Artie	65	75	Intelligent	Even if initially self-serving, it becomes a genuine supportive friendship.
Puck is generally very supportive and protective of Jake	Puck	Jake	80	85	Intelligent	He acts as a big brother, offering ongoing emotional and practical support.
Puck decides not to beat up the wimpy kids and lets them throw him in the dumpster	Puck	Wimpy kids / social group	45	65	Helpless	He accepts humiliation to uphold his notion of “fair” social order, benefiting others’ sense of justice more than himself.
Puck starts to work back up the social ladder “fairly” by dating a cheerleader	Puck	Cheerleader	60	40	Bandit	He tries to regain status via a strategic relationship that objectifies the girl.
Puck seduces Rachel using their shared Judaism after his mom tells him to date a nice Jewish girl	Puck	Rachel	65	30	Bandit	He instrumentalizes a shared identity to secure sex/romance, with limited regard for her feelings.
Puck mocks Kurt endlessly	Puck	Kurt	55	20	Bandit	He bolsters his macho image through repeated verbal jabs at Kurt’s expense.
Puck reacts to Kurt leaving by putting Karofsky on his “hit list”	Puck	Karofsky	50	30	Bandit	He channels loyalty to Kurt into a threat of violence that mainly risks escalation.
Puck suggests that after he started having sex with older women he didn’t feel the need to beat people up	Puck	Bullied peers	55	45	Bandit	He reduces physical bullying but replaces it with exploitative behavior toward others.
Puck is mostly respectful to Quinn and Rachel while dating them	Puck	Quinn and Rachel	70	75	Intelligent	Relative to his reputation, he behaves considerately toward his partners, benefiting both sides.
Puck uses Artie initially just to fulfill his community service requirement	Puck	Artie	60	35	Bandit	He leverages Artie for his own obligation, with only incidental benefit to Artie at first.
Puck gives a rousing speech in “The Sue Sylvester Shuffle”	Puck	New Directions	70	80	Intelligent	He motivates his team, boosting morale and cohesion along with his own role.
Puck joins with the other boys to ship Finn and Rachel	Puck	Finn and Rachel	60	70	Intelligent	He supports a relationship he believes is good for them, gaining group harmony and vicarious satisfaction.
Puck dates Lauren Zizes after she batters Santana	Puck	Lauren	65	65	Intelligent	He pursues a more equal, mutual relationship that positively develops both characters.
Puck has moments of regression in Season 4, including implied sex with Kitty	Puck	Kitty	55	35	Bandit	He slides back into casual, self-serving behavior that risks Kitty’s emotional well-being.
Puck sings “Hot for Teacher” based on his feelings for Shelby	Puck	Shelby	60	30	Bandit	He publicly sexualizes his teacher, indulging his crush while creating discomfort and complications for her.
Puck believes telling Brittany Santa isn’t real would be cruel and withholds the truth	Puck	Brittany	65	60	Intelligent	He sacrifices strict honesty to preserve her happiness, with minimal cost to himself.
Puck boasts, belittling Glee clubmates who have more success	Puck	Glee clubmates	55	30	Bandit	He props up his ego by demeaning others’ achievements.
Puck impregnates his best friend Finn’s girlfriend, Quinn	Puck	Finn and Quinn	40	5	Bandit	He gains short-term sexual gratification while causing severe emotional and relational damage.
Puck uses his and Rachel’s shared Judaism multiple times to pursue her sexually	Puck	Rachel	60	30	Bandit	He repeatedly exploits identity and emotional bonds mainly for his own sexual goals.
Puck accepts juvenile detention time after stealing an ATM (implied earlier theft)	Puck	ATM owner / community	20	15	Stupid	He takes a big legal risk for limited gain, causing property loss and getting jailed.
