Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Steps up to protect teenaged Rip from hazing	Bully Hunter (Lloyd)	Rip	78	82	Intelligent	Protecting Rip improves Rip’s safety and cements Lloyd’s role as trusted protector.
Protects other youngsters at the ranch over time	Bully Hunter (Lloyd)	Youngsters at the ranch	70	88	Intelligent	Ongoing defense of youths helps them and reinforces his value on the ranch.
Maintains high roping skill and keeps up with younger men	Lloyd	Other wranglers / ranch operation	80	72	Intelligent	His competence benefits his standing and contributes to the ranch’s effectiveness.
Enters a brief May–December romance with Laramie	Lloyd	Laramie	60	55	Intelligent	Both get companionship/romance with no clear stated harm.
Convinces Laramie to start dating Walker	Lloyd	Laramie and Walker	40	65	Helpless	He sacrifices his own romantic situation while giving Laramie/Walker a relationship they want.
Acts irrationally toward Walker after Walker hooks up with Laramie	Lloyd	Walker and ranch social group	30	25	Stupid	His irrational hostility hurts relationships and his own standing without helping him.
Allows behavior to alienate him from other ranchers	Lloyd	Lloyd’s own social ties / other ranchers	22	28	Stupid	Becoming ostracized damages his support network and group cohesion for no gain.
Starts a fight after Walker offers a peace offering	Lloyd	Walker	18	20	Stupid	Rejecting peace escalates conflict, worsening his position and harming group harmony.
Lets feud interfere with his work performance	Lloyd	Ranch operations / coworkers	15	30	Stupid	Work degradation risks his job and burdens others with no compensating benefit.
Rip demotes Lloyd to low-man role until he recovers	Rip	Lloyd	35	60	Bandit	Demotion protects ranch efficiency and discipline while clearly harming Lloyd’s status.
Stabs Walker non‑fatally	Lloyd	Walker	10	15	Stupid	Serious violence greatly harms himself (legal, social, disciplinary risk) and Walker without clear benefit.
Rip initiates a brawl between Lloyd and Walker to settle matter	Rip	Lloyd and Walker	45	40	Bandit	Physical “settlement” may restore order for Rip/leadership but injures both combatants and sets harsh precedent.
Spares Lloyd from being sent “to the train station” because of loyalty and history	Rip	Lloyd	70	40	Bandit	Sparing Lloyd benefits Lloyd and preserves a valuable employee but risks undermining strict enforcement of rules.
Pawns rare, expensive belt buckle to buy a guitar for Walker	Lloyd	Lloyd’s own assets	35	75	Helpless	He loses a valuable personal item to provide Walker a meaningful gift that aids reconciliation.
Gives the guitar to Walker as a peace offering	Lloyd	Walker	55	80	Intelligent	He gains restored peace/standing while Walker gains a thoughtful gift and reconciliation.
Commits acts “up to and including murder” to protect John’s interests	Lloyd	John’s enemies / broader others	65	10	Bandit	He secures John’s safety and his own position at heavy moral and physical cost to others.
