Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Pierce routinely mispronounces Abed's name as "Ay-bed".	Pierce	Abed	40	25	Stupid	He gains nothing tangible while mildly disrespecting and annoying Abed.
Pierce acts like the guy who does or says what everyone else wants but isn’t willing to.	Pierce	Study group / others	55	20	Bandit	He vents and feels bold at others’ social expense.
Pierce misguesses another man's berserk button but reveals his own (hair loss).	Pierce	Other man / himself	40	45	Helpless	He exposes his own insecurity without achieving his intended insight about the other person.
Pierce hires LeVar Burton to meet Troy as revenge, knowing it will traumatize Troy.	Pierce	Troy	30	5	Bandit	He gets petty revenge and satisfaction while severely distressing Troy.
Pierce posthumously hires Burton to support Troy’s journey when he leaves Greendale.	Pierce (posthumous)	Troy	70	85	Intelligent	He uses his resources after death to meaningfully help Troy grow.
Pierce lashes out and increasingly antagonizes the group and other students due to resentment at being the Butt-Monkey.	Pierce	Study group & students	20	10	Stupid	His escalating cruelty socially isolates him further while harming everyone else.
Pierce tries to hit on Shirley.	Pierce	Shirley	45	35	Stupid	He embarrasses himself and makes Shirley uncomfortable without real gain.
Pierce admits Jeff has reasons to hate him and decides to be the group’s bad guy for Jeff’s sake.	Pierce	Study group (esp. Jeff)	60	65	Intelligent	He accepts blame and consciously absorbs negativity to stabilize Jeff and the group.
Pierce objects to "gay" as a derogatory term after Alan says it to Jeff.	Pierce	Jeff / group	55	70	Intelligent	He momentarily uses his status to challenge a harmful insult, helping others with little cost.
Pierce helps Britta in "Herstory of Dance" out of shared determination.	Pierce	Britta	65	70	Intelligent	He invests effort to support Britta’s perseverance, benefiting both.
Pierce openly and hopelessly lusts after the much younger women in the group.	Pierce	Female study group members	35	25	Stupid	His behavior creeps them out and damages his image without yielding real benefits.
Pierce theorizes Shirley may be pregnant with Chang's baby just because she voted against him.	Pierce	Shirley	15	10	Stupid	He creates gratuitous distress and conflict while only feeding his paranoia and resentment.
Pierce runs for student body president solely to publicly humiliate Vicki for not lending him a pencil.	Pierce	Vicki	25	5	Bandit	He gets a platform for petty revenge at great humiliation to Vicki.
Pierce fakes his own death and torments each study-group member with psychologically targeted "gifts".	Pierce	Study group	10	5	Stupid	His elaborate scheme traumatises friends and further alienates him, offering no lasting benefit.
Pierce tries to strip the last remaining joy from suicidal Neil and bullies him over his weight in AD&D.	Pierce	Neil	5	0	Stupid	He sadistically attacks a vulnerable person, deepening his own ostracism and risking Neil’s life.
Pierce flees to Canada to avoid the Vietnam War draft.	Pierce	US military effort	65	35	Helpless	He preserves his own safety while arguably shifting burdens onto others and earning social stigma.
Pierce tells Jeff he’s being a bad friend by overusing “Britta” as an insult.	Pierce	Jeff / Britta	60	75	Intelligent	He correctly calls out destructive behavior, helping Britta and nudging Jeff with minimal cost.
Pierce repeatedly complains to his mother about Jeff bullying him and lies that he has a girlfriend in Canada.	Pierce	Pierce’s mother	50	60	Intelligent	He gains emotional support and spares her some worry via a mostly harmless lie.
Pierce rejects his father’s inheritance so Gilbert can have it, recognizing the racist abuse Gilbert suffered.	Pierce	Gilbert Lawson	80	90	Intelligent	He sacrifices material gain to repair injustice and give Gilbert resources and validation.
Pierce expresses horror when Leonard’s gang abandons a senile old man to take the fall.	Pierce	Senile old man	55	60	Intelligent	His moral objection costs him nothing and affirms concern for a vulnerable person.
Pierce is disgusted by Duncan’s bullying of catatonic Abed.	Pierce	Abed	55	65	Intelligent	He recognizes and opposes excessive cruelty, emotionally siding with Abed.
Pierce thinks Jeff’s implication that all black people are in prison goes too far.	Pierce	Black people / group	55	60	Intelligent	He identifies an unacceptable boundary, slightly improving norms.
Pierce encourages Shirley to overcome her fear of public speaking with sales-pitch exercises.	Pierce	Shirley	70	85	Intelligent	He uses his skills to coach her, boosting both his usefulness and her confidence.
Pierce tries to force the term "streets ahead" to become hip.	Pierce	Student body	45	45	Helpless	His push makes him look out-of-touch and annoys others without real benefit.
Pierce talks about Jeff bullying him to his mother and seeks her sympathy.	Pierce	Jeff / mother	55	55	Helpless	He gains comfort but reinforces his victim mindset without solving the relationship.
Pierce chooses to help the group beat his father in "Digital Estate Planning" and urges Gilbert to stand up too.	Pierce	Study group & Gilbert	75	90	Intelligent	He allies with them against Cornelius, healing relationships and confronting abuse.
Pierce happily embraces Gilbert as the brother he always wanted.	Pierce	Gilbert	80	90	Intelligent	He gains family connection and gives Gilbert acceptance and affection.
Pierce accurately predicts the future of video games and pitches the idea to his father.	Pierce	Cornelius / business	65	55	Intelligent	His foresight could benefit both, though Cornelius’ rejection blunts the outcome.
Pierce tells Shirley that Chang might be the father of her baby, partly out of spite.	Pierce	Shirley	30	40	Bandit	He delivers necessary but painful information in the most hurtful way, mixing truth with cruelty.
Pierce often talks to his mother about his feelings of being bullied by Jeff.	Pierce	Pierce’s mother	55	55	Helpless	He gets some emotional release but entrenches his grievance without resolving it.
Pierce buys Troy and Abed’s handshake just so he can ruin it.	Pierce	Troy & Abed	35	15	Bandit	He gets petty satisfaction while damaging their harmless joy and closeness.
Pierce sleeps with the Spanish teacher to help his friends pass the class.	Pierce	Spanish teacher / study group	60	70	Intelligent	He sacrifices some dignity for grades, and the group benefits academically.
Pierce pretends to overdose on pills to play manipulative mind games.	Pierce	Study group	20	10	Stupid	His fake crisis traumatizes others and destroys trust while providing only fleeting attention.
Pierce breaks both his legs and gets the trampoline removed after discovering Jeff and Troy's "secret trampoline".	Pierce	Jeff & Troy / campus	10	20	Stupid	He injures himself and ruins a shared joy through meddling.
Pierce goes off-script in an anti-drug PSA and excites middle-schoolers about drugs.	Pierce	Middle-school students	15	10	Stupid	He undermines the PSA’s goal and damages his reputation without any clear gain.
Pierce crashes the Dungeons & Dragons suicide-intervention game and nearly derails it.	Pierce	Neil & study group	5	5	Stupid	He jeopardizes a life-saving plan and deepens his exclusion.
Jeff uses Pierce as a decoy in paintball by telling him not to come over, knowing he will.	Jeff	Pierce	70	20	Bandit	Jeff gains a tactical advantage at a clear physical cost to Pierce.
Pierce fakes a heart attack twice to win the paintball game.	Pierce	Opponents in paintball	75	20	Bandit	He secures personal victory by deceiving others and exploiting their concern.
Pierce does the group’s history project alone after they abandon him for their own plots.	Pierce	Study group	70	80	Intelligent	He demonstrates competence and responsibility, helping everyone’s grade and slightly redeeming himself.
Pierce falsely admits to getting Jeff kicked out of Kane’s class so the group can blame him instead of Jeff.	Pierce	Jeff / study group	65	60	Intelligent	He voluntarily becomes a scapegoat to preserve group cohesion and give Jeff an excuse.
Pierce arranges for Sophie B. Hawkins to appear at Britta’s dance to defend her against Jeff’s mockery.	Pierce	Britta	75	85	Intelligent	He spends effort/resources to vindicate Britta and punish Jeff’s cruelty.
Pierce gives Annie a tiara as a genuine, non-manipulative gift.	Pierce	Annie	70	80	Intelligent	He expresses sincere affection, strengthening that relationship at no real cost.
Pierce leaves supportive gifts and kind words for Britta, Shirley, Annie, and Troy in his will.	Pierce (posthumous)	Those four group members	80	90	Intelligent	His bequests affirm respect and affection, improving their closure and his posthumous image.
Pierce uses a posthumous polygraph test to turn the group against each other.	Pierce (posthumous)	Study group	10	5	Stupid	His final scheme causes conflict and pain without benefiting him.
Pierce leaves only an insult and sperm for Abed in his will.	Pierce (posthumous)	Abed	15	10	Stupid	He expends effort to demean Abed, worsening Abed’s treatment and his own legacy.
Pierce leaves Jeff a "gift" that’s just one last gay accusation.	Pierce (posthumous)	Jeff	25	25	Stupid	He forgoes a chance at reconciliation for a cheap jab that yields no benefit.
Pierce fills multiple canisters of sperm for his will, causing himself to die of dehydration.	Pierce	Himself	0	40	Helpless	His overcommitment to a bizarre bequest literally kills him, though others gain material/closure.
Pierce helps Shirley plan a sandwich shop in Season 3.	Pierce	Shirley	70	80	Intelligent	He channels his business savvy into a shared dream, strengthening their bond and prospects.
