Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
He smugly boasts that he'll eat Kendall and the Roys one by one	Lawrence	Kendall and the Roys	45	20	Bandit	Verbal threat aims to intimidate rivals and boost his status but yields no realized gain and some reputational risk.
He does not side with Kendall’s vote of no confidence against Logan	Lawrence	Kendall	70	15	Bandit	Betrayal protects Lawrence’s standing with Logan while directly harming Kendall’s position.
He runs a huge digital media company that Kendall acquires	Lawrence	His company’s employees/investors	75	60	Intelligent	Building a major company benefits himself and provides jobs and a product that others value.
He is shown in bed with a man when Kendall calls him	Lawrence	His partner	70	50	Intelligent	Maintaining an intimate relationship benefits him and is neutral-to-positive for the partner as depicted.
He brings his (presumed) husband to a bar to meet Roman	Lawrence	Roman and husband	60	55	Intelligent	Social introduction strengthens personal relationship and builds business/social contact with Roman.
He makes his disdain clear to Kendall in private	Lawrence	Kendall	40	30	Bandit	Honest contempt may feel satisfying or strategic to Lawrence but risks relationship and cooperation with Kendall.
He presents himself as totally unreadable to the Roys	Lawrence	The Roy family	65	35	Bandit	Strategic opacity protects his negotiating position but hinders mutual trust and collaboration.
He tells Kendall that Logan has had a brain hemorrhage	Lawrence	Kendall	55	40	Intelligent	Conveying crucial information fulfills a necessary duty despite Kendall’s distress.
He follows the news immediately with the threat about “eating” Kendall one by one	Lawrence	Kendall	35	20	Bandit	Timing the threat to Kendall’s shock aims to exploit his weakness but gives no later payoff and worsens relations.
He gets cold feet and betrays Kendall at the vote against Logan	Lawrence	Kendall	30	10	Bandit	Short-term self-preservation with Logan severely harms Kendall by costing him the vote.
Kendall fires Lawrence by gutting Vaulter on Logan’s orders	Kendall	Lawrence	80	5	Bandit	Kendall secures favor with Logan and the company at the direct expense of Lawrence’s career and firm.
Lawrence devolves into confused anger after Vaulter is gutted	Lawrence	Himself	20	40	Helpless	His inability to manage the setback leaves him emotionally wrecked with no benefit to himself and slight vindication for others.
Lawrence is visibly shaken and nervous when books are being messed with and Kendall hints at stripping Vaulter	Lawrence	Himself	30	45	Helpless	His anxiety harms his own composure while offering Kendall leverage and information.
He and Kendall repeatedly “spit venom” at each other	Lawrence & Kendall	Each other	35	35	Stupid	Ongoing mutual hostility damages both men’s working relationship without clear advantage to either.
He tells Kendall he’d never do business with the Roys	Lawrence	The Roy family	25	30	Stupid	Overconfident refusal precedes his company being acquired and gutted, leaving him worse off and not clearly benefiting anyone long-term.
He steps into the elevator and rubs sanitizer on his hands after rejecting business with the Roys	Lawrence	The Roy family	40	30	Bandit	The gesture reinforces his moral/psychological distance from them, giving him self-satisfaction while further insulting potential partners.
