Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
She frequently lied about her age.	Eleanor	Others around her 	60	35	Bandit	She gains perceived social benefit while mildly deceiving others.
She legally emancipated herself from her parents at fourteen.	Eleanor	Eleanor	40	55	Helpless	She escapes neglectful parents (benefit) but incurs major hardship living alone so young.
Her parents shrugged and signed the emancipation papers, happy to be rid of her.	Doug and Donna	Eleanor	70	5	Bandit	They relieve themselves of responsibility at great cost to their child.
She worked two jobs while attending high school.	Eleanor	Eleanor	80	60	Intelligent	She sacrifices time/energy to improve her situation and harms no one.
She put herself through college.	Eleanor	Eleanor	85	70	Intelligent	Long-term self-investment with no shown harm to others.
She blew off a full-time job at a successful company for a commitment-free, dubious sales job.	Eleanor	Eleanor’s career prospects	30	35	Helpless	She trades long-term stability for short-term ease, ultimately limiting herself with little benefit to others.
She sold fake allergy medication (NasaPRO) to the sick and elderly.	Eleanor	Customers (esp. sick and elderly)	75	5	Bandit	She gains money/status as top salesperson while knowingly selling ineffective product.
She was the top salesperson five years running at NasaPRO.	Eleanor	NasaPRO customers	80	10	Bandit	Sustained personal success depends on ongoing exploitation of vulnerable buyers.
She quit a high paying job because it required social bonding games with coworkers.	Eleanor	Eleanor’s future self	25	55	Helpless	She sacrifices significant long-term benefit to avoid momentary discomfort, without helping others.
She abandoned her car the minute the oil change light came on.	Eleanor	Eleanor	20	50	Helpless	She avoids a small hassle but creates a much larger future problem for herself, affecting no one else.
She frequented a nearby coffee shop owned by a pervert just because it was closer.	Eleanor	Herself (safety/comfort)	40	45	Helpless	She knowingly accepts a worse environment for minor convenience, with neutral impact on others.
She asked a mailman repeatedly to take his shirt off and got banned from the post office.	Eleanor	Mailman / postal service	30	30	Stupid	She harasses workers, gets banned, and gains no lasting benefit.
She lied about having a terminal illness to meet Scott Wolf.	Eleanor	Scott Wolf / event organizers	65	25	Bandit	She obtains a personal experience by exploiting others’ sympathy under false pretenses.
She got into 88 fights with children selling fundraiser items.	Eleanor	Children fundraisers	35	10	Bandit	She vents aggression and refuses to support them, slightly gratifying herself while clearly harming kids’ efforts.
She screamed at 22 different waiters.	Eleanor	Waiters	40	15	Bandit	She releases frustration at service staff, mildly satisfying herself while mistreating others.
She crashed Vanessa Garcia’s quinceañera.	Eleanor	Vanessa / party guests	45	20	Bandit	She intrudes for her own amusement at others’ expense.
She showed a 9‑year‑old child The Shining.	Eleanor	9-year-old child	40	15	Bandit	She amuses herself by exposing a child to inappropriate horror, likely scaring them.
She cyberbullied a pregnant woman from her spin class.	Eleanor	Pregnant woman	40	10	Bandit	She gains emotional venting/power while clearly causing distress to a vulnerable target.
She lived only to please herself and for instant gratification.	Eleanor	Others around her	55	30	Bandit	Her hedonism benefits her short-term but repeatedly harms or disregards others.
She believed doing good was pointless and therefore didn’t try.	Eleanor	People she might have helped	35	30	Helpless	Her cynicism limits her growth and deprives others of possible help.
She once lied about having a terminal illness to meet Scott Wolf (same act, noted again).	Eleanor	Scott Wolf / event organizers	65	25	Bandit	Same lie trades others’ compassion for her personal gain.
She spent frequent time with her cousin’s daughter Little Julie to help because the cousin was a mess.	Eleanor	Little Julie	70	85	Intelligent	She gains some fulfillment while primarily giving altruistic, meaningful support to a child.
She spent time with Brittany and Madison mainly for drinking, not friendship.	Eleanor	Co‑workers / herself	55	45	Helpless	She gets shallow gratification while preventing deeper connections, mildly harming her own long-term well-being.
She announced at a new high school that she didn’t want to be friends with anyone.	Eleanor	Herself / peers	30	45	Helpless	She preemptively isolates herself, hurting her own social life without real benefit or clear harm to others.
She refused praise from another loner who respected her.	Eleanor	Other loner	35	55	Helpless	She closes off potential connection, hurting herself more than anyone else.
She frequently drowned her sorrows in alcohol (implied).	Eleanor	Herself	25	45	Helpless	Short-term relief undermines her long-term emotional health, with little effect on others.
She showed a lifetime pattern of mocking others to distract from emptiness.	Eleanor	People around her	50	30	Bandit	She soothes her insecurity by belittling others, modestly helping herself while hurting social environment.
She loved shrimp and margaritias to excess (hedonistic food habit).	Eleanor	Herself	60	50	Helpless	She gets pleasure while contributing to unhealthy habits; effects mostly on herself.
She told off her mother for arriving drunk to Doug’s funeral and insulting him.	Eleanor	Donna	70	75	Intelligent	She protects her own grief and sets a needed boundary, indirectly respecting Doug’s memory and decorum.
She told Donna not to “fork up” Patricia’s life like she did Eleanor’s.	Eleanor	Patricia (via Donna)	70	80	Intelligent	She uses her pain to push for better parenting, helping her stepsister and giving herself some closure.
She took her young cousin for a churro dog outing.	Eleanor	Younger cousin	65	80	Intelligent	She gains warmth/connection while giving the child a positive experience.
She frequently spent time with Little Julie purely to help.	Eleanor	Little Julie	75	90	Intelligent	She gains modest satisfaction but primarily invests in the child’s well-being.
She hesitated to blow off house‑sitting because she didn’t want the dog to starve.	Eleanor	Her friend’s dog	60	75	Intelligent	Her concern benefits the dog and reflects some moral awareness.
She left all the food out for the dog, leading it to obesity but survival.	Eleanor	Friend’s dog	55	40	Helpless	Her crude solution keeps the dog alive but harms its health, with little net self-benefit.
She pressed the button to “kill” Janet until Janet’s begging stopped her.	Eleanor	Janet	55	45	Helpless	She gains cooperation by nearly following through, but her aversion to suffering prevents completion, leaving problem partially unsolved.
She was horrified at the thought two annoying people might be crushed by a dumpster.	Eleanor	Annoying neighbors	60	70	Intelligent	Her reaction shows moral concern for others despite personal dislike, with no cost to anyone.
She tried to stop Michael from sacrificing himself to Shawn (No One Gets Left Behind stance).	Eleanor	Michael / group	70	80	Intelligent	She risks the mission out of loyalty and concern for a teammate.
She insisted Chidi is a good person and questioned why he’d be in the Bad Place.	Eleanor	Chidi	65	80	Intelligent	She affirms and defends him, supporting his self-worth and deepening the relationship.
She told off her drunk mother for turning Doug’s funeral into a “roast.”	Eleanor	Donna	70	75	Intelligent	She asserts boundaries and protects the mourning process for herself and others present.
She refused to hurt her stepsister Patricia by sabotaging Donna’s new life.	Eleanor	Patricia	75	85	Intelligent	She sacrifices revenge to protect a child’s well-being and encourages better parenting.
She asked Donna to make sure not to ruin Patricia’s life.	Eleanor	Patricia (via Donna)	75	85	Intelligent	She uses direct confrontation to try to secure a healthier future for Patricia.
She often lashed out when people took the moral high ground.	Eleanor	Partners / friends	45	35	Bandit	She defends her ego by attacking others, harming relationships for brief emotional protection.
She lashed out at someone who asked, “Why are you like this?”	Eleanor	Questioner	40	35	Bandit	She protects her fragile self-image by aggressive defensiveness, straining the interaction.
She got into 88 fights with kids selling fundraiser items.	Eleanor	Fundraising kids	35	10	Bandit	She impedes charitable efforts for petty self-satisfaction.
She returned a wallet without taking the money.	Eleanor	Wallet owner	65	90	Intelligent	She gains self-respect and emotional reward while greatly helping the owner.
She moved to tears hearing the owner cared most about his daughter’s drawing and called her a good person.	Eleanor	Herself	80	75	Intelligent	The feedback reinforces her moral growth and benefits both her and the owner emotionally.
She nearly destroyed her mother’s new life but stopped for Patricia’s sake.	Eleanor	Donna / Patricia	55	80	Intelligent	She gives up personal vindication to protect a child from collateral damage.
