Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Locks child Garak in a closet as punishment	Tain / Garak's father	Young Garak	10	5	Stupid	Severe abuse traumatizes his son with no clear benefit to himself or others.
Garak spends life seeking father's approval	Garak	Garak	20	10	Helpless	His fixation causes long-term emotional harm to himself while marginally validating his father.
Tain withholds affection due to his position	Tain	Garak	15	5	Stupid	He denies both of them a healthy bond without any compensating gain.
On his deathbed, Tain speaks to Garak as a father	Tain	Garak	40	70	Intelligent	Offers late emotional honesty that comforts Garak with minimal cost to himself.
Tain reminisces about Garak’s perseverance riding an animal	Tain	Garak	45	75	Intelligent	Openly expressing pride gives Garak long-sought validation at no real cost.
Young Garak perseveres in riding an animal despite falls	Young Garak	Young Garak	80	60	Intelligent	He builds resilience and earns his father’s pride through self-discipline.
Garak interrogates and tortures Odo under Tain’s orders	Garak	Odo	35	10	Bandit	He advances his chance to regain status while inflicting extreme suffering on Odo.
Garak begs Odo for information to avoid continuing torture	Garak	Odo	30	25	Helpless	His reluctance slightly helps Odo but leaves Garak still trapped in the mission.
Garak stops short of divulging Odo’s secret to Tain	Garak	Odo / Tain	30	70	Helpless	He sacrifices his own career prospects to protect Odo’s deeply personal secret.
Garak picks through the charred remains of his shop	Garak	Garak	15	40	Helpless	He has lost livelihood and old life, while others gain from his prior help in the war.
Garak fights Worf hand-to-hand	Garak	Worf	55	50	Intelligent	He loses the fight but gains Worf’s respect without notable collateral effects.
Garak attempts to foil Bashir’s romantic liaison in holoprogram	Garak	Bashir	60	20	Bandit	He amuses himself and satisfies jealousy while sabotaging Bashir’s romance.
Garak loudly mocks Starfleet uniforms while confined	Garak	Two goldshirts	45	40	Helpless	His snark entertains himself slightly but risks worsening his captors’ attitude.
Garak puts his hand on Bashir’s shoulder on first meeting	Garak	Bashir	60	60	Intelligent	Flirtatious touch initiates a relationship that later benefits them both.
Garak delights in people mistrusting him and praising their caution	Garak	Suspicious acquaintances	55	55	Intelligent	He reinforces their self-protection while maintaining his mystique and leverage.
Garak criticizes Sisko for outsourcing “dirty work” to him	Garak	Sisko	55	50	Intelligent	He clarifies the moral arrangement without harming their shared strategic goal.
Garak endures exile on DS9 instead of trading secrets to leave	Garak	Cardassia / Federation	35	65	Helpless	He suffers personally to preserve Cardassia’s security, benefiting his homeland.
Garak confronts Gul Madred about gratuitous torture	Garak	Gul Madred	55	65	Intelligent	He risks friction to promote more restrained, utility-focused conduct.
Garak expresses baffled respect for Federation virtue	Garak	Federation ideals	60	65	Intelligent	His evolving respect nudges him toward more cooperative, prosocial choices.
Garak once invented treason charges against a Gul for being long-winded	Young Garak	Long-winded Gul	70	15	Bandit	He uses state power for petty revenge, benefiting his ego while harming an innocent.
Garak releases Bajoran child scavengers and gives them latinum	Garak	Bajoran children	20	80	Helpless	He jeopardizes himself and career to spare and materially aid vulnerable children.
Garak hacks his neural implant for constant euphoria	Garak	Garak	10	50	Helpless	His self-medication briefly eases suffering but leads to life-threatening addiction.
Garak goes cold turkey off the implant with Bashir’s help	Garak	Garak / Bashir	65	75	Intelligent	He endures intense pain to save his life and deepen mutual trust.
Garak repeatedly lies about reasons for his exile	Garak	Everyone on DS9	60	35	Bandit	His evasions protect him and his secrets while impeding others’ ability to fully trust him.
Garak faces his claustrophobia to engineer escape from Dominion camp	Garak	Fellow prisoners	80	85	Intelligent	He risks psychological collapse to save himself and many others from captivity.
Garak casually plans murder and treachery as if routine work	Garak	Targets of schemes	65	20	Bandit	His comfort with lethal methods advances his aims while harming or endangering others.
Garak allows Federation to use him as tailor-fronted spy	Garak	Federation	60	70	Intelligent	He gains significance and access while providing crucial intelligence support.
Garak extols Cardassian occupation at a Bajoran convention	Garak	Bajoran attendees	30	10	Stupid	He gains nothing and only inflames trauma and hostility against himself.
Garak calls out Sisko over the “former Cardassian oppressor” name tag	Garak	Sisko / Bajorans	55	60	Intelligent	He highlights hidden hostility, encouraging more honest, less hypocritical discourse.
Garak survives by knowing when to quit dangerous situations	Garak	Garak / comrades	75	65	Intelligent	Strategic withdrawals keep him and often allies alive with minimal downside.
Garak releases dissidents in “Profit and Loss” instead of turning them over	Garak	Dissidents / Cardassian state	40	75	Helpless	He risks punishment and exile to protect political opponents from likely execution.
Garak guns down a fellow Obsidian Order agent in “Second Skin”	Garak	Obsidian Order agent	70	25	Bandit	He removes a rival and saves his side tactically at the cost of another’s life.
Garak blows up his own shop to frame an assassin and gain protection	Garak	Assassin / DS9 security	55	60	Intelligent	He sacrifices property to save his life and enable security to neutralize a killer.
Garak previously tortures and kills as Obsidian Order operative	Garak	Various victims	65	10	Bandit	He advances career and state objectives while severely harming or killing others.
Garak helps Kira and Damar build the Cardassian resistance	Garak	Cardassian people / Alpha Quadrant	70	85	Intelligent	He risks death to help overthrow Dominion control for Cardassia and the quadrant.
