Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Stalking Maude Flanders and other townspeople	Moe	Maude Flanders & other townspeople	15	5	Stupid	He gains only fleeting gratification while incurring criminal charges, sex-offender status, and social/legal harm to himself and fear/trauma to others.
Engaging in criminal behavior due to romantic attractions	Moe	General public / victims	20	10	Stupid	His crimes bring legal trouble and bad reputation with no lasting benefit, while directly harming others.
Becoming required to register as a sex offender	State/legal system	Moe	5	40	Helpless	The registration severely harms Moe’s prospects while offering some protective benefit to the community.
Having a restraining order placed on him	Victim(s) & court	Moe	10	45	Helpless	The order limits Moe’s actions and access while giving others legal and practical protection from him.
Repeatedly trying to kill himself	Moe	Himself & indirectly others	0	40	Helpless	His suicide attempts give him no benefit and instead endanger himself and distress others.
Suicide prevention hotlines blocking his number	Suicide prevention service	Moe	45	40	Intelligent	They reduce wasted resources and staff burnout while slightly reducing his access to help.
Bleeding green and commenting it will turn red	Moe	Himself / observer	50	50	Intelligent	The comment is neutral banter about his biology with no indicated gain or loss for anyone.
Waxing poetic about “stupid pretty boy quarterbacks”	Moe	Quarterbacks / listeners	60	55	Intelligent	He indulges his attraction verbally without stated negative consequences, mildly entertaining himself and others.
Secretly writing and enjoying gay fanfiction	Moe	Himself	80	55	Intelligent	He gains private creative/sexual fulfillment without harming anyone and potentially benefiting niche audiences if shared.
Calling himself Homer's life partner	Moe	Homer	60	45	Bandit	He bolsters his emotional claim on Homer, risking awkwardness and tension with Homer’s actual family.
Treating Homer going to other bars as cheating on him	Moe	Homer	55	40	Bandit	His possessiveness feeds his emotional needs while pressuring Homer and straining the friendship.
Kissing Waylon “just to see what kissing a man was like”	Moe	Waylon Smithers	65	30	Bandit	He satisfies curiosity and desire while objectifying Waylon and potentially causing him discomfort.
Railing against “immigants” despite being one	Moe	Immigrants (including himself)	20	10	Stupid	His hypocrisy fuels prejudice and social hostility while undermining his own status and self-respect.
Beating a fake Homer with a bat	Moe	Fake Homer dummy	45	30	Bandit	He vents aggression for personal satisfaction while modeling violent behavior and potentially alarming others.
