Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Hermes convinces a forced labor camp to let him go by organizing them so efficiently all the work can be done by one Australian man	Hermes	Forced labor camp workers	70	20	Bandit	His efficiency wins his own freedom while concentrating all the work (and burden) onto one worker.
Hermes organizes a massive pile of tube cylinders to a beat	Hermes	Planet Express / coworkers	65	70	Intelligent	He indulges his love of organization while making the workplace more efficient and orderly.
Hermes plugs his brain into the fleet battle‑computer to fight the Scammers	Hermes	Planet Express crew / anti‑Scammer forces	75	80	Intelligent	He risks himself by interfacing with a war system but gains status and decisively protects his side by annihilating Scammer defenses.
Hermes blames Zoidberg for rising electricity bills and removes items Zoidberg enjoys from the office	Hermes	Zoidberg	60	25	Bandit	He marginally improves office costs/comfort for himself by depriving Zoidberg of things he likes and uses.
Hermes proudly embraces treating people like swine and making them stand in line as a bureaucrat	Hermes	Public / clients	65	30	Bandit	His obstructive style gratifies his self‑image and job enjoyment while inconveniencing and degrading others.
Hermes fires the entire crew when the Professor is hesitant	Hermes	Planet Express crew	60	20	Bandit	He asserts bureaucratic authority and maybe trims costs at the expense of everyone’s job security and welfare.
Hermes seriously considers killing his coworkers when given the opportunity	Hermes	Planet Express crew	40	10	Bandit	He entertains lethal options that would remove “problems” for him but would obviously be catastrophic for the others.
Hermes hands Leela a gun and tells her to shoot the others	Hermes	Planet Express crew	45	15	Bandit	He encourages a solution that could eliminate coworkers to his benefit while endangering them with no clear upside for them.
Hermes fires Fry and Bender immediately after they enlist in the Army	Hermes	Fry and Bender	55	15	Bandit	He maintains bureaucratic neatness or cost savings while illegally stripping them of job security and future income.
Hermes joyfully reacts when Bender is crippled by a can‑opener, calling it his dream come true	Hermes	Bender	60	15	Bandit	He gains emotional satisfaction from Bender’s incapacity while it clearly harms Bender and offers no benefit to others.
Hermes shows keen interest in using Grunka Lunkas because they’re cheaper and basically slaves	Hermes	Grunka Lunkas / his own employees	65	20	Bandit	He sees financial and bureaucratic gain in exploitative, near‑slavery labor at the cost of those workers and possibly his current staff.
Hermes goes out of his way to antagonize and insult Zoidberg without motive	Hermes	Zoidberg	55	25	Bandit	He derives petty satisfaction and perhaps status from gratuitously mistreating Zoidberg while giving Zoidberg only distress.
Hermes approves defective infant Bender on the production line instead of destroying him	Hermes	Bender	70	85	Intelligent	He breaks regulation but preserves Bender’s life, gaining moral satisfaction and later friendship while hugely benefiting Bender.
Hermes later assists Bender in coping with his mortality crisis	Hermes	Bender	80	85	Intelligent	He invests time and care into helping Bender emotionally, strengthening their bond and improving Bender’s well‑being.
Hermes reacts without anger and helps Leela fix the mess when she botches his job	Hermes	Leela / Planet Express	75	80	Intelligent	He calmly corrects errors, preserving efficiency and supporting Leela’s confidence and learning.
Hermes secretly thinks Zoidberg is “pathetic but lovable”	Hermes	Zoidberg	55	60	Intelligent	His private affection softens his attitude, providing him emotional nuance and at least latent empathy toward Zoidberg.
Hermes laments that Planet Express used to be a delivery company, highlighting mission drift	Hermes	Planet Express crew	60	70	Intelligent	By calling out their drift from core business, he preserves his sense of order and nudges others toward more rational operations.
Hermes kicks himself out of his own office for asking to take Valentine’s Day off	Hermes	Hermes	35	55	Helpless	His rigid self‑bureaucratization denies himself rest while modeling disciplined work culture for others.
Hermes defeats fishermen and frees captured humans by pointing out that they violated fishing contracts	Hermes	Captured humans / fishermen	80	85	Intelligent	He uses contract law and bureaucratic skill to win a confrontation, boosting his pride while liberating others.
