Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Kills Glekas in a fit of rage	Ziggy	Glekas	5	0	Stupid	Murder driven by rage ruins Ziggy’s life and kills Glekas with no net benefit.
Goes to the police to confess	Ziggy	Police/justice system	35	75	Intelligent	Confession harms his own freedom but supports justice and closure for others.
Pathologically draws attention from longshoremen	Ziggy	Longshoremen	25	30	Stupid	Attention-seeking undermines his own standing and disrupts others’ work/social space.
Constantly messes up business deals with the Greek	Ziggy	Greek partners	20	15	Stupid	His incompetence damages his own prospects and harms partners’ business.
Makes a fool of himself in the bar	Ziggy	Bar patrons	30	35	Stupid	Humiliates himself for shallow laughs while bothering others with his antics.
Talks about taking down Cheese, Maui, others	Ziggy	Cheese, Maui, others	40	40	Stupid	Empty threats risk retaliation and stigma without meaningful gain to anyone.
Coworkers goad him into attacking Maui	Coworkers	Ziggy	60	20	Bandit	They get amusement/status at Ziggy’s expense, contributing to his humiliation.
Attacks much larger Maui	Ziggy	Maui	10	55	Helpless	He gains only a beating and humiliation while Maui gains dominance and amusement.
Maui humiliates him by lifting him onto containers	Maui	Ziggy	65	10	Bandit	Maui asserts dominance and enjoys the joke while degrading Ziggy further.
Lights hundred-dollar bills on fire in poor bar	Ziggy	Poor bar patrons	10	5	Stupid	Destroys his own money and deeply disrespects poorer onlookers.
Buys a pet duck and gives it whisky, killing it	Ziggy	Duck	20	0	Stupid	Wastes his own money/effort and kills the animal for no benefit.
Repeatedly picks fights with bigger, tougher people	Ziggy	Bigger people	15	40	Helpless	He repeatedly gets hurt/humiliated while others gain ego and entertainment.
Whips out his member in a crowded bar	Ziggy	Bar patrons	25	20	Stupid	He degrades his own reputation and disturbs others for trivial shock value.
Snaps and kills Glekas after being ripped off	Ziggy	Glekas	10	5	Stupid	Rage murder may avenge disrespect but destroys his own future and harms others.
Resents his cousin helping him	Ziggy	Cousin Nick	35	40	Stupid	Rejecting support undercuts his own chances while straining a helpful relationship.
Fails to find something for a client	Ziggy	Client	35	25	Stupid	Shows incompetence, risking his job while inconveniencing the client.
Frank fires him for show	Frank	Ziggy	60	45	Bandit	Frank preserves his authority image while giving Ziggy no real corrective benefit.
Longshoreman reveals firing was for show	Longshoreman	Client	55	45	Bandit	Protects Ziggy’s job/Frank’s nepotism while undercutting Frank’s performance signal.
Walks into bar, harangues stevedores	Ziggy	Stevedores	30	25	Stupid	Antagonizing peers erodes his own status and worsens relations with them.
Flashes his penis for a laugh in bar	Ziggy	Stevedores	25	25	Stupid	Momentary attention comes at the cost of his dignity and others’ comfort.
Rants about how much he hates college students	Ziggy	College students (in general)	35	35	Stupid	Expressing contempt blocks his own education path and alienates a group abstractly.
Attempts to become a supplier for corner dealers	Ziggy	Corner drug dealers	20	30	Helpless	He’s scammed and loses money while others profit off him.
Steals a whole container of digital cameras	Ziggy	Dock owners	25	10	Bandit	He gains a large illegal haul while seriously harming the rightful owners.
Shows up to work in $3,000 jacket after theft	Ziggy	Coworkers/crew	30	30	Stupid	Flashes suspicious wealth, risking exposure and angering colleagues without real gain.
Steals a bunch of luxury cars for Glekas	Ziggy	Car owners	30	5	Bandit	He gains payment/status in crime while heavily harming vehicle owners.
Shows up to get paid in a car stolen from same lot	Ziggy	Glekas	15	25	Stupid	Risks exposing the scheme and enrages buyer, leading to violent fallout.
Fights with Glekas over payment	Ziggy	Glekas	15	25	Stupid	Escalating dispute yields no durable gain and leads toward lethal violence.
Shoots Glekas and his shop assistant	Ziggy	Glekas and assistant	5	0	Stupid	Multiple murders devastate others and ensure severe punishment for Ziggy.
Leaves money from car heist to innocent clerk	Ziggy	Innocent store clerk	40	85	Helpless	He gives away his own hard-won cash to help the wounded clerk.
Uses n-word repeatedly describing mugging	Ziggy	Black gang / Black people	20	5	Stupid	Racist rant worsens his social standing and poisons relations with others.
Buys a $2,000 Italian leather jacket from stolen-goods money	Ziggy	Crew/observers	30	35	Stupid	Flashy purchase increases risk and resentment more than the value it gives him.
Attempts to sell stolen cameras to Greeks	Ziggy	Greeks	40	15	Bandit	He profits from theft and impresses some with tech knowledge while harming rightful owners.
Participates in car heist that works flawlessly	Ziggy	Car owners	45	10	Bandit	Well-executed crime benefits him and accomplices while damaging the victims.
Accepts only half the agreed money from Double G (initially)	Double G	Ziggy	70	10	Bandit	Double G saves money by stiffing Ziggy, unfairly exploiting him.
Makes Ziggy snap by underpaying him	Double G	Ziggy	10	5	Stupid	Shortchanging a volatile man yields slight savings but provokes lethal retaliation.
Leaves the money to the clerk after murder	Ziggy	Clerk	40	80	Helpless	He relinquishes profit to aid a victim, slightly redeeming others at his own cost.
Acts out to get his father’s attention	Ziggy	Frank	25	30	Stupid	Escalating antics damage his own life and strain the union while gaining little real attention.
Nick cooperates with police to get Ziggy into “nicer” prison	Nick	Ziggy	60	75	Intelligent	Nick sacrifices some safety and standing to secure somewhat better conditions for Ziggy.
Commits series of actions that bring down family and union	Ziggy	Family and stevedores union	10	5	Stupid	His cumulative blunders devastate his own network without securing him lasting benefit.
