Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Takes part in Season 2 paintball tournament while nursing newborn	Shirley	Shirley	55	70	Intelligent	She risks some physical strain but gains competence and status while helping her team in the tournament.
Stops negotiating and starts executing when stakes rise	Shirley	Study group/opponents	65	65	Intelligent	Her shift to decisive action tends to secure outcomes for herself and allies without clear harm.
Alienates friends with Holier-than-Thou attitude and competitiveness	Shirley	Jeff, Troy, Britta	35	20	Stupid	Her moral superiority and competitive edge push friends away, hurting both her relationships and them socially.
Starts drinking heavily after divorce	Shirley	Shirley	5	40	Helpless	She harms herself via alcoholism while creating concern and caretaking burdens for others.
Almost backslides into drinking during weak moments	Shirley	Shirley	15	55	Helpless	Near-relapses threaten her recovery while prompting support/concern from friends who benefit from her staying sober.
Alternate self falls fully off the wagon	Alternate Shirley	Alternate Shirley	0	45	Helpless	Her drinking devastates her own life while others only indirectly benefit by contrast/learning.
Feeds “sexy dreadlocks guy” chicken fingers in exchange for company	Shirley	Sexy dreadlocks guy	30	40	Helpless	She gains brief romantic attention but is used for food, ultimately losing self-respect while he gets free meals.
Sets group standards and declares what’s acceptable	Shirley	Study group	55	45	Bandit	Her assumed authority gives her control and validation while constraining others’ autonomy and fun.
Bullies and humiliates foosball competitors as a child	Child Shirley	Child opponents	70	5	Bandit	She boosts her own status and satisfaction by cruelly humiliating others.
Cooperates amicably with ex-husband post-divorce	Shirley	Andre	70	70	Intelligent	They maintain functional relations for their kids, benefiting both parents and children.
Scolds group out of worry when they act recklessly	Shirley	Study group	60	70	Intelligent	Her angry concern protects others from harm and affirms her caring role with little downside.
Strengthens religious faith to atone for past bullying and alcoholism	Shirley	Shirley	75	60	Intelligent	Her guilt-driven faith stabilizes her and nudges her toward better behavior that modestly benefits others.
Threatens Jeff with a pizza slicer	Shirley	Jeff	45	25	Stupid	Intimidation gives her minimal real gain while risking escalation and harming Jeff.
Takes to video game cruelty and massacres NPC family	Shirley	NPC blacksmith family	60	10	Bandit	She indulges in fun and catharsis by destroying innocent NPCs, providing almost no benefit to others.
Starts drinking water instead of alcohol when out with group	Shirley	Shirley	85	70	Intelligent	She preserves her sobriety and stability while easing group concern and avoiding drunk chaos.
Passes shot of whiskey to Jeff instead of drinking it	Shirley	Jeff	80	55	Intelligent	She protects herself from relapse while Jeff gets the drink; minimal harm to him in-story.
Invites Annie to “pool party” that is an involuntary baptism	Shirley	Annie	40	20	Stupid	She gains little real benefit while violating Annie’s autonomy and comfort.
Attempts to force “What Would Baby Jesus Do?” bracelets on group	Shirley	Study group	50	30	Bandit	She reinforces her religious norms while pressuring others in ways they don’t want.
Trains Jeff brutally at foosball to win	Shirley	Jeff	60	40	Bandit	She satisfies her competitive drive and teaches Jeff, but the harshness and humiliation cost him.
Keeps cooperating with Andre and eventually remarries him	Shirley	Andre & kids	75	80	Intelligent	Their renewed partnership improves her family stability and emotional life as well as the kids’ wellbeing.
Uses disappointed looks to control Jeff and the group	Shirley	Study group	60	35	Bandit	She secures compliance and validation at the cost of others’ emotional comfort and autonomy.
Maintains teetotal stance around drinking culture	Shirley	Shirley	80	55	Intelligent	Abstaining protects her health and identity while modestly stabilizing group dynamics.
Accidentally humiliates Jeff as a child until he wets his pants	Child Shirley	Child Jeff	65	5	Bandit	She gains power and amusement at the severe emotional expense of Jeff.
Performs a Heel–Face Turn after childhood bullying incident	Shirley	Shirley	80	75	Intelligent	Changing her behavior reduces her guilt and makes her kinder, benefitting her and others.
Keeps functioning and studying while juggling divorce, parenting, and chaos	Shirley	Shirley & kids	85	80	Intelligent	Her persistence improves her prospects and maintains a baseline of care and stability for her family.
Comes very close to storming off to guilt Jeff (pregnancy argument)	Shirley	Jeff	45	35	Bandit	She leverages her pregnancy to extract compliance, helping herself while pressuring Jeff emotionally.
Forces beliefs on others early in the series	Shirley	Study group	55	30	Bandit	She fortifies her moral authority but infringes on peers’ freedom and comfort.
Invites group to “Comparative Religion” Christmas party under Christian defaults	Shirley	Study group	60	35	Bandit	She gets to celebrate her traditions her way while making non-Christians uncomfortable.
Gossips with Jeff in “Social Psychology”	Shirley	Targets of gossip	65	30	Bandit	She and Jeff bond and gain entertainment at the reputational expense of others.
Uses guilt-tripping to make group support her priorities	Shirley	Study group	60	30	Bandit	Guilt yields cooperation and validation for her while burdening others emotionally.
Uses religion as tool of superiority and manipulation	Shirley	Study group	55	25	Bandit	She maintains a flattering self-image and control while alienating and pressuring others.
Polices behavior based on selective moral myopia	Shirley	Study group	50	30	Bandit	She preserves her ego and authority by double standards that constrain others more than herself.
Rationalizes and excuses her own hypocrisy when called out	Shirley	Shirley	45	40	Helpless	She protects her self-image short-term but undermines growth and honesty, giving others only the benefit of clarity about her flaws.
Actively works to reduce her bigotry and self-righteousness in Season 3	Shirley	Study group	80	80	Intelligent	She improves her own relationships and growth while making the group environment kinder.
Remarries Andre partly for kids’ stability	Shirley	Andre & kids	75	85	Intelligent	The remarriage strengthens her support system and creates a more stable home for the children.
Uses passive-aggressive “sugary malice” to hurt while seeming nice	Shirley	Targets of remarks	55	25	Bandit	She vents anger and exerts control while harming others emotionally.
Threatens and attacks opponents in fights (e.g., Mike’s gang)	Shirley	Mike’s gang	65	40	Bandit	She gains group safety and satisfaction at the physical and emotional expense of the bullies.
Encourages Jeff to “kick Mike’s ass” after initially condemning violence	Shirley	Jeff/Mike	60	35	Bandit	She satisfies her vengeful impulses and supports Jeff, but escalates violence instead of reducing harm.
Goes on video-game killing spree after initial moral objection	Shirley	NPC family	65	10	Bandit	She takes enjoyment and agency from extreme in-game violence that serves no one else.
