Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Livia relentlessly criticizes Janice's appearance and failed relationships	Livia	Janice	55	5	Bandit	She gains emotional dominance/validation while seriously harming her daughter.
Janice leaves home, abandoning Tony and Barbara to Livia's abuse to pursue a hedonistic lifestyle	Janice	Tony and Barbara	75	10	Bandit	She escapes abuse and enjoys freedom while siblings suffer greater abuse in her absence.
Janice returns to New Jersey and ingratiates herself with Livia to become prime beneficiary of the estate	Janice	Livia / Tony & siblings	80	10	Bandit	She maneuvers for inheritance at the cost of reopening family wounds and exploiting others.
Tony forces Janice into a meltdown by repeatedly bringing up her estranged son Harpo and she attacks him with a fork	Tony	Janice	20	10	Stupid	Tony vents spite but gains nothing concrete while provoking violence and deepening conflict.
Janice attacks Tony with a fork after the Harpo provocation	Janice	Tony	10	10	Stupid	She vents rage, injures Tony slightly, and risks serious repercussions without real benefit.
Janice steals Svetlana's prosthetic leg when denied Livia's music records	Janice	Svetlana	65	0	Bandit	She tries to extort valuables by cruelly depriving a disabled woman of mobility.
Russian mobsters beat Janice and force her to return Svetlana's leg	Russian mobsters	Janice	60	40	Bandit	They protect Svetlana and recover the leg but still brutalize Janice.
Janice kills Richie in response to him punching her (immediate self-defense aspect)	Janice	Richie	45	30	Helpless	She stops an abuser and incidentally protects others, but incurs severe personal risk and fallout.
Janice killing Richie inadvertently derails his power play against Tony	Janice	Tony & his regime	45	70	Helpless	Her impulsive act unintentionally saves Tony and the organization more than it helps her.
Tony later beats Ralphie to death, ending Janice's relationship by proxy	Tony	Ralphie	40	15	Bandit	He removes a problematic subordinate, modestly helping himself while causing large harm to Ralphie and turmoil for others.
Janice replaces Richie with violently unstable Ralph Cifaretto as a partner	Janice	Herself / social circle	30	20	Helpless	She chases a toxic partner that harms her and destabilizes those around her.
Janice quickly dumps Ralphie on a flimsy pretext after therapy insight	Janice	Ralphie	70	60	Intelligent	She exits a dangerous relationship, improving her own safety and removing a volatile pairing that threatened others.
Janice begins to pursue Bobby Baccalieri as the opposite of her previous type	Janice	Herself & Bobby	80	70	Intelligent	She moves toward a healthier partner, benefiting herself and a man who values family.
Psychiatrist helps Janice see her Electra-complex pattern and guides her to break it	Psychiatrist	Janice	85	75	Intelligent	The therapist gives her tools to avoid self‑destructive relationships, with positive knock‑on effects.
Janice always requests and receives favors while never reciprocating	Janice	Family & associates	80	15	Bandit	She extracts material and emotional support while offering nothing in return.
Janice constantly pesters and bickers with Tony, the family head	Janice	Tony	40	30	Stupid	She vents hostility and gains no clear benefit while stressing the most powerful person in her life.
