Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Shannon charges through the jungle after seeing Walt	Shannon	Ana Lucia (indirectly), herself	5	5	Stupid	Her panicked charge in heavy rain spooks Ana Lucia and directly leads to her own death with no benefit to anyone.
Ana Lucia, already shaken, reflexively shoots Shannon	Ana Lucia	Shannon	10	0	Bandit	Her hair‑trigger reaction protects only her sense of immediate safety while killing Shannon.
Shannon makes Boone carry her asthma refills secretly	Shannon	Boone	30	30	Stupid	Making Boone responsible for her inhalers backfires after the crash, worsening her own attack and stressing him.
Sun creates a eucalyptus paste as an asthma remedy	Sun	Shannon	60	80	Intelligent	Her improvised remedy likely helps Shannon and clearly benefits Shannon with no shown downside.
Shannon hides her asthma due to stereotype anxiety	Shannon	Herself	25	40	Helpless	Concealing her condition worsens her attack and anxiety while sparing others minor social awkwardness.
Shannon manipulates Boone over time	Shannon	Boone	70	20	Bandit	She extracts ongoing help/advantage from Boone while emotionally exploiting him.
Shannon manipulates Charlie into catching fish for her	Shannon	Charlie	65	35	Bandit	She gains food and comfort while offloading effort onto Charlie under false pretenses.
Shannon has a one‑night stand with Boone	Shannon	Boone	20	10	Stupid	The incest‑coded encounter deepens later emotional damage without clear benefit to either.
Boone participates in the one‑night stand with Shannon	Boone	Shannon	25	10	Stupid	His choice creates long‑term emotional fallout and complicates their bond with no clear gain beyond momentary gratification.
Claire asks if Boone is Shannon’s boyfriend	Claire	Shannon, Boone	50	60	Intelligent	Her casual question is socially neutral but helps surface the nature of their relationship.
Shannon snarks that Boone is “God’s freakin’ gift to humanity”	Shannon	Boone	55	45	Bandit	She vents and asserts superiority while mildly needling Boone with little positive effect on him.
Shannon worries when Boone and Locke don’t return by dark	Shannon	Boone	55	70	Intelligent	Her concern brings her emotional distress but reflects genuine care and solidarity toward Boone.
Shannon is devastated by Boone’s death	Shannon	Herself	10	60	Helpless	Her grief harms her emotionally yet signals the depth of her attachment and respects his memory.
Ana Lucia kills Shannon during Shannon’s centric episode	Ana Lucia	Shannon	5	0	Stupid	The killing provides no lasting gain to Ana Lucia and permanently ends Shannon’s arc.
Sayid’s actions help Shannon “defrost” emotionally	Sayid	Shannon	70	80	Intelligent	His support allows her to open up and improve, strengthening both their relationship and group cohesion.
Shannon overcomes her lack of belief in herself with Sayid’s help	Shannon	Herself	85	75	Intelligent	She gains confidence and usefulness, which also benefits the group by adding a more effective member.
Boone and Locke go on a search for Ethan	Boone and Locke	Ethan, survivors	80	80	Intelligent	They risk themselves to locate a threat, protecting themselves and others.
Shannon enters a Heroic BSoD after Boone’s death	Shannon	Herself	15	40	Helpless	Her withdrawal harms her functioning but has the side effect of keeping her from lashing out more at others.
Shannon makes a misguided attempt to kill Locke	Shannon	Locke	10	20	Stupid	She endangers Locke and herself based on grief, with no real benefit to anyone.
Walt entrusts Vincent to Shannon	Walt	Shannon	70	75	Intelligent	He gains a caretaker for Vincent, and she gains purpose and emotional connection.
Shannon remains withdrawn until Walt entrusts her with Vincent	Shannon	Herself	20	40	Helpless	Her isolation harms her recovery and group integration while sparing others only minor interaction burdens.
Shannon adopts Vincent after Walt leaves on the raft	Shannon	Vincent, survivors	75	80	Intelligent	Caring for Vincent gives her meaning and stability while helping the dog and comforting the camp.
Shannon loses track of Vincent	Shannon	Vincent, survivors	30	35	Stupid	Losing him undermines her self‑worth and causes concern for the dog and group with no gain.
Boone accuses Shannon of being “The Load”	Boone	Shannon	45	30	Bandit	His criticism may vent his frustration but mostly damages Shannon’s self‑image.
Shannon tries to prove she isn’t a load	Shannon	Survivors, herself	70	70	Intelligent	Her efforts to contribute raise her own value and help the group.
Shannon resents her Pretty Freeloader status	Shannon	Herself	35	55	Helpless	Her resentment pains her but pushes her toward more responsible behavior that benefits others.
Shannon uses her beauty to get by in life	Shannon	Various others	65	30	Bandit	She secures resources and ease at the expense of others’ effort or fairness.
Shannon uses her beauty on the island to manipulate Charlie for fish	Shannon	Charlie	65	30	Bandit	She gains food and comfort while unfairly exploiting Charlie’s labor and attraction.
Shannon insists “I am so not moving to the rape caves!”	Shannon	Other survivors	55	40	Bandit	She maintains her comfort and autonomy while resisting a safety‑motivated group relocation.
Shannon works as a caring, attentive dance teacher	Shannon	Dance students	60	85	Intelligent	She gains purpose and employment while genuinely helping students improve.
Shannon compliments students’ form and helps them improve	Shannon	Dance students	65	90	Intelligent	Her guidance strengthens her teacher identity and boosts students’ skills and confidence.
Shannon snarks regularly at Boone (Snark‑to‑Snark Combat)	Shannon	Boone	55	45	Bandit	She maintains a defensive persona and some entertainment at Boone’s emotional expense.
Boone engages in Snark‑to‑Snark Combat with Shannon	Boone	Shannon	55	45	Bandit	He asserts himself and vents while also contributing to a mildly toxic dynamic.
Shannon gradually moves past selfishness to contribute more	Shannon	Survivors	85	85	Intelligent	Her development improves her own self‑regard and makes her a more valuable group member.
Sayid becomes Shannon’s “second love”	Sayid	Shannon	80	80	Intelligent	The relationship offers mutual emotional support and growth.
Shannon opens up and takes a Level in Kindness via her relationship with Sayid	Shannon	Survivors, Sayid	85	85	Intelligent	Her increased kindness benefits others and deepens her bonds while enriching her own life.
