Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Rawls laughs and praises Jimmy’s subversive stunts against colleagues	Rawls	Jimmy’s targets & department	60	35	Bandit	He gains amusement and camaraderie while implicitly endorsing conduct that undermines departmental functioning.
Rawls verbally admires Bunny Colvin’s Hamsterdam idea in private	Rawls	Colvin	55	60	Intelligent	He gains insight and some private respect while validating an experiment aimed at helping the city despite its flaws.
Rawls efficiently reorganizes the chaotic crime scene after Kima is shot	Rawls	Police at scene & Kima’s case	80	90	Intelligent	He asserts competence and authority while greatly improving investigative effectiveness and order.
Rawls initially dodges taking the 13 Jane Does case	Rawls	Other divisions / victims’ case	70	20	Bandit	He avoids workload and political liability while shunting a serious case onto others.
Rawls pushes and wins political/jurisdictional battles	Rawls	Competing commanders	85	30	Bandit	He advances his power and reach while often steamrolling colleagues’ interests and autonomy.
Rawls antagonizes and blocks any policeman who shows initiative or steps over the line	Rawls	Initiative-taking detectives	65	25	Bandit	He protects his control and stat games while suppressing productive police work.
Rawls flips the bird and tirades at McNulty for generating more homicide work	Rawls	McNulty & Homicide unit	50	20	Bandit	He vents and reasserts dominance while further demoralizing a unit that must investigate serious crimes.
Rawls focuses vindictive hostility particularly on McNulty	Rawls	McNulty	45	25	Bandit	He satisfies his spite and deters insubordination while worsening cooperation and casework.
Rawls cannot conceive of detectives wanting to catch bad guys beyond money/overtime	Rawls	Reform-minded detectives	40	35	Helpless	His warped assumptions limit his own effectiveness and make it harder for motivated detectives to be understood.
Rawls intimidates others by raspy-voiced tranquil fury	Rawls	Subordinates and peers	65	30	Bandit	He strengthens his authority through fear while reducing openness and constructive dialogue.
Rawls openly flips a double bird at McNulty (“These are for you McNulty”)	Rawls	McNulty	45	25	Bandit	He gains momentary emotional release and dominance display while corroding professional relations.
Rawls shuts down Hamsterdam while blasting “Ride of the Valkyries” to humiliate residents	Rawls	Hamsterdam residents & Colvin	55	5	Bandit	He theatrically asserts power and self-aggrandizement while inflicting needless humiliation and disruption.
Rawls pretends to consider Daniels’ personal favor on the Barksdale case just to say no	Rawls	Daniels	55	25	Bandit	He enjoys cruelty and reinforces his power at the cost of cooperation and case quality.
Rawls obstructs proper policing by enforcing “the stats game” and not ruffling feathers	Rawls	Citizens & frontline detectives	65	20	Bandit	He preserves his career and standing while undermining genuine crime-fighting and public benefit.
Rawls reads or takes interest in the community letters about Hamsterdam	Rawls	Community correspondents	60	70	Intelligent	He gains a broader understanding and perhaps political intel while according real weight to citizen voices.
Rawls tips off Carcetti in the primary, hoping a new mayor will change the system	Rawls	Carcetti & police department	75	75	Intelligent	He secures favor and potential promotion while facilitating a reform-minded candidate’s rise.
Rawls discusses his frustration with numbers games during Carcetti ride-along and invites change orders	Rawls	Carcetti / future leadership	70	80	Intelligent	He positions himself as useful while nudging leadership toward more reality-based policing.
Rawls keeps himself informed on the homeless killer scandal without formal responsibility	Rawls	Those actually responsible	70	40	Bandit	He protects and positions himself to exploit the situation while leaving others exposed.
Rawls wordlessly signals he is scheming after remarking on professionalism, prompting staff to bribe him	Rawls	Mayor’s staff / city leadership	80	25	Bandit	He leverages information asymmetry to gain concessions while worsening institutional integrity.
Rawls tries to block transferring McNulty out of Marine Unit, citing his disobedience	Rawls	Daniels & McNulty	60	60	Intelligent	He protects organizational discipline and himself from a known loose cannon while arguably averting later disasters.
Rawls demolishes Major Taylor at Comstat for cluelessness	Rawls	Major Taylor	65	55	Intelligent	He reinforces his own authority while forcing needed accountability and highlighting incompetence.
Rawls is nasty and vindictive to those who cross him, using his authority to screw them over	Rawls	Insubordinate officers	65	20	Bandit	He deters threats and gratifies spite while demoralizing productive subordinates.
Rawls plays both sides of the mayoral primary by hurting Burrell to impress Royce and leaking to Carcetti	Rawls	Burrell, Royce, Carcetti	90	20	Bandit	He maximizes his survival and promotional odds while betraying allies and destabilizing leadership.
Rawls orders Kima and Norris into plainclothes to stall the witness investigation pre-election	Rawls	Witness case & public	75	10	Bandit	He avoids angering either candidate and protects himself while deliberately undermining a key investigation.
Rawls uses racist language and resentfully believes black coworkers have unfair advantage	Rawls	Black coworkers & black suspects	40	25	Helpless	His prejudice narrows his coalition and judgment while alienating colleagues and communities.
Rawls describes Barksdale murders as ones that “don’t mean a shit to anybody”	Rawls	Victims & communities	45	15	Bandit	He downplays inconvenient crimes to protect stats, further marginalizing vulnerable victims.
Rawls shamelessly sucks up to political “big wigs” like Carcetti for opportunity	Rawls	Political leadership	80	30	Bandit	He advances his career while feeding a culture of flattery over honest feedback.
Rawls goes out of his way to punish anyone who crosses him out of pure spite	Rawls	Subordinates who cross him	60	15	Bandit	He reinforces fear-based control while damaging morale and effectiveness.
Rawls acknowledges to Burrell that his move to supplant him is “just business”	Rawls	Burrell	75	35	Bandit	He normalizes his betrayal as career strategy while eroding trust with a long-time partner.
