Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Patrick is permanently kicked out of his parents’ house at a young age	Patrick's parents	Patrick	5	5	Stupid	Parents harm their child and gain no benefit described.
Patrick reunites with his real parents and holds no hard feelings	Patrick	Patrick's real parents	70	75	Intelligent	Reconciliation benefits his own well-being and their relationship.
Patrick attacks patrons at the Krusty Krab thinking one is a supervillain	Patrick	Patrons at Krusty Krab	40	10	Stupid	He harms innocents and gets no benefit aside from transient delusion.
Patrick runs faster than a brakeless train to keep up with it	Patrick	Train passengers / bystanders	80	70	Intelligent	His feat of speed implies self-preservation and likely helps avert a disaster.
Patrick starts taking things from citizens as “king,” amassing tribute	Patrick	Bikini Bottom citizens	80	10	Bandit	He gains a large amount of stuff while unfairly depriving others.
Patrick orders Squidward’s house demolished for a Ferris wheel	Patrick	Squidward	75	5	Bandit	He indulges his whim at Squidward’s major expense while enjoying power.
Construction crew and citizens stop obeying Patrick and walk away	Citizens & construction crew	Patrick	60	70	Intelligent	They cut their losses, regain property, and remove his illegitimate power.
Patrick eats his own hand along with food	Patrick	Patrick	55	50	Helpless	He mildly harms himself for no clear extra gain beyond normal eating.
Patrick goes on a rampage at the Valentine’s carnival out of jealousy	Patrick	Carnival attendants	30	5	Stupid	His tantrum terrorizes others and leaves him no better off.
Patrick threatens to kill SpongeBob over the missing Valentine gift	Patrick	SpongeBob	25	5	Stupid	He endangers his friend with no benefit and risks their friendship.
Patrick chases SpongeBob with a jellyfishing net in “Nature Pants”	Patrick	SpongeBob	30	10	Stupid	He menaces SpongeBob to force him back, damaging trust without benefit.
Patrick threatens to imprison all of Bikini Bottom when insulted	Patrick	Bikini Bottom citizens	40	10	Stupid	He escalates hostility and fear with no actual gain when power collapses.
Patrick is willing to give Gary a flamethrower “bath”	Patrick	Gary	20	5	Stupid	He abuses Gary needlessly and risks trouble with SpongeBob.
Patrick babysits Gary negligently and abusively in “Pet Sitter Pat”	Patrick	Gary	20	5	Stupid	His neglect and abuse harm Gary and endanger his relationship with SpongeBob.
Patrick wears shoes on his hands instead of his feet	Patrick	Patrick	55	50	Helpless	He misuses his shoes, mildly inconveniencing only himself.
Patrick plans with SpongeBob for SpongeBob to pretend to be stupid	Patrick	SpongeBob	65	20	Bandit	Patrick manipulates SpongeBob’s image to boost his own standing with parents.
Patrick begins to believe SpongeBob is really stupid and he is a genius	Patrick	SpongeBob	40	20	Stupid	His delusion harms his view of SpongeBob and yields no real benefit.
Patrick behaves like a gorilla and is treated as a wild animal	Patrick	Bystanders	40	20	Stupid	His tantrums frighten others and bring him no described advantage.
Patrick blows a raspberry at a ferocious whelk and enrages it	Patrick	Ferocious whelk	35	15	Stupid	He provokes danger for everyone, including himself, without gain.
Patrick dresses as Squidward and gets attacked by scallops	Patrick	Patrick	20	50	Helpless	His misguided training attempt hurts only him while aiming to help Squidward.
Patrick proposes replacing Krabs’ dollar, then spends his own on candy	Patrick	Mr. Krabs	60	45	Bandit	He preserves Krabs’ original dollar but selfishly uses the replacement on himself.
Patrick dresses as Patricia to hide from a perceived threat	Patrick	Patrick	60	55	Intelligent	Disguise plausibly protects him and harms no one.
