Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Birth parents give up baby for adoption to ease first-class travel seating	Birth parents	Baby Jared	65	5	Bandit	They keep their lifestyle convenience while seriously harming their child’s life prospects and emotional well‑being.
Birth parents decide to have another child instead of reclaiming Jared, giving new child the same name	Birth parents	Jared	70	0	Bandit	They choose an easier replacement child and symbolically erase Jared, compounding his loss without cost to themselves.
Jared becomes Richard’s roommate after squatters take over his apartment	Jared	Richard	60	65	Intelligent	He gains housing and proximity to Richard while providing Richard with a roommate/ally.
Squatters take over Jared’s apartment	Squatters	Jared	80	5	Bandit	Squatters obtain free housing while seriously harming Jared’s living situation and finances.
Jared lets desire to be around Richard turn him into a “craven yes-man,” clouding judgment and leading Richard “down a horrible path”	Jared	Richard	25	15	Stupid	His neediness undermines his own judgment and enables harmful decisions for Richard with little benefit to anyone.
Jared constantly apologizes and self‑deprecates, tolerating virtually any abuse	Jared	Abusive colleagues	20	20	Helpless	He harms his own standing and mental health while making it easier for others to mistreat him without real gain to them.
Jared calls Gavin’s blood boy a dick three times for disagreeing with Richard’s idea	Jared	Gavin’s blood boy	40	25	Stupid	He vents loyalty‑driven anger in a way that damages his own professionalism and needlessly insults the other person.
Jared reluctantly agrees to unethical plan to hack Pied Piper onto all Hooli Con visitors’ phones because it’s “for the greater good”	Jared	Hooli Con visitors	35	10	Stupid	He compromises his ethics and risks consequences while supporting a privacy‑violating scheme that harms unsuspecting users.
Richard hacks his ex‑girlfriend’s new boyfriend’s screensaver, ruining the Hooli Con mass‑install plan	Richard	Pied Piper team	20	10	Stupid	He sabotages the company’s big (if unethical) launch for petty jealousy, hurting everyone including himself.
Jared angrily confronts Richard over ruining their Hooli Con plan	Jared	Richard	55	60	Intelligent	He risks tension with Richard but asserts boundaries and forces Richard to face the damage done.
Peter Gregory’s self‑driving car accidentally “kidnaps” Jared to a floating island	Self‑driving car system	Jared	10	10	Stupid	The malfunction provides no clear benefit while severely inconveniencing Jared.
Jared chooses to take a break from dating to focus energy on Pied Piper	Jared	Himself / Pied Piper	70	65	Intelligent	He forgoes short‑term romantic pleasure to invest effort into the company’s success, which helps both him and the team.
Jared booby‑traps the house with corporate resources	Jared	House occupants	55	35	Bandit	He increases security/control for his and the company’s benefit while introducing risk or discomfort for others.
Jared hits Melcher harshly with his shoe to defend Richard after Richard slept with Melcher’s fiancée	Jared	Melcher	45	30	Stupid	He protects Richard emotionally but escalates conflict and legal/personal risk for himself with little net gain.
Jared persistently cares for and supports colleagues despite their open contempt	Jared	Pied Piper team	60	70	Intelligent	His nurturing behavior benefits team cohesion and ultimately earns him more acceptance without serious self‑harm beyond some stress.
Jared becomes extremely jealous of Holden, wanting to keep Richard dependent on him	Jared	Holden	30	30	Stupid	His possessiveness undermines his own emotional health and creates tension toward Holden without real advantage.
Holden mysteriously disappears shortly after Jared returns to Pied Piper (implied Jared involvement)	Jared	Holden	40	10	Bandit	If he engineered it, he removes a rival to secure his role while seriously harming Holden’s opportunity and agency.
Jared lies to parents of a toddler about having a GPS app tracking their child, using a kidnapping‑style pitch	Jared	Parents / child	15	5	Stupid	The predatory lie terrifies parents, damages trust, and brings police attention, with negligible or negative gain to him.
Jared tells police an underage child gave him Adderall after he lured the child into his house	Jared	Underage child	5	5	Stupid	He incriminates himself as a predator and drug recipient while deepening suspicion and harm toward the child in the story he tells.
Jared rents out his condo on Airbnb while living in Erlich’s garage to cover his mortgage	Jared	Himself / Airbnb renter	80	70	Intelligent	He sacrifices comfort to avoid financial collapse and offers cheap housing, benefiting both sides overall.
Airbnb renter refuses to leave Jared’s condo once Jared wants to move back in	Airbnb renter	Jared	75	10	Bandit	The renter gains extended housing for free while imposing financial and legal hardship on Jared.
After the squatter leaves, Jared continues living in the garage out of solidarity	Jared	Pied Piper team	40	60	Helpless	He forgoes improved living conditions for symbolic loyalty that mostly benefits others and his image more than his own well‑being.
Richard nominates Jared to replace Erlich on Pied Piper’s board	Richard	Jared	85	80	Intelligent	This promotion greatly advances Jared’s status and uses his competence to strengthen the company.
Jared accepts promotion to Chief Operating Officer and serves in that role	Jared	Pied Piper / himself	90	85	Intelligent	He gains authority and career advancement while providing strong operational leadership to the company.
Jared makes clear he will follow Richard wherever he goes	Jared	Richard	65	70	Intelligent	His loyalty gives Richard crucial emotional and practical support while giving Jared purpose and continued employment.
Richard decides to hijack Hooli Con to upload Pied Piper code onto users’ phones without consent	Richard	Hooli Con visitors	40	15	Bandit	He seeks massive distribution for himself and the company at the expense of users’ privacy and autonomy.
Richard’s subsequent unethical decisions strain Jared’s loyalty and lead Jared to quit Pied Piper	Richard	Jared	30	20	Bandit	Richard’s behavior drives away a key ally, harming Jared’s career stability and the company while only serving his ego.
Jared decides to quit Pied Piper over conflicts with Richard’s unethical decisions	Jared	Himself / Pied Piper	55	45	Helpless	He protects his integrity but sacrifices position and influence, modestly harming both himself and the company.
Jared tells Richard he’d do anything to get him back, including killing others or driving them to suicide	Jared	Potential rivals	20	10	Stupid	His extreme declaration reveals dangerous obsession, worsening his own image and threatening others without concrete benefit.
Jared fails to correct Gavin Belson after being mistakenly called “Jared,” adopting the wrong name out of fear	Jared	Himself	25	50	Helpless	He preserves short‑term safety but loses his real name and identity, mainly harming himself while leaving others unaffected.
