Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Arya throws food at Sansa in front of the court	Arya	Sansa	40	20	Stupid	Humiliates her sister publicly for no gain and risks angering powerful onlookers.
Arya stuffs sheep dung in Sansa's mattress	Arya	Sansa	45	15	Stupid	Petty revenge that gives Arya brief satisfaction but entrenches hostility at home.
Arya persuades Gold Cloaks to stop hunting Gendry by claiming he’s dead	Arya	Gendry	70	80	Intelligent	Protects Gendry from capture without clear downside to herself.
Arya overcomes her grudge and vows to find Sansa too	Arya	Sansa	80	85	Intelligent	Letting go of resentment strengthens her motivation to reunite the family.
Arya refuses to mercy-kill the Hound and robs him	Arya	Hound	60	10	Bandit	Takes his valuables and leaves him to suffer, improving her resources while harming him.
Arya ultimately does not kill the Hound despite strong temptation	Arya	Hound	55	60	Intelligent	Resisting revenge avoids unnecessary killing and lets her move on somewhat.
Arya admits she removed the Hound from her list before abandoning him	Arya	Hound	70	60	Intelligent	Emotional clarity helps her reconcile conflicting feelings and reduces fixation on revenge.
Arya and Sansa reunite and embrace under Ned’s statue	Arya	Sansa	90	95	Intelligent	Reaffirming sisterly bond brings mutual emotional and political support.
Arya heeds Sandor’s advice, abandons revenge, and leaves King’s Landing	Arya	Herself (and Sandor)	90	75	Intelligent	Saves her own life and symbolically honors Sandor’s lesson against destructive revenge.
Arya thanks Sandor sincerely and forgives him	Arya	Sandor	85	80	Intelligent	Closure helps both of them emotionally and cements mutual respect.
Arya calmly watches Polliver choke on his blood after killing him	Arya	Polliver	70	20	Bandit	She gains revenge satisfaction while showing increasing desensitization that darkens her psyche.
Arya takes up Jaqen’s offer to have three people killed	Arya	Three chosen targets	65	40	Bandit	Uses deadly favors for immediate problems, but squanders a strategic asset and normalizes killing.
Yoren cuts Arya’s hair to disguise her as a boy	Yoren	Arya	80	75	Intelligent	Disguise greatly increases her chances of survival with limited downside mentioned.
Arya abandons plan to go to King’s Landing and heads home when she hears Jon took Winterfell	Arya	Herself / Stark family	85	90	Intelligent	Choosing reunion and safety over a risky assassination benefits her and her kin.
