Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Heather briefly dates Greg	Heather	Greg	60	60	Intelligent	Mutual casual relationship that provides some companionship without noted harm.
Heather remarks she finds Rebecca in a lawyer outfit hot	Heather	Rebecca	55	55	Intelligent	Complimenting Rebecca is mildly positive for both with no indicated downsides.
Kevin tries to eke Heather's ethnicity out of her	Kevin	Heather	55	35	Bandit	He satisfies his curiosity while making Heather an object of speculation and discomfort.
Heather delivers crushing truths to Rebecca about her behavior	Heather	Rebecca	65	80	Intelligent	Her blunt honesty helps Rebecca gain insight while also positioning Heather as a perceptive friend.
Heather continues living with her parents into adulthood	Heather	Heather's parents	40	65	Helpless	She gains comfort and support but at a clear cost to her independence and growth.
Heather inadvertently becomes the face of "Miss Douche"	Heather	Public/brand	35	60	Helpless	She gains unwanted, objectifying attention while the brand benefits from her image.
Heather realizes her parents reward failure	Heather	Heather	80	70	Intelligent	Insight into her upbringing helps her change and ultimately benefits those around her.
Heather resolves to get her own place with Rebecca as roommate	Heather	Rebecca/Heather's parents	85	80	Intelligent	She gains independence and maturity, and Rebecca gets a supportive roommate while her parents can adjust to her adulthood.
Heather refuses to graduate despite having all courses completed	Heather	Heather	25	60	Helpless	She sacrifices her own progress and credentials while unintentionally providing the school continued tuition/engagement.
Heather avoids actual responsibilities like the plague	Heather	Heather	10	40	Helpless	Her chronic avoidance severely harms her own development while marginally easing demands on others.
Heather later adopts responsibilities as a manager at Home Base	Heather	Co-workers/Employer	85	85	Intelligent	Taking on managerial responsibilities advances her career and supports the workplace.
Heather still loves her parents despite their flaws	Heather	Heather's parents	75	80	Intelligent	Maintaining affection sustains a healthy, supportive family bond that benefits all.
Heather is unapologetically direct in communication	Heather	Peers	65	70	Intelligent	Directness serves her authenticity and often clarifies social interactions for others.
Heather advises Greg to express his feelings after learning about Josh and Rebecca	Heather	Greg	70	80	Intelligent	Her advice helps Greg process emotions and act honestly without evident cost to herself.
Heather breaks down when confronting Greg about rushing to LA to confess to Rebecca	Heather	Greg	60	70	Intelligent	Showing vulnerability risks her composure but deepens communication and may help Greg reconsider rash actions.
Heather panics when Rebecca nearly throws herself off a cliff	Heather	Rebecca	55	85	Intelligent	Her emotional reaction reflects care and likely contributes to efforts to keep Rebecca safe.
Heather breaks down and cries when heavily pregnant and emotional	Heather	Hector	65	70	Intelligent	Open emotion relieves her own stress and strengthens intimacy with Hector.
Heather cries tears of joy at her wedding to Hector	Heather	Hector	90	90	Intelligent	Her emotional openness enhances her own happiness and the shared meaning of the wedding.
Heather becomes Rebecca’s roommate in Season 2	Heather	Rebecca	80	80	Intelligent	Living together gives Heather independence and provides Rebecca with companionship and support.
Heather selflessly volunteers to bear Darryl's child without asking for money	Heather	Darryl	45	95	Helpless	She undertakes a huge physical and emotional burden largely on a whim while Darryl gains a child.
Heather later complains too much about the pregnancy	Heather	Hector/Darryl/others	30	40	Stupid	Her impulsive choice plus ongoing complaints increase her own distress and strain others with little benefit.
Heather acknowledges she did not think through the implications of being Darryl’s surrogate	Heather	Heather	70	70	Intelligent	Recognizing her impulsiveness helps her learn and adjust, improving future decisions and relationships.
Hector calls Heather out on complaining about the pregnancy	Hector	Heather	60	75	Intelligent	His confrontation risks conflict but prompts Heather’s self-awareness and emotional growth.
Heather corrects people who call her "Heath"	Heather	Others	70	65	Intelligent	Insisting on her preferred name maintains her identity and teaches others to respect boundaries.
Heather and Hector marry on a whim during her lunch break so he can get on her health insurance	Heather & Hector	Heather & Hector	85	85	Intelligent	Despite the impulsiveness, the marriage provides emotional stability and tangible benefits like health coverage.
Heather becomes more prominent in Darryl’s season 3 subplot	Heather	Darryl	70	80	Intelligent	Increasing involvement likely strengthens their bond and helps Darryl through his story arc.
Heather reprises "Settle For Me" as "DON'T Settle For Me" in an ode to self-love	Heather	Herself/Audience	90	85	Intelligent	Affirming self-worth benefits her confidence and models healthier attitudes for others.
