Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Troy frequently says things that sound sexual or inappropriate without intending to.	Troy	People who overhear him	30	40	Helpless	Embarrasses himself and mildly discomforts others with no intended benefit.
Troy dates Britta, who is nine years older.	Troy	Britta	70	65	Intelligent	Both gain companionship despite mild social awkwardness implied by the age gap.
Troy pays more attention to Abed than to Britta while dating Britta.	Troy	Britta	40	30	Stupid	Damages his own relationship while neglecting Britta’s emotional needs.
Troy maintains a Tumblr devoted to Clive Owen.	Troy	Himself	65	55	Intelligent	Provides himself harmless enjoyment and slightly humanizes him to others.
Troy openly tells Abed he loves him in a Princess Leia–style homage.	Troy	Abed	80	85	Intelligent	Strengthens their emotional bond and gives Troy honest expression.
Troy once tries to hold Annie’s hand after mistaking her for Abed.	Troy	Annie	35	45	Helpless	Creates awkwardness for himself and Annie with no clear benefit.
Troy enthusiastically checks himself out when he and Abed pretend to have switched bodies.	Troy	Abed/Onlookers	60	55	Intelligent	Light, self-affirming play that amuses more than harms.
Troy sheepishly suggests he’s at least tried his own honey.	Troy	Listeners	55	50	Intelligent	Minor self-embarrassment in a joking context that entertains others.
Troy says to Abed, “Let’s go film the sex scene.”	Troy	Abed/Listeners	55	50	Intelligent	An innuendo-laden line that mostly just fuels their shared bit.
Troy gets lessons from Pierce on how to give a powerful sneeze.	Troy	Himself (via Pierce)	60	55	Intelligent	Attempts self-improvement for confidence with minimal outside effect.
Jeff loudly announces that Troy sneezes like a girl.	Jeff	Troy	70	30	Bandit	Jeff gets a joke/attention at Troy’s expense, mildly hurting Troy.
Troy threatens, “How 'bout I pound you like a boy—that didn't come out right.”	Troy	Jeff/Onlookers	45	45	Helpless	Backfires as innuendo, embarrassing him without really helping anyone.
A janitor catches Troy snooping around a lawyer's office.	Janitor	Troy	55	60	Intelligent	Doing his job by catching suspicious behavior, indirectly keeping order.
Troy snoops around a lawyer’s office.	Troy	Lawyer/Office owner	30	35	Helpless	Exposes himself to trouble with no payoff shown, and risks others’ privacy.
Troy extends his hand to the janitor and says “I can explain...” twice without explaining.	Troy	Janitor	35	45	Helpless	Makes himself look guiltier and more foolish without changing the outcome.
Abed proposes getting food poisoning by eating two-year-old seven-layer dip to leave Shirley’s party.	Abed	Troy and Annie (and Shirley indirectly)	25	20	Stupid	Plan endangers them and disrespects Shirley without any real confirmed benefit.
Troy agrees to participate in eating the “garbage dip.”	Troy	Himself (and Shirley)	20	25	Stupid	Risks serious illness and hurts Shirley’s feelings for a flimsy escape.
Troy says “Eat garbage dip. Why did I have to go third?” revealing their plan.	Troy	Abed and Annie	40	35	Helpless	Scuttles their scheme, sparing them harm but embarrassing all three.
Meeting LeVar Burton causes Troy panic and collapse.	Troy	Himself	20	60	Helpless	Severe distress to himself; others mostly just witness the meltdown.
Troy turns down a football scholarship.	Troy	Himself	40	60	Helpless	Gives up a major opportunity but it eventually supports healthier self-direction.
Troy turns down a career as a plumber.	Troy	Himself	40	55	Helpless	Rejects a stable trade out of reluctance, leaving his future unclear.
Troy turns down his “Truest Repairman” destiny.	Troy	AC school/His future self	35	60	Helpless	Walks away from a powerful, lucrative path while seeking personal authenticity.
Troy frequently prioritizes his bond with Abed over romantic prospects.	Troy	Romantic partners	70	60	Intelligent	Deepens his core support system even as some romances suffer.
Troy sabotages his own adulthood by faking a keg-flip injury to stay a man-child.	Troy	Himself	20	55	Helpless	Avoids responsibility short-term but cripples his long-term growth.
Troy and Abed agree not to act “weird” at a wedding.	Troy	Abed	60	60	Intelligent	Attempts to respect social norms and fit in for others’ sake.
Troy sees the monkey “Annie’s Boobs” run into the ducts and uses it as an excuse to abandon adult behavior at the wedding.	Troy	Abed and wedding hosts	55	40	Bandit	Gains personal relief and fun by dragging Abed out of social conformity, undermining the event.
Troy pulls Abed back into childish behavior at the wedding.	Troy	Abed	60	45	Bandit	Helps himself feel safe/playful but also pulls Abed away from functioning as an adult.
Troy suggests killing Annie after she reveals she sabotaged the space simulation.	Troy	Annie	5	10	Stupid	An extreme, harmful suggestion that would destroy everyone with no benefit if followed.
Troy is recruited by the Air Conditioning Repair School for his repair talent.	AC School	Troy	70	40	Bandit	They gain a prodigy and prestige while pulling Troy away from his chosen life.
Troy initially resists joining the AC School because it means leaving his friends.	Troy	Himself and friends	65	70	Intelligent	Protects his core relationships despite pressure from a lucrative opportunity.
Troy accepts the AC School offer to get help rescuing his friends.	Troy	His friends	85	80	Intelligent	Sacrifices his own freedom/career choice in the moment to save the group.
Troy defeats the vice-dean’s murderer/usurper in an air conditioner repair duel to earn his way out of the program.	Troy	AC School leadership	80	80	Intelligent	Regains autonomy while removing a dangerous usurper and stabilizing the system.
Pierce offers Troy the chance to sail around the world.	Pierce	Troy	75	70	Intelligent	Gives Troy a concrete growth path and adventure he needs.
Troy accepts Pierce’s offer to travel around the world to find a purpose.	Troy	Himself	85	70	Intelligent	Chooses an experience that may finally give him direction in life.
Troy sails across the world with LeVar Burton.	Troy	LeVar Burton	80	75	Intelligent	Gains mentorship and adventure while LeVar gains a companion and story.
Troy and LeVar are captured by Somali/Mexican Gulf pirates (uncertain doom).	Pirates	Troy and LeVar	5	5	Stupid	Imposes extreme danger and loss on them with no depicted gain beyond momentary capture.
