Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Gives up being a detective and takes a job as a regular patrol cop	McNulty	McNulty	65	60	Intelligent	He sacrifices prestige to gain personal stability while still contributing productively as a cop.
Refuses repeated offers to return to detective work, saying he’s happier walking the beat	McNulty	His superiors	60	55	Intelligent	He protects his own wellbeing and still does useful work, though it withholds his top skills from major cases.
Decides to rejoin Homicide when Marlo’s crew grows out of control	McNulty	Baltimore public	75	80	Intelligent	He regains meaningful detective work and uses his skills to combat a serious criminal threat.
Takes numerous jabs from others “with a smile”	McNulty	Colleagues	60	60	Intelligent	By absorbing teasing without escalation he protects his relationships and workplace harmony.
Maintains functional performance at work despite alcoholism	McNulty	Baltimore PD	50	65	Helpless	His addiction ruins his private life even as his work benefits from his obsessive dedication.
Regularly drinks on the job in season 5	McNulty	Public / colleagues	25	20	Stupid	His drinking erodes his own control and endangers cases and others without any real benefit.
Executes the fake serial killer plan to get Marlo off the streets	McNulty	Baltimore institutions	30	35	Stupid	He gains a tactical win against Marlo but destroys his career and damages institutional integrity.
Takes responsibility for Marlo via the serial killer scheme, getting him “off the streets (for now)”	McNulty	Public safety	40	70	Helpless	He meaningfully reduces immediate street violence but at the cost of his career and reputation.
Denies responsibility with “What the fuck did I do?” when reprimanded	McNulty	Superiors	45	30	Bandit	Deflecting blame protects his ego short term while undermining accountability and frustrating others.
Accepts guilt on realizing the ramifications of his actions and repeats the line in a guilty tone	McNulty	McNulty	55	60	Intelligent	Recognizing his fault helps him internalize consequences and minimally repairs trust.
Becomes obsessed with taking Stringer down as payback after he walks free	McNulty	Stringer Bell	55	40	Bandit	His vendetta feeds his ego and focus but distorts priorities and risks collateral costs.
Carefully builds a wire case and catches Stringer incriminating himself	McNulty	Baltimore public	80	80	Intelligent	He uses skillful, lawful investigation to pin a major criminal, aiding both his standing and public safety.
Becomes distraught when Stringer is murdered before he can be arrested	McNulty	McNulty	30	55	Helpless	He suffers emotionally while the city arguably benefits from Stringer’s removal.
Regularly bends and breaks rules for information instead of using proper procedure	McNulty	Police hierarchy	45	40	Bandit	He may gain marginal speed or satisfaction but breeds mistrust and needless institutional damage.
Uses the same investigative methods as Bunk and Lester but breaks rules to do it	McNulty	Baltimore PD	40	35	Stupid	He gains no extra benefit over colleagues yet incurs risk and undermines procedures.
Refuses to “play the game” and puts doing his work above his own well-being and loyalty to supporters	McNulty	Himself & Daniels	35	40	Helpless	His stance protects his personal ideals while repeatedly damaging his career and allies who help him.
Deserts MCU and works as a patrolman in season 4, getting his personal life back together	McNulty	McNulty’s family	75	70	Intelligent	He trades prestige for stability and healthier relationships while still serving effectively.
Returns his focus to the Stanfield case at the end of season 4	McNulty	Stanfield crew	60	65	Intelligent	He re-engages his investigative talents against a serious target, advancing both his aims and public safety.
Drinks heavily and resumes womanizing in season 5 despite living with Beadie	McNulty	Beadie & family	25	25	Stupid	He indulges addiction that hurts his relationship and stability for fleeting gratification.
Hatches the fake serial killer plot as an outlet for his ego and desire to matter	McNulty	Baltimore PD	30	20	Stupid	The scheme flatters his self-image briefly while gravely endangering careers, budgets, and trust.
Gives everything he has to cases he cares about, ignoring rules and self-preservation	McNulty	Himself	55	65	Intelligent	His obsessive drive solves hard cases and helps others, though at real long-term cost to himself.
Tries to independently solve the dead girls case to show off to Lester and Bunk while bored in Marine unit	McNulty	Lester & Bunk	45	55	Helpless	He does extra work from boredom and ego, gaining nothing new while modestly aiding an already-handled case.
Drinks to drown his sorrows whenever distraught	McNulty	McNulty	20	50	Helpless	He self-medicates emotional pain at significant personal cost with no benefit to anyone else.
Drives drunk at times	McNulty	Other drivers / public	20	10	Stupid	He recklessly endangers himself and others for trivial convenience while intoxicated.
Refuses to engage in police brutality despite many lines he does cross	McNulty	Suspects	60	75	Intelligent	He protects his own legal exposure and preserves others’ rights by keeping violence in check.
Lets his alcoholism and violations lead to his eventual expulsion from the force	McNulty	McNulty	20	50	Helpless	His accumulated misconduct ends his career, though institutions arguably benefit from his removal.
Rekindles his relationship with Beadie at the end	McNulty	Beadie	70	70	Intelligent	He regains emotional support and offers her renewed partnership, moving both toward a healthier life.
Brings the homeless man he stashed in Virginia back to Baltimore	McNulty	Homeless man	55	70	Intelligent	He partly repairs his earlier abuse of the man and facilitates his access to proper help.
Loses sight of his children while having them tail Stringer in a market	McNulty	Sean & Michael	15	20	Stupid	He gains questionable investigative help while seriously endangering his kids.
Leaves his kids alone at night to have a quickie in a hotel	McNulty	Sean & Michael	10	20	Stupid	He risks their safety for momentary sexual gratification, hurting them and ultimately himself.
Poses as a bigot with a sheriff, assuming the man is prejudiced	McNulty	Sheriff	60	30	Bandit	He tries to manipulate cooperation through feigned racism, benefiting his case while insulting the target.
Backpedals when he learns the sheriff’s wife is black	McNulty	Sheriff	55	55	Intelligent	He repairs a misjudgment quickly, limiting damage to the relationship at manageable cost to his pride.
