Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Beth dismisses Carter’s attempt to bond and call her “mom”	Beth	Carter	5	10	Stupid	She gains nothing lasting, worsens her parent-figure relationship, and deeply harms an already vulnerable child.
Beth regularly abuses/neglects Carter	Beth	Carter	10	5	Stupid	Ongoing cruelty to her stepchild gives her no clear benefit while damaging him and her own social/family standing.
Beth sadistically torments people around her, especially Jamie	Beth	Jamie and others	15	5	Stupid	She indulges cruelty for fun, which may feel good short-term but fuels long-term backlash and isolation.
Beth murders Jamie slowly and sadistically	Beth	Jamie	10	0	Stupid	Killing her main rival gives emotional satisfaction but triggers reputational ruin, legal risk, and collapse of her family legacy.
Beth kills Jamie, frames him as on the run, and ruins his reputation	Beth	Jamie	15	5	Bandit	She removes an enemy and escapes legal blame while destroying his life and posthumous reputation.
Beth has Jamie’s body dumped at the train station to cover the murder	Beth	Jamie / authorities	20	10	Bandit	Body disposal protects her from exposure at the cost of further disrespect and risk to others if discovered.
Beth moves to Texas with Rip to start over after Jamie’s death	Beth	Rip / herself	65	30	Intelligent	She and Rip gain a chance at a new life with reduced risk to others beyond the prior harms already done.
Beth and Kayce sell the ranch to pay off debts	Beth and Kayce	Family / creditors	40	60	Helpless	They sacrifice their own legacy and wealth to satisfy debts, significantly benefiting creditors and system order.
Beth drinks heavily to sleep despite saying she’s “back on the wagon”	Beth	Herself	20	40	Helpless	She self-medicates trauma at the cost of health and control while remaining somewhat functional to others.
Beth makes enemies suicidal as an endgame, especially Jamie	Beth	Enemies (esp. Jamie)	15	5	Stupid	Driving people toward suicide risks immense blowback and guilt with no stable gain beyond fleeting sadism.
Beth cuckolds Jenkins to psychologically break him	Beth	Jenkins	25	5	Bandit	She gains sadistic satisfaction and leverage by wrecking his psyche and relationships.
Beth gives Jamie a “suicide dare”	Beth	Jamie	10	5	Stupid	She risks pushing him over the edge and deepening family ruin for no constructive advantage.
Beth continues abusing Jamie after his suicide attempt	Beth	Jamie	10	5	Stupid	Her refusal to ease off risks his instability and the family’s coherence while providing only spiteful pleasure.
Beth forces Jamie to kill his own father as leverage	Beth	Jamie and his father	20	5	Bandit	She gains powerful blackmail and control at the cost of Jamie’s psyche and his father’s life.
Beth uses Jamie’s patricide as ongoing blackmail	Beth	Jamie	30	5	Bandit	She secures obedience and leverage by exploiting his crime, further traumatizing him.
Beth threatens to take Jamie’s son away from him	Beth	Jamie and his son	10	5	Stupid	Weaponizing his child escalates conflict and hatred without creating stable benefit for herself.
Beth asks John to murder Jamie after losing blackmail leverage	Beth	Jamie	5	5	Stupid	She proposes an extreme, risky solution born of spite and panic with no clear long-term self-benefit.
John lets Beth abuse Jamie without remorse	John	Jamie	20	10	Bandit	He preserves his bond with Beth and avoids conflict while allowing serious ongoing harm to Jamie.
Rip rescues Beth from Beck’s hitmen	Rip	Beth	80	80	Intelligent	He risks himself to save her life, benefiting them both and harming no innocents.
Beth blames Jamie for funding the abortion/hysterectomy and hates him for it	Beth	Jamie	20	20	Stupid	Her fixation fuels mutual destruction and family collapse, with little real gain beyond sustained anger.
Beth vows to kill Jamie’s infant son to spite him	Beth	Jamie’s son	5	0	Stupid	Even expressing this intent increases risk, alienates allies, and offers no lasting benefit.
Beth admits to Monica that her cruelty has been “for fun”	Beth	People she’s hurt	25	20	Stupid	She gains momentary self-expression while confirming monstrous motives, worsening how others will treat her.
Beth drinks and bathes naked in the horse trough while lashing out at others	Beth	Jamie / Rip / John’s partner	15	20	Stupid	She self-soothes via alcohol and exhibitionism but damages relationships and professional image.
Beth makes ruining Jamie’s life her overriding goal	Beth	Jamie	15	10	Stupid	This obsession drives the collapse of her own family’s fortune and reputation along with his destruction.
Beth enjoys bullying and threatening people beneath her	Beth	Subordinates / enemies	25	10	Bandit	She gains feelings of power and compliance while inflicting fear and trauma on others.
Beth threatens Jamie’s infant son again to harm Jamie	Beth	Jamie’s son	5	0	Stupid	Reiterated child-targeting threats heighten danger and blowback with no constructive payoff.
Beth browbeats a business associate while drunk into surrendering his company	Beth	Business associate	70	20	Bandit	She secures corporate gains and career advancement by coercively harming his interests.
Beth partially cuts back on drinking after her father’s urging and marriage	Beth	Herself / family	60	70	Intelligent	Reducing alcohol benefits her health and stability, helping her relationships and responsibilities.
Beth uses her corporate-raider role to destabilize opposing forces for the ranch	Beth	Opposing firms	75	25	Bandit	She strongly benefits the ranch and her career by financially damaging outside companies and stakeholders.
Beth confronts Jamie demanding he step down or she’ll reveal blackmail	Beth	Jamie	40	20	Bandit	She tries to secure political advantage and control at the cost of Jamie’s position and security.
Jamie reveals the train station and nullifies Beth’s blackmail	Jamie	Beth	55	20	Bandit	He protects himself and regains agency while exposing her leverage as useless, increasing risk for the wider family.
Beth has a breakdown and begs John to kill Jamie after losing leverage	Beth	Jamie / John	10	5	Stupid	Her loss of composure worsens family instability and offers no strategic benefit.
Beth continually “kicks the dog” with Jamie whenever she can	Beth	Jamie	10	10	Stupid	Chronic, needless abuse poisons her own environment and fuels eventual backlash.
Beth threatens Jamie’s infant son yet again as a spite move	Beth	Jamie’s son	5	0	Stupid	Repeated homicidal threats against a child only increase danger and isolation for Beth.
Beth browbeats Jamie as a “spineless asshole,” creating a self-fulfilling prophecy	Beth	Jamie	15	15	Stupid	Her abuse pushes him toward self-serving behavior that ultimately harms her and the family.
Beth habitually acts more cruel to Jamie than to others	Beth	Jamie	15	15	Stupid	Targeted cruelty accelerates the sibling conflict that later destroys the family’s stability.
John shows clear favoritism to Beth over Jamie	John	Jamie	25	20	Bandit	He maintains a stronger bond with Beth while deepening Jamie’s resentment and dysfunction.
Beth threatens Jamie’s son again explicitly as an infant-spite threat	Beth	Jamie’s son	5	0	Stupid	This intent further corrodes her moral position and increases long-term risks with no benefit.
Beth survives Beck brothers’ ordeal but is left emotionally damaged	Beth	Herself	30	40	Helpless	The outcome (survival) benefits her but the lasting trauma harms her more than it helps anyone else.
Beth loses the ranch, family name, and fortune due to her feud with Jamie	Beth	Her family	10	10	Stupid	Her obsession culminates in total loss of what she claimed to fight for, hurting both herself and her kin.
Beth regularly abuses Jamie verbally and physically without punishment	Beth	Jamie	15	10	Stupid	Lack of consequences encourages behavior that later destroys her own world.
Beth treats people as disposable collateral to protect ranch/father	Beth	Innocent outsiders	35	15	Bandit	She preserves her family interests by ruining or risking the lives of uninvolved people.
Beth uses her intelligence and drive to crush outside influences on the ranch	Beth	External interests	70	25	Bandit	Strategic brilliance secures her side’s power while inflicting heavy losses on others.
Jamie makes a move against John and reveals the train station to Beth	Jamie	John / Beth	50	20	Bandit	He gains leverage and some protection while putting his father and family operations at risk.
Beth apologizes tearfully to Rip for how she treated him as a teen	Beth	Rip	60	70	Intelligent	This vulnerability heals their relationship and reduces her own regrets.
Beth blames Jamie for John’s death, ignoring her own role	Beth	Jamie	20	20	Stupid	Scapegoating deflects accountability, worsening conflict and self-delusion without real gain.
Teen Beth seduces a fellow rancher in front of Rip to hurt him	Beth	Rip	20	25	Bandit	She asserts sexual power and spite gratification while damaging Rip emotionally.
Beth reveals graphic sexual details to her father unnecessarily	Beth	John	40	30	Stupid	Crudeness offers her minor shock-value satisfaction but strains their relationship and communication.
Beth executes a Xanatos Gambit against Market Equities and Schwartz & Meyer	Beth	Caroline Warner / Schwartz & Meyer	80	25	Bandit	She maximizes strategic upside for herself and the ranch by engineering multi-party corporate damage.
