Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Creates SC's television department on his own initiative	Harry Crane	Advertising agency / coworkers	88	90	Intelligent	He pioneers a TV department that becomes vital to the agency, greatly benefiting his own career and the firm.
Experiments with Peacock and Mod fashions and grows out his hair	Harry Crane	Harry Crane	65	55	Intelligent	Updating his image to current fashions helps his personal presentation with no clear harm to others.
Talks about other characters being "queer" in a crass way	Harry Crane	Other characters he calls "queer"	55	20	Bandit	His comments bolster his own posturing while creating discomfort and possible reputational harm to others.
Makes crass jokes about what he'd do to Megan	Harry Crane	Megan	60	15	Bandit	He indulges his ego and macho image at Megan’s expense, objectifying her and offering no benefit to her.
Talks admiringly about how good Charlton Heston looks naked	Harry Crane	Charlton Heston / listeners	55	50	Intelligent	He expresses an opinion that hints at his sexuality but has no clear cost or benefit to others.
Has a drunken one-night stand with a woman in Season 1	Harry Crane	His wife	35	15	Bandit	He gains fleeting sexual gratification while gravely damaging his marriage and hurting his wife.
Tells his wife about his drunken one-night stand	Harry Crane	His wife	40	30	Helpless	His confession harms himself (couch exile, marital strain) while giving her information/control and a path to forgive.
Wife exiles him to the couch for cheating	Harry’s wife	Harry Crane	60	40	Intelligent	She asserts boundaries and penalizes him; this helps her and may correct his behavior, while harming him only proportionally.
Frequently complains about how miserable his home life is and how greedy his children are	Harry Crane	His family’s reputation / coworkers	45	20	Bandit	Venting may relieve him slightly but undermines others’ view of his family, harming them and his own image.
Uses his TV connections and knowledge to solve problems for the firm	Harry Crane	Advertising agency / partners	80	85	Intelligent	His expertise repeatedly rescues campaigns and operations, raising his value and helping the company.
Helps Kinsey out when Kinsey is at his lowest (privately)	Harry Crane	Kinsey	70	90	Intelligent	He significantly aids Kinsey at personal effort with no recognition, strongly benefiting Kinsey and modestly benefiting his own conscience.
Harry tries to befriend Joey by offering to get him on Peyton Place	Harry Crane	Joey	60	70	Intelligent	The offer could advance Joey’s career and improve Harry’s network, even if Joey misreads his intentions.
Lakshmi has sex with Harry as a bargaining chip to stop him from helping Paul	Lakshmi	Harry Crane / Paul	65	20	Bandit	She secures Harry’s compliance and influence for herself while derailing help that could benefit Paul.
Uses Harry sexually as leverage to make him back off from helping Paul	Lakshmi	Paul	65	15	Bandit	She improves her own situation with the cult by sabotaging potential aid to Paul.
Backs off from helping Paul because of Lakshmi’s pressure	Harry Crane	Paul	40	25	Bandit	He avoids conflict and maintains his affair but abandons Paul, harming Paul’s prospects more than he benefits.
Flirts with a model in Season 4 while married	Harry Crane	His wife / model	55	30	Bandit	He gains ego and possible romantic prospects while undermining his marriage and disrespecting his wife.
Cheats on his wife again in Season 5	Harry Crane	His wife	30	15	Bandit	He gets additional affairs at the cost of further eroding his marriage and hurting his wife.
Becomes an outright braggart about how often he cheats on his wife	Harry Crane	Coworkers / his wife’s reputation	50	20	Bandit	He gains status with some peers while publicly devaluing his wife and flaunting betrayal.
Misses his chance at becoming a partner when it would have made him a millionaire	Harry Crane	Harry Crane	10	50	Helpless	His inaction severely harms his financial future while not clearly affecting others.
Loses even more money in a messy divorce	Harry Crane	Harry Crane	5	45	Helpless	The divorce devastates him financially with no indicated compensating harm or benefit to others.
Partners keep Harry despite wanting to fire him because they need his TV department	Partners	Harry Crane / agency	75	80	Intelligent	Retaining a disliked but indispensable specialist preserves agency revenue and his job.
Roger half-seriously considers firing Harry	Roger Sterling	Harry Crane	50	40	Helpless	Contemplation offers Roger emotional relief but, if acted on, would hurt the firm; as-is it changes little.
Becomes a Deadpan Snarker calling out bosses for ignoring media until it hurts them	Harry Crane	Partners	60	45	Bandit	His snark vents frustration and asserts his importance but alienates leadership more than it helps them.
Constantly complains he’s passed over for partnership	Harry Crane	Partners / coworkers	45	35	Bandit	Complaining may vent and signal ambition but mostly damages his relationships and reputation.
Noses his way into the partners’ inner circle	Harry Crane	Partners	55	40	Bandit	He seeks career advancement but annoys superiors and fuels their resistance.
Plays hardball with partnership negotiations instead of promptly accepting	Harry Crane	Harry Crane	15	50	Helpless	His overconfidence leads him to delay, causing a huge personal loss without clear effect on others.
Waits too long to sign partnership contract and misses chance to make millions	Harry Crane	Harry Crane	8	55	Helpless	This catastrophic delay obliterates a life-changing financial gain while not materially affecting others.
Becomes more overtly sexist as his TV department takes off	Harry Crane	Female coworkers	70	20	Bandit	His ego and dominance rise at the cost of creating a hostile environment for women.
Becomes SCDP’s resident Jerkass in later seasons	Harry Crane	Coworkers	60	30	Bandit	His attitude protects his ego but alienates nearly everyone, harming workplace relations.
Pete calls Harry out for his insensitive reaction to MLK’s death	Pete Campbell	Harry Crane	70	65	Intelligent	Pete risks friction to enforce basic decency, likely helping the office climate and Harry’s awareness.
Checks data after JFK’s death to see which programs won’t air	Harry Crane	Agency clients / public sensitivity	70	35	Bandit	He protects ad and revenue interests but treats a national tragedy as a scheduling problem, offending sensibilities.
Is upset by MLK’s death mainly because preempted programs cost the agency money	Harry Crane	Public / coworkers	60	25	Bandit	He focuses on lost revenue while disregarding human loss, harming his standing and others’ emotional climate.
Calls out bosses for ignoring the media department only after it bites them	Harry Crane	Partners	65	45	Bandit	His criticism highlights a real issue but is timed to gloat, helping his ego more than organizational learning.
Helps Kinsey in a way no one, not even Kinsey, fully knows	Harry Crane	Kinsey	75	95	Intelligent	He offers substantial, anonymous assistance that greatly helps Kinsey with minimal downside to himself.
