Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Chang abuses and bullies his Spanish students using his authority in class	Chang	Students	70	10	Bandit	He indulges his power-trip at their expense, gaining gratification while seriously harming their learning and comfort.
Chang teaches Klingon instead of Spanish, despite being hired as a Spanish teacher	Chang	Students/Greendale	40	5	Stupid	He sabotages his own job security and credibility while depriving students of the subject they need.
Chang fakes being a qualified Spanish teacher and works with a phony degree	Chang	Greendale/Students	60	15	Bandit	He gains a job and status in the short term while misleading the school and students academically.
Annie records Chang admitting he has no teaching/Spanish credentials and exposes him to the Dean	Annie	Chang	55	75	Intelligent	She risks some interpersonal fallout to stop an unqualified, abusive teacher and improve the school situation.
Greendale keeps Chang employed because he is the only Spanish teacher available	Greendale administration	Students/Greendale	35	25	Stupid	They preserve short-term staffing at the cost of educational quality, liability, and student welfare.
Chang secretly serves as a mole for City College at Greendale	Chang	Greendale/Study Group	65	10	Bandit	He seeks revenge and leverage through infiltration while putting the school at serious risk.
Chang creates and plays the “Kevin with Changnesia” persona to infiltrate Greendale for City College	Chang	Greendale/Dean	55	20	Bandit	He regains access and some sympathy while undermining trust and safety on campus.
Jeff surveils Chang instead of openly confronting him once he suspects Changnesia is fake	Jeff	Chang	55	55	Intelligent	He protects the group by quietly monitoring a dangerous person while avoiding an unprovable public accusation.
Chang kidnaps the Dean and nearly blows up the school with explosives	Chang	Greendale/Dean/Students	5	0	Stupid	His terror plot endangers everyone including himself with almost no lasting benefit and heavy backlash.
Chang almost burns down the whole school trying to kill the study group with fireworks	Chang	Study Group/Greendale	10	0	Stupid	His attempt at murder would have destroyed the school and likely killed him too for no stable gain.
Chang uses a squad of youth to seize control of Greendale and install a fake dean figurehead	Chang	Greendale community	50	5	Bandit	He gains power and control but destabilizes the institution and abuses minors in the process.
Chang enforces ludicrous policies as de facto commander of Greendale	Chang	Students/Staff	45	15	Bandit	His rule feeds his ego and control but damages campus life and operations.
Chang repeatedly betrays the study group whenever they show trust in him	Chang	Study Group	40	15	Bandit	He extracts short-term advantage or attention while eroding relationships that could benefit him long-term.
Chang switches sides multiple times during “A Fistful of Paintballs”	Chang	Competing teams/Study Group	55	30	Bandit	He maximizes his tactical fun and advantage during the game while causing confusion and minor harm to others.
Chang nearly commits a deadly act of terrorism at Greendale and later gets released on work release	Justice system/administration	Greendale public	45	20	Stupid	They reduce his punishment to reclaim his labor despite the extreme risk he poses to the same community.
Chang accepts a math professor job at Greendale despite his past attempt to blow up the school	Chang	Greendale	55	25	Bandit	He gains status and income, but his presence endangers credibility and safety for everyone else.
Greendale hires Chang as a math teacher again after his prior crimes	Dean/Greendale administration	Greendale community	35	15	Stupid	They fill a staffing hole by re-employing a known dangerous, unstable person.
The study group and Dean initially believe in “Kevin” and Changnesia and give Chang a second chance	Study Group & Dean	Chang	45	60	Helpless	They emotionally invest in and empower him, which risks their own safety but offers him a path to reform.
The group later files a lawsuit against the Dean for rehiring Chang as a teacher	Study Group	Dean Pelton	60	70	Intelligent	They protect themselves and future students, accepting conflict with the Dean to correct a dangerous decision.
Chang Fakes Amnesia throughout Season 4 to escape punishment for his Season 3 crimes	Chang	Greendale/Authorities	70	10	Bandit	He avoids serious legal consequences while maintaining proximity to those he’s harmed.
Chang eventually owns up to his crimes, serves a brief jail sentence, and goes on work release	Chang	Himself/Society	60	65	Intelligent	He accepts some punishment, gains limited freedom, and partially restores legitimacy in others’ eyes.
Chang sits with ostracized Jeff at lunch and helps him reconcile with the group	Chang	Jeff/Study Group	55	65	Intelligent	He forgoes the advantage of Jeff’s pariah status to improve Jeff’s situation and group cohesion.
Chang goes easy on Jeff for trying to expose his fake Changnesia	Chang	Jeff	55	60	Intelligent	He spares Jeff retaliatory harm despite the threat Jeff poses to his scheme, preserving potential goodwill.
Chang lies to Alessandra that he doesn’t remember her despite wanting reconciliation	Chang	Alessandra	35	20	Bandit	He clings to his cover at the cost of their relationship and her emotional well-being.
Jeff reintroduces Chang to Alessandra, forcing Chang to choose between truth and his cover	Jeff	Chang	65	65	Intelligent	He risks awkwardness to test Chang’s honesty and potentially restore a marriage or expose the lie.
Chang chooses to keep pretending not to remember Alessandra, missing a chance at reconciliation	Chang	Himself/Alessandra	30	25	Stupid	He sacrifices a relationship he still values for a fragile deception that cannot last.
Chang punches anyone who draws a swastika, even by accident	Chang	Swastika-drawer	55	35	Bandit	He upholds a personal standard and vents aggression while inflicting physical harm regardless of intent.
Chang makes racist comments toward Shirley, Troy, Annie, and Abed despite hating racism toward himself	Chang	Shirley/Troy/Annie/Abed	45	15	Bandit	He gains momentary superiority or laughs while directly harming others with hostility.
Chang invents and uses the term “Changnesia” to brand his fake condition	Chang	Greendale community	60	20	Bandit	The gag serves his con and ego while misleading others about his mental state.
Jeff accidentally starts using Chang’s “Smurfing” wordplay after mocking it	Jeff	Himself	48	55	Helpless	He mildly undermines his own stance and dignity while giving others amusement.
Chang drags Annie out of class, assigns a punitive essay, and extends its length for every protest	Chang	Spanish class	70	10	Bandit	He asserts dominance and vindictive control at heavy cost to students’ workload and morale.
Chang makes the punitive essay worth 30% of the grade and schedules a “big-ass quiz” immediately after	Chang	Spanish class	65	10	Bandit	He strengthens his grading power and fear factor while unfairly jeopardizing students’ academic standing.
The school tries for years to fire Chang but fails because no one wants his job	Greendale administration	Students/Greendale	40	30	Stupid	They recognize the harm but keep a toxic teacher, prioritizing staffing convenience over quality.
Annie exposes Chang’s credential fraud to the Dean, leading to his firing	Annie	Chang	55	80	Intelligent	She risks retaliation to remove an abuser and fraud, greatly benefiting future students.
Chang threatens to deep-fry a dog, eat a mom’s face, and wear a brother’s skin as pajamas during a children’s play	Chang	Children & families	35	5	Bandit	He heightens his performance and personal thrill while terrifying and disturbing kids and parents.
Chang becomes a drunk-with-power head of campus security, evolving into a wannabe warlord	Chang	Greendale	55	15	Bandit	He gains authority and status while abusing it to the detriment of campus safety and climate.
Chang organizes and leads an army of twelve-year-old boys to enforce his rule	Chang	Boys/Greendale	50	10	Bandit	He gains an obedient force by exploiting minors and militarizing the campus.
Chang threatens the families of kids watching “Celebrity Pharmacology” while playing a drug personification	Chang	Kids’ families	40	5	Bandit	He pushes his performance and ego while deeply unsettling his young audience.
Chang abandons his “Kevin” persona and reverts to villainy in the Season 4 finale	Chang	Study Group/Greendale	45	15	Bandit	He chooses short-term power/chaos over the long-term benefits of reform and acceptance.
Chang’s betrayal in the Season 5 finale includes stealing the million dollars entrusted to him	Chang	Study Group/School Board	80	10	Bandit	He secures a huge financial gain while betraying trust and harming institutional finances.
The school board entrusts Chang with a million dollars despite his history	School Board	Chang/Greendale	35	20	Stupid	They expose major funds to a proven unreliable figure for negligible safeguarding benefit.
Chang betrays the Save Greendale Committee again in Season 5 after being accepted by them	Chang	Save Greendale Committee	45	20	Bandit	He trades sustained belonging for another short-lived advantage and attention spike.
Abed recognizes Chang as the person who originally handed out flyers that brought the group to Greendale	Abed	Chang/Study Group	60	70	Intelligent	He reframes Chang’s role positively, which boosts Chang’s inclusion and group understanding.
Abed invites Chang for fro-yo and tells him he’s been part of the group all along	Abed	Chang	65	80	Intelligent	He offers Chang belonging and goodwill with minimal cost to himself.
Chang aggressively tries to join the study group throughout Season 2 despite their resistance	Chang	Study Group	40	30	Helpless	His pushiness undermines his own acceptance while occasionally giving them comic diversion.
The study group finally accepts Chang into the group and committee in Season 5	Study Group	Chang	55	65	Intelligent	They gain an extra member and some of his positive contributions, though with risk, while he gains belonging.
Chang betrayingly sides against the group so often that “Chang betrays us” ends up on their to-do list	Save Greendale Committee	Themselves	45	60	Helpless	They normalize anticipating betrayal, which helps planning but admits ongoing self-exposure to harm.
Chang pulls off a powerful lead performance in a stage production of The Karate Kid	Chang	Audience/Group	70	80	Intelligent	He earns respect and self-worth through genuine talent, delighting others.
Chang delivers a rousing speech at Garrett’s wedding that helps save the day	Chang	Garrett/Wedding guests	75	85	Intelligent	He gains social credit and emotional fulfillment by improving a crisis moment for everyone.
Chang calmly and helpfully supports Shirley during childbirth	Chang	Shirley	70	85	Intelligent	He behaves admirably, easing her experience and slightly redeeming himself.
Chang saves Jeff from being a complete pariah by helping him reconcile with the group	Chang	Jeff/Study Group	60	80	Intelligent	He intentionally sacrifices leverage over Jeff to restore group harmony.
Chang goes along with being monitored by Jeff after Changnesia suspicion without immediately retaliating	Chang	Jeff	55	55	Intelligent	He avoids confrontation that could expose him, while allowing Jeff to feel proactive, minimizing escalation.
Chang becomes campus security after Season 2 and gradually builds power from that role	Chang	Greendale	60	25	Bandit	He gets stable authority and purpose but uses it in ways that later harm the campus.
Chang joins the main group as a “convenient replacement” after Troy leaves and takes Troy’s seat	Chang	Study Group	60	65	Intelligent	He gains the closeness he craves while the group fills a functional and narrative gap.
The study group includes a Chang figurine peering in from outside in their meta diorama	Study Group	Chang	55	65	Intelligent	They acknowledge his constant presence in a playful way, slightly validating him and deepening group self-awareness.
Chang uses insulting racist nicknames for his students	Chang	Students of color	45	10	Bandit	He feeds his ego and sense of control at direct emotional cost to them.
Chang coins and performs a boastful rap villain song about how awesome he is, playing it in class	Chang	Students	60	30	Bandit	He indulges his ego and gets amusement while wasting class time and annoying students.
Chang performs nine-minute keytar solos regularly enough that Abed can time them	Chang	Audience/Group	55	45	Helpless	His indulgence hurts his social image and patience of others while giving mild entertainment.
Chang loudly bursts into scenes yelling “Did someone say CRAZY PERSON?!” when no one did	Chang	Nearby people	55	40	Helpless	He gains attention but strengthens perceptions of instability, while giving others some amusement and irritation.
Professor Duncan delays an experiment to see how long subjects last and is pleased when Chang instantly explodes	Duncan	Experiment subjects	70	60	Intelligent	He gets fast, clear data with minimal extra effort and relatively minor harm to participants.
Chang has an explosive tantrum on hearing the experiment is delayed, throwing furniture and screaming	Chang	Experiment room/Observers	30	20	Stupid	He vents frustration in a way that damages his reputation and property for no gain.
Chang insults Steven Spielberg, ending a near-opportunity to become a movie star	Chang	Himself	15	55	Helpless	He sabotages his own major career chance while the rest of the world is largely unaffected or amused.
Chang rejects the chance to be a better person as “Kevin” despite Abed’s encouragement in “Heroic Origins”	Chang	Himself/Greendale	30	40	Stupid	He throws away a realistic path to reform and inclusion, to the detriment of himself and those around him.
Chang comes out as “legit gay” in the finale after years of using “gay” as an insult	Chang	Himself/Others	65	60	Intelligent	He gains some self-acceptance and honesty and may encourage greater understanding, despite prior hypocrisy.
