Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Josh goes into therapy and becomes more aware of others' issues	Josh	Others around him (e.g., Paula)	75	80	Intelligent	Therapy improves his self-understanding and lets him accurately perceive and articulate others’ problems.
Josh remains popular with women and uses that to stay in denial about Rebecca's feelings	Josh	Rebecca	70	30	Bandit	His popularity flatters his ego and lets him avoid confronting serious emotions, while leaving Rebecca emotionally misread and strung along.
Josh dates Valencia from age eleven for many years	Josh	Valencia	60	60	Intelligent	Long-term relationship provides mutual affection and stability despite later issues.
Josh is reluctant to settle down and repeatedly blames partners instead of himself	Josh	His romantic partners	55	25	Bandit	He preserves his freedom and avoids responsibility while causing partners long-term frustration and hurt.
Josh blames Valencia for being controlling and cites "unresolved feelings" as excuse to avoid commitment	Josh	Valencia	50	20	Bandit	He escapes engagement pressure and guilt by shifting blame, deepening Valencia’s emotional pain.
Josh blames Rebecca’s issues and a sudden priestly calling to avoid committing to her	Josh	Rebecca	45	15	Bandit	He gets out of a difficult relationship without owning his part, worsening Rebecca’s instability.
Josh abandons the commitment to become a priest when he learns how serious it is	Josh	Priesthood institution	55	40	Bandit	He spares himself a hard life path after minimal investment while wasting others’ time and expectations.
Josh finds a new job as a “volunteer firefighter,” actually dancing in a gay bar in a fireman outfit	Josh	Bar patrons / employer	65	70	Intelligent	He secures paid work using his dance skills and entertains patrons, with no shown harm.
Josh develops complex feelings for Rebecca after seeing her with Greg	Josh	Greg and Rebecca	55	55	Intelligent	Jealous feelings push him toward self-knowledge; immediate harm/benefit to others is limited and ambiguous.
Valencia pressures Josh to propose to her	Valencia	Josh	40	30	Bandit	She tries to secure commitment for herself while increasing Josh’s stress and confusion.
Josh maintains very sociable, outgoing behavior to avoid being alone with his thoughts	Josh	His social circle	60	55	Intelligent	He protects himself from distress and also provides friendly company, even if partly escapist.
Valencia initially exerts iron grip on Josh’s friendships and controls what he does	Valencia	Josh	45	20	Bandit	Control helps her feel secure but restricts Josh’s autonomy and strains the relationship.
Josh’s refusal to take next steps in the relationship inadvertently strains it	Josh	Valencia	45	35	Bandit	He avoids discomfort and responsibility while causing long-term uncertainty and tension for Valencia.
Josh’s reappearance leads Rebecca to abandon her career in pursuit of happiness	Josh	Rebecca	50	40	Helpless	His presence unintentionally prompts Rebecca to sacrifice a strong career for a shaky emotional pursuit.
Josh’s later treatment of Rebecca contributes to pushing her into a downward spiral	Josh	Rebecca	45	10	Bandit	His behavior frees him of difficult responsibility while exacerbating Rebecca’s mental-health decline.
Josh listens when told he uses women to flee guilt and takes the criticism to heart	Josh	Advisor (friend/therapist)	65	70	Intelligent	He internalizes a painful truth, improving self-awareness and validating the other’s effort to confront him.
Josh resists using a new girl as a distraction from guilt	Josh	New girl	60	75	Intelligent	He forgoes easy comfort and avoids objectifying or burdening someone else.
Josh instead decides to join the priesthood to run away from his problems	Josh	Himself / priesthood	30	35	Helpless	He trades one avoidance mechanism for another, sacrificing autonomy and comfort without solving anything and mildly burdening the seminary.
Josh habitually expects to be center of attention, blames others, and avoids responsibility	Josh	People around him	55	25	Bandit	He protects his ego and comfort while shifting costs and emotional labor onto others.
After leaving Rebecca at the altar, Josh feels relieved that her “craziness” removes his guilt	Josh	Rebecca	60	15	Bandit	He gains emotional relief by reframing her suffering as justification, deepening her hurt.
Josh warps Rebecca’s suicide attempt into being about himself	Josh	Rebecca and friends	40	10	Stupid	Self-absorption damages relationships and his image while providing no real benefit beyond shallow self-focus.
Josh eventually starts to understand and get called out on his narcissistic behavior	Josh	Those confronting him	70	75	Intelligent	Insight into his flaws helps him grow and validates others’ efforts to hold him accountable.
Josh’s season 4 feelings for Rebecca arise from his readiness for a serious relationship	Josh	Rebecca	65	65	Intelligent	He approaches commitment more maturely, promising mutual emotional benefits.
Josh frequently acts self-absorbed, petty, and immature, making situations unpleasant	Josh	Everyone around him	50	30	Bandit	He secures short-term emotional comfort while degrading others’ experiences.
Josh leaves Rebecca hours before their wedding to become a priest	Josh	Rebecca	35	5	Bandit	He escapes a commitment he fears and pursues a new identity, devastating Rebecca and triggering her crisis.
Josh turns down Valencia’s sexual advances when in a bad mood	Josh	Valencia	55	45	Intelligent	He honors his own boundaries despite surprise, causing only mild, situational disappointment.
Rebecca continues to obsess over Josh because he consistently treats her nicely as a friend	Josh	Rebecca	60	40	Bandit	His kindness maintains his self-image and comfort while unintentionally stringing her along.
Josh remains oblivious to Rebecca’s romantic feelings and confusion about why she’d leave	Josh	Rebecca	45	25	Helpless	His cluelessness shields him from guilt but prolongs her pain and confusion without giving him real growth.
Josh hooks up with Rebecca less than an hour after breaking up with Valencia and uses it as casual sex and housing	Josh	Rebecca (and indirectly Valencia)	70	15	Bandit	He gains sex and a place to live at Rebecca’s expense and deepens the fallout from his breakup with Valencia.
Josh leaves Rebecca at the altar to enter the seminary at the end of Season 2	Josh	Rebecca	35	5	Bandit	He chooses escape and a new identity over facing his issues, severely harming Rebecca again.
Josh quickly gets bored in seminary and uses Rebecca’s “crazy” outburst as an excuse to quit	Josh	Seminary / Rebecca	55	20	Bandit	He regains his freedom and dodges hard work, wasting institutional effort and exploiting Rebecca’s breakdown.
Josh joins the priesthood to know his purpose, then quits after realizing it requires quiet studying	Josh	Priest friend / seminary	40	25	Helpless	He invests in a demanding path he’s unfit for, inconveniencing others and bailing with little personal gain.
Josh gets really angry seeing Rebecca with Greg and doesn’t understand what he’s feeling	Josh	Greg and Rebecca	55	50	Intelligent	Confusing jealousy nudges him toward emotional awareness, with no clear net cost or benefit to the others yet.
