Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Sets up D’Angelo Barksdale’s death	Stringer Barksdale	D’Angelo Barksdale	78	5	Bandit	Removes a perceived liability and romantic rival, strengthening his position while gravely harming D’Angelo.
Has an affair with D’Angelo’s woman (Donette)	Stringer Barksdale	Donette & D’Angelo Barksdale	70	20	Bandit	He gains emotional/sexual gratification and influence over Donette at the cost of betraying D’Angelo.
Tries to go legit via Senator Clay Davis investment	Stringer Barksdale	Stringer Barksdale	20	40	Helpless	He pours money into “legit” business but gets conned, harming himself while marginally enriching corrupt partners.
Senator Clay Davis scams Stringer in real-estate scheme	Clay Davis	Stringer Barksdale	90	10	Bandit	Davis acquires large illicit benefit while seriously draining Stringer’s funds and prospects.
Decides to “face death with dignity” when cornered	Stringer Barksdale	Stringer Barksdale	40	50	Helpless	He abandons further resistance and accepts death, gaining only psychological closure while ending his own life.
Orders Brandon’s torture and murder	Stringer Barksdale	Brandon & Omar	85	2	Bandit	He brutally eliminates a threat and intimidates enemies, which stabilizes his crew at extreme cost to Brandon and Omar.
Omar begins a Roaring Rampage of Revenge against Barksdales	Omar Little	Barksdale Organization	40	10	Bandit	Omar’s vendetta gives him satisfaction and some leverage but exposes him to immense risk and harms many Barksdale members.
Tries to have Omar killed while escorting his grandmother to church	Stringer Barksdale	Omar & Baltimore underworld norms	75	5	Bandit	He pursues a prime target at a tactically advantageous moment but shatters a shared truce, destabilizing the wider game.
Starts a gang war with Marlo (organization response)	Avon Barksdale & Stringer Barksdale	Barksdale & Marlo crews	45	15	Bandit	They seek territorial and reputational gain while incurring deaths, police scrutiny, and long-term organizational damage.
Betrays Avon to Bunny Colvin	Stringer Barksdale	Avon Barksdale	60	15	Bandit	He hopes to protect his business interests and co-op supply by sacrificing Avon, gravely harming his partner and alliance.
Gets angry when Slim Charles refuses to hit Clay Davis	Stringer Barksdale	Slim Charles	30	35	Helpless	His insistence on a suicidal hit alienates a key lieutenant and exposes his poor judgment without any realized benefit.
Slim Charles refuses to assassinate Senator Davis	Slim Charles	Stringer Barksdale	80	80	Intelligent	He protects himself and the crew from catastrophic blowback, and spares a politician, preserving wider stability.
Promotes Bodie to mid-level and mentors him	Stringer Barksdale	Bodie	65	70	Intelligent	He gains a more competent subordinate while Bodie gains status, income, and guidance.
Directs counter-surveillance and logistics vs Major Crimes	Stringer Barksdale	Barksdale Organization	75	20	Bandit	He keeps his people out of prison and maintains profits at the expense of prolonged drug harm to the community.
Founds “B&B” real estate agency and runs insider trading	Stringer Barksdale	Stringer Barksdale & public	40	30	Helpless	He seeks white-collar gains but misplays the game and becomes the eventual victim of his own schemes.
Wants to move away from drugs into legitimate business	Stringer Barksdale	Stringer Barksdale	65	60	Intelligent	His aspiration, if successful, would reduce his own legal risk and shift activity toward less violent, more regulated arenas.
Shifts Barksdales toward real estate and laundered money	Stringer Barksdale	Barksdale Organization & Baltimore	70	60	Intelligent	The strategy increases long-term survivability and reduces street violence relative to turf wars.
Insists crew dispose of guns by dumping them in water	Stringer Barksdale	Barksdale Organization	60	45	Bandit	He aims to protect the crew from forensic evidence, but poor execution leads to recovery by police.
Orders Brandon’s body disposal that lands guns on barge	Stringer Barksdale	Public & police	50	40	Helpless	He intends to erase evidence but bungles the plan, handing firearms to law enforcement without direct gain.
Uses people as pawns in his schemes and deceptions	Stringer Barksdale	Associates & rivals	70	15	Bandit	His manipulation advances his plans while fostering resentment that later turns many against him.
Conspires to set Omar against Brother Mouzone	Stringer Barksdale	Omar & Brother Mouzone	65	15	Bandit	He tries to protect a business deal by redirecting violence between others, risking their lives to safeguard his interests.
Tips his hand to Brother Mouzone in hospital	Stringer Barksdale	Stringer Barksdale	25	50	Helpless	His careless question exposes his involvement and sows suspicion, undercutting his own prior strategy.
Co-founds the New Day Co-Op	Stringer Barksdale	Other drug dealers & city	70	65	Intelligent	He creates a cartel that raises product quality and reduces turf violence, benefiting himself and somewhat stabilizing the streets.
Acts as Avon’s coolheaded consigliere in Season 1	Stringer Barksdale	Avon Barksdale	75	60	Intelligent	He improves Avon's decisions, profitability, and survival odds while solidifying his own influence.
Arranges Wallace’s murder via manipulative talk with D’Angelo	Stringer Barksdale	Wallace	80	5	Bandit	He removes a perceived liability and reinforces discipline, at the cost of an innocent subordinate’s life.
De facto takes over Barksdales after Avon’s arrest	Stringer Barksdale	Barksdale Organization	70	35	Bandit	He gains power and profits as acting boss but steers the group into riskier strategies that harm many.
Goes behind Avon’s back to redirect organization	Stringer Barksdale	Avon Barksdale	55	25	Bandit	He pursues his own vision, undermining Avon and straining a vital partnership.
Attempts initiatives behind Avon’s back as “pragmatic” reform	Stringer Barksdale	Barksdale Organization	50	40	Helpless	He thinks he’s modernizing the business but misjudgments and secrecy fuel internal conflict and future collapse.
Threatens/pressures Slim Charles to kill Clay Davis	Stringer Barksdale	Slim Charles	35	30	Helpless	He pushes for a suicidal hit, damaging trust with his enforcer without achieving the assassination.
