Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Worf becoming nervous about Keiko having another baby	Worf	Keiko’s pregnancy news	40	60	Helpless	He’s stressed by the news while it doesn’t harm and likely benefits the O’Briens.
Worf shouting “DEATH TO THE OPPOSITION!” during the game	Worf	Opposing holosuite team	55	55	Intelligent	He boosts team morale in a comic setting without real harm to anyone.
Worf often commanding the Defiant on missions	Sisko/Worf	Defiant crew and missions	80	80	Intelligent	His command skills protect the crew and further Starfleet objectives.
Worf enduring ten Jem’Hadar in the forced prize fight	Worf	Garak and escape party	30	85	Helpless	He is badly harmed to buy time for others’ survival and escape.
Martok intervening to keep Worf from letting himself die	Martok	Worf	75	80	Intelligent	He saves Worf’s life and restores a valuable ally.
Worf soothing Miles’ baby to sleep in his arms	Worf	Miles’ baby/O’Briens	70	80	Intelligent	He gains emotional warmth and bond while helping the baby and parents.
Worf dreaming of a traditional Klingon wedding	Worf	Himself/Jadzia	70	70	Intelligent	His romantic desire enriches his and Jadzia’s relationship with no indicated cost.
Worf treating the Defiant as “his” ship and making it his crib	Worf	Himself/Defiant crew	65	60	Intelligent	Living aboard the Defiant helps him adjust and doesn’t hurt others.
Worf accepting authority as Strategic Operations Officer	Worf	DS9 personnel	75	75	Intelligent	His role improves station defense and gives him status and purpose.
Worf deadpan-snarking and being comically serious	Worf	DS9 social circle	60	60	Intelligent	His humor style gives him identity and amuses others despite occasional stiffness.
Worf intimidating people with a death glare	Worf	Those he glares at	60	45	Bandit	He gains deference or compliance while mildly intimidating others.
Worf standing his ground against Jem’Hadar in “You Shall Not Pass!”-style battle	Worf	Garak and escape party	25	90	Helpless	He suffers extreme physical harm to secure others’ escape.
Worf joining the cast and becoming deuteragonist (Klingon War arc)	Worf	Defiant/DS9 crew	80	80	Intelligent	His presence drives strategic successes for both himself and the Federation.
Worf abusing “Klingon officers” as Drill Sergeant in “Apocalypse Rising”	Worf	Sisko’s disguised team	65	55	Bandit	He sharpens them for the mission but also indulges in harsh treatment at their expense.
Worf standing against Gowron’s invasion of Cardassia	Worf	Federation/Cardassia/Klingon Empire	35	80	Helpless	He loses status and is exiled while defending interstellar stability and Federation interests.
Gowron exiling Worf and stripping his house	Gowron	Worf and his family	75	15	Bandit	Gowron strengthens his political position by severely harming Worf’s status and house.
Martok adopting Worf into his house	Martok	Worf	80	80	Intelligent	He gains a strong, loyal brother while restoring Worf’s honor and place in the Empire.
Worf allowing Kurn to have his memory erased to join a new family	Worf	Kurn	30	85	Helpless	He sacrifices his last familial bond to give Kurn an honorable fresh start.
Worf giving Ezri his blessing to be with Julian	Worf	Ezri and Bashir	70	80	Intelligent	He lets go emotionally and supports their happiness without serious personal loss.
Worf remaining loyal to the Federation against the Klingon Empire	Worf	Federation/Klingon Empire	40	80	Helpless	He repeatedly jeopardizes his Klingon standing to protect Federation principles and stability.
Worf upholding his sense of Klingon honor despite costs	Worf	Himself/Klingon society	35	65	Helpless	His uncompromising honor damages his status but preserves a moral example for others.
Worf restraining his Klingon passion after killing a child in soccer	Worf	Himself/people around him	20	70	Helpless	He lives with deep guilt and self-restriction while making others safer from his strength.
Worf choosing to live aboard the Defiant instead of the station	Worf	Himself/DS9 crew	60	55	Intelligent	The move helps him cope and perform without clear downside to the crew.
Worf refusing to participate in the Klingon invasion of Cardassia	Worf	Cardassians/Federation/Klingon Empire	35	80	Helpless	He’s exiled again while limiting complicity in aggression and supporting broader peace.
Worf listening to loud Klingon opera and having Nog retune it	Worf	Nog	60	55	Intelligent	He enjoys his culture while Nog’s minor effort to assist doesn’t meaningfully harm anyone.
Worf insisting on “his” chair in the Defiant mess hall	Worf	Whoever sits in his seat	60	45	Bandit	He secures personal comfort at the cost of making others uncomfortable with glares.
Worf becoming more withdrawn and short-tempered after losses	Worf	DS9 social circle	30	40	Stupid	He isolates himself and hurts relationships without gaining anything.
Worf apologizing after his jerkass behavior	Worf	DS9 social circle	65	75	Intelligent	He repairs bonds and reduces damage from his earlier conduct.
Worf falling for free-spirited Jadzia and marrying her	Worf	Jadzia	85	85	Intelligent	Their relationship provides mutual emotional fulfillment and stability.
Worf loving Klingon opera, legends, and traditions	Worf	Klingon culture enthusiasts	70	70	Intelligent	His devotion enriches his life and helps preserve and share cultural heritage.
Klingons driving tribbles to extinction	Klingon Empire	Tribbles/ecosystems	60	5	Bandit	They remove a perceived ecological threat while causing massive harm to another species.
