Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Mora uses unpleasant methods to research infant Odo	Mora	Odo	70	10	Bandit	His harsh experimentation advances his career and research but traumatizes Odo.
Odo refuses to return to Mora’s science facility for treatment	Odo	Mora	60	40	Intelligent	Protects himself from re‑traumatization while merely rebuffing Mora.
Mora defends his methods as necessary under Cardassian pressure	Mora	Odo	55	20	Bandit	Justifies prior harm to Odo primarily to excuse his own choices and career constraints.
Odo and Mora eventually reconcile	Odo	Mora	70	70	Intelligent	Both gain emotional closure and a repaired relationship.
Founders send their infants out helpless to test how solids treat them	Founders	Infant Changelings	40	10	Bandit	They gain strategic data at serious risk and likely harm to their own young and to others.
Garak tortures Odo with a device that locks him in solid form	Garak	Odo	60	5	Bandit	He gains intelligence/advantage for the Obsidian Order while causing extreme suffering to Odo.
Odo shows up at Jadzia’s bachelorette party only to investigate “noise complaints”	Odo	Senior staff	55	60	Intelligent	Gives his deputies the night off while maintaining a fig leaf of professional distance.
Odo discreetly gestures to his deputies to take the night off	Odo	Deputies	65	70	Intelligent	He earns goodwill and rest for his team with little cost to himself.
Future Odo rewrites history in “Children of Time” to save Kira	Future Odo	Gaian colonists	30	5	Bandit	He saves Kira (and satisfies his own love) at the cost of erasing an entire colony’s existence.
Odo later tells the senior staff not to purge a Prophet from Kira’s body	Odo	Kira	60	70	Intelligent	Respects her autonomous choice to risk herself in battle while aligning with their strategic goal.
Odo briefly marries Lwaxana to annul her abusive marriage	Odo	Lwaxana	80	80	Intelligent	He incurs temporary inconvenience to secure her freedom and custody, and they both gain a lasting friendship.
Odo and Lwaxana divorce once the situation is resolved	Odo	Lwaxana	70	70	Intelligent	They shed an unnecessary legal tie while preserving emotional closeness.
Odo adopts Kira’s derogatory nickname “Constable” as his title	Odo	Kira/crew	65	65	Intelligent	He neutralizes the insult and turns it into a respected professional role.
Cardassian overseers name him “odo’ital” (“nothing”)	Cardassian overseers	Odo	60	15	Bandit	They assert dominance and dehumanize him, but the name inadvertently becomes his identity.
Bajoran scientists reinterpret his name as “Odo Ital”	Bajoran scientists	Odo	70	70	Intelligent	They adapt a slur into a culturally fitting name that he keeps.
Odo uncovers that Garak blew up his own shop and thwarts an assassination	Odo	Garak/assassins	80	90	Intelligent	His analysis protects many lives and exposes a scheme while enhancing his professional standing.
Odo deduces the Martok impostor is a changeling mole	Odo	Changeling infiltrator	80	85	Intelligent	He exposes a critical infiltrator, strengthening station and Klingon security.
Odo constantly monitors Quark’s outbound calls for security	Odo	Quark	60	20	Bandit	He gains intelligence and control while invasively violating Quark’s privacy.
Odo offhandedly admits to monitoring Worf’s calls	Odo	Worf	55	25	Bandit	He gains oversight at the cost of Worf’s privacy and trust, without specific demonstrated benefit.
Odo complains about Sisko’s regulations and daily logs but complies	Odo	Starfleet admin	55	60	Intelligent	He preserves his autonomy in practice while meeting bureaucratic expectations and record‑keeping needs.
Odo records a daily log mocking Human record‑keeping	Odo	Starfleet records	60	55	Intelligent	He vents frustration yet still provides useful documentation for Starfleet.
Odo refuses to carry a gun out of abhorrence for killing	Odo	Potential aggressors	55	70	Intelligent	He maintains his ethics while still acting effectively with nonlethal methods.
Odo becomes briefly romantically involved with the Female Changeling	Odo	Resistance/Kira	30	15	Helpless	His infatuation brings him emotional confusion while seriously undermining the resistance and nearly costing Rom his life.
Female Changeling attempts to brainwash him away from Kira	Female Changeling	Odo	70	15	Bandit	She gains leverage over Odo and the station while damaging his judgment and relationships.
Odo interrogates suspects using “And another thing...” tactic	Odo	Suspects	70	65	Intelligent	His probing style extracts information efficiently, leading to solved cases.
Odo constantly spies on Quark and uses bureaucracy to control him	Odo	Quark	65	25	Bandit	He keeps Quark in line and gains job success, but through coercive, privacy‑invading means.
Odo arrests a cleric for collecting donations without a permit	Odo	Cleric	55	40	Intelligent	He enforces neutral station regulations consistently, though at social cost with Kira.
Odo helps Quark prevent Natima Lang’s unjust execution	Odo	Natima and students	70	85	Intelligent	He risks conflict with authorities to save lives he deems unjustly targeted.
Odo nurtures an infant Changeling gently to avoid his own past mistreatment	Odo	Infant Changeling	65	85	Intelligent	He heals his trauma by giving the infant more humane treatment and growth.
Odo initially refuses to let Dr. Mora work with the infant Changeling	Odo	Dr. Mora	55	60	Intelligent	He protects the child from harsh methods and forces Mora to reconsider his approach.
Odo later accepts that raising the infant may require some tough love	Odo	Infant Changeling	60	75	Intelligent	He integrates Mora’s insight to better guide the infant’s development.
Odo mentors a Jem’Hadar child and then sends him to the Dominion	Odo	Jem’Hadar boy	40	35	Helpless	He tries to steer the boy away from violence but ultimately returns him to a militarized life, hurting both his own conscience and the child’s prospects.
Odo exposes a telepathic mutiny by playing on others’ paranoia	Odo	Mutineers	70	80	Intelligent	His manipulation resolves the crisis and saves the station without lasting harm indicated.
Odo refuses help and walks proudly to the Defiant while losing his powers	Odo	Station onlookers	55	60	Intelligent	He preserves his dignity and models resolve without harming others.
