Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
He takes down a fully-armed War Mûmak and its crew all by himself	Legolas	Enemy forces (Mûmak and crew)	85	80	Intelligent	He risks himself but gains glory/survival while removing a major threat to allies and civilians.
He runs out of arrows only once after killing more orcs than he had arrows	Legolas	Orcs	75	70	Intelligent	His extreme efficiency in combat benefits him and his side with no stated downside beyond a brief ammo limit.
He switches between his bow and knives when appropriate in combat	Legolas	Enemy combatants	80	70	Intelligent	Adaptable weapon use keeps him safer and more lethal for his allies’ cause.
He wields Orcrist when his group captures Thorin and the other dwarves	Legolas	Thorin and Company	60	30	Bandit	He gains a powerful sword and status while the captured dwarves are disadvantaged and disarmed.
He threatens to kill Thorin during his initial introduction	Legolas	Thorin	35	20	Bandit	Intimidation asserts dominance and control at Thorin’s expense without clear wider benefit.
Over time he lets his disdain for dwarves end as he spends time with Gimli	Legolas	Gimli/dwarves	80	85	Intelligent	Abandoning prejudice improves his relationships and strengthens alliance between races.
He originally shares his father's disdain for non-elves, especially dwarves	Legolas	Non-elves (esp. dwarves)	40	20	Bandit	Prejudice reinforces his in-group status but harms others socially and politically.
He reacts with confusion to his first real injury, then goes after Bolg again	Legolas	Bolg	70	60	Intelligent	Quickly overcoming shock and re-engaging improves his battlefield effectiveness for himself and allies.
He calls out his father and people for ignoring the outside world	Legolas	Thranduil/Mirkwood elves	70	75	Intelligent	Criticizing isolationism risks disfavor but pushes his society toward more responsible action.
He tells his father he cannot go home and is told to seek “a young ranger by the name of Strider”	Legolas	Thranduil	75	85	Intelligent	Leaving home expands his alliances (Aragorn) and ultimately benefits the wider world’s defense.
He warns Tauriel that her love for Kíli can’t work out but does not interfere	Legolas	Tauriel	60	70	Intelligent	He protects his own feelings somewhat while offering realistic counsel and respecting her agency.
He feels sorry for Tauriel when Kíli is killed trying to rescue her	Legolas	Tauriel	55	65	Intelligent	Empathy sustains their bond and supports her emotionally with no personal cost beyond sadness.
He saves Tauriel from Bolg and kills Bolg after an epic battle	Legolas	Tauriel/Bolg	85	85	Intelligent	He risks himself but preserves Tauriel’s life and removes a powerful enemy.
