Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Tom bullies Greg on first meeting, asking if he'd kiss him	Tom	Greg	55	20	Bandit	Asserting dominance mildly boosts Tom’s ego while stressing and humiliating Greg.
Tom reacts with jealousy when Greg moves in with Kendall	Tom	Greg	20	40	Helpless	His jealousy causes him distress without affecting Greg’s material position.
Tom compares his and Greg’s relationship to Nero and Sporus and uses it to bind Greg closer	Tom	Greg	70	25	Bandit	He deepens Greg’s emotional/psychological entanglement to secure loyalty at Greg’s expense.
Tom kisses Greg’s forehead to celebrate not going to prison	Tom	Greg	60	65	Intelligent	The gesture comforts Greg and expresses Tom’s joy, benefiting both relationally.
Tom is unhappy and jealous when Greg wants to ask out Comfrey	Tom	Greg	30	45	Helpless	His jealousy upsets him and applies possessive pressure on Greg with little upside.
Tom invites Greg to join Logan against the siblings, framed as a “marriage proposal”	Tom	Greg	85	25	Bandit	He secures a political ally and patronage for himself while pulling Greg into a morally compromised side.
Tom advises Greg not to trust anyone in business	Tom	Greg	60	70	Intelligent	The advice realistically helps Greg navigate a predatory environment and costs Tom little.
Tom withholds Greg’s confidential meeting with Michelle Pantsil from others	Tom	Waystar leadership	65	55	Intelligent	He protects Greg’s secret while gaining private leverage, with limited harm shown.
Tom uses an employee as a physical footstool	Tom	Employee	70	5	Bandit	He indulges his dominance with no real benefit to others and clear humiliation for the employee.
Tom encourages a hesitant Greg to join him as footstool	Tom	Greg	60	10	Bandit	He pressures Greg into degrading complicity, tightening control more than offering benefit.
Tom praises Greg for blackmailing him and offers more than demanded	Tom	Greg	55	65	Intelligent	He reframes blackmail into a negotiation, giving Greg more upside and slightly stabilizing their power dynamic.
Tom openly admits he loves being rich and refuses to deny himself luxuries	Tom	Tom	75	40	Bandit	He gains personal clarity and comfort while signaling selfishness and alienating others.
Tom suddenly obsesses over Shiv’s periods due to fear of prison	Tom	Shiv	40	20	Stupid	His anxiety-driven baby trap harms Shiv emotionally and doesn’t materially solve his prison fear.
Tom gets deeply involved in wedding details and is horrible to the wedding planner	Tom	Wedding planner	60	10	Bandit	He satisfies his control impulses at the planner’s expense.
Tom delivers brutally honest attacks on Shiv’s attitude and fitness for motherhood	Tom	Shiv	30	10	Stupid	The venting damages Shiv and their relationship without yielding him any clear benefit.
Tom throws water bottles at Greg when Greg wants to “see other people” professionally	Tom	Greg	25	10	Stupid	His tantrum physically and emotionally intimidates Greg and makes Tom look unstable.
Tom pushes a woman aside during a shooting scare, saying “executives are coming through”	Tom	Random woman	65	0	Bandit	He marginally increases his own safety while directly endangering someone else.
Tom humiliates Shiv’s lover at the wedding and has him removed	Tom	Nate	70	30	Bandit	He asserts boundaries and emotional satisfaction while socially humiliating Nate.
Tom tells Shiv to “fuck off” when she mocks him too far at dinner	Tom	Shiv	60	45	Intelligent	He finally asserts a boundary, benefiting his self-respect and giving Shiv needed feedback.
