Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Chooses not to take state money to cover the city's budget deficit to protect his gubernatorial ambitions	Carcetti	City of Baltimore / residents	80	10	Bandit	He preserves his long‑term political prospects while leaving the city underfunded and harmed.
Starts off as an idealistic crusader determined to clean up Baltimore's corruption	Carcetti	Baltimore political system / citizens	70	80	Intelligent	His initial reform drive benefits his career image and aims to reduce corruption for the public.
Allows himself to be molded into a self‑serving politician who forgets his earlier ideals	Carcetti	His earlier reform agenda	60	20	Bandit	He gains survival and advantage in the political game while abandoning benefits he intended for others.
Spends nearly every waking hour trying to plug the financial deficit as mayor	Carcetti	City finances / services	55	65	Intelligent	His exhausting work slightly drains him but materially benefits the city’s fiscal situation.
Tries to be an internal reformist and initially changes some things with his early élan	Carcetti	City government / agencies	65	75	Intelligent	Initial internal reforms advance his standing and improve institutional performance.
Becomes assimilated by the political game and abandons his reformist approach	Carcetti	Public reform efforts	65	25	Bandit	He secures his position and ambitions at the cost of broader reform outcomes.
Defeats the seemingly invincible two-term incumbent mayor in the election	Carcetti	Incumbent mayor	60	60	Intelligent	Winning office greatly advances his career while plausibly offering change to a system portrayed as corrupt.
Commits adultery with an unnamed woman he meets at a political event	Carcetti	His wife / family	30	10	Stupid	Brief gratification risks personal scandal and marital harm with no clear long‑term gain.
Turns down attempts to seduce him after becoming mayor, remaining faithful in office	Carcetti	His wife / family	70	60	Intelligent	He preserves personal stability and reputation while respecting his spouse.
Gets sucked into the dirty world of politics, allowing corruption to reshape his conduct	Carcetti	Civic ideals / citizens	55	20	Bandit	He gains viability within a corrupt system while undermining the ideals that would aid the public.
Tricks or cajoles multiple city departments into doing a full-scale city cleanup	Carcetti	City departments / residents	75	85	Intelligent	The cleanup boosts his image and significantly improves conditions for citizens.
Gives rousing, usually self-serving speeches to advance his position	Carcetti	Voters / political audience	70	35	Bandit	His grandstanding enhances his career while offering limited or dubious substantive benefit to others.
Becomes an obstructive bureaucrat who hinders processes as the story goes on	Carcetti	Other officials / policy efforts	60	25	Bandit	He maintains control and political leverage while slowing or blocking potentially useful initiatives.
Foils the mayoral ambitions of Tony Gray	Carcetti	Tony Gray	65	30	Bandit	He strengthens his own political prospects while denying Gray a potentially beneficial leadership role.
Foils the mayoral ambitions of Nerese Campbell	Carcetti	Nerese Campbell	65	55	Intelligent	Blocking a “considerably sleazier” politician protects his own position and plausibly spares the city worse governance.
Attempts to apologize to Colvin for how the Hamsterdam experiment fell apart	Carcetti	Colvin	55	60	Intelligent	His apology slightly restores his integrity and relationship while acknowledging harm to Colvin.
Possibly has Steintorf reintroduce the stats game so he can look good to Daniels	Carcetti	Police department / crime reporting integrity	70	20	Bandit	He benefits politically from improved numbers while undermining honest policing and public understanding.
Becomes more and more of a jerk as stress from campaigning and governing wears on him	Carcetti	Colleagues / subordinates	50	30	Stupid	His worsening behavior offers little gain and damages working relationships and effectiveness.
Increasingly focuses solely on his own political survival instead of broader governance	Carcetti	City governance / citizens	75	25	Bandit	He preserves his career at substantial cost to the quality and priorities of city leadership.
