Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Christopher Evan Welch dies before Season 1 shooting is complete	Christopher Evan Welch	Production (show creators, cast, crew)	0	20	Stupid	His death harms his own career/life and forces costly rewrites with no benefit to him or the production.
Showrunners rewrite last several Season 1 episodes to refer to his character without appearing	Showrunners / writers	Production (show, audience, other cast)	55	60	Intelligent	Rewriting mitigates disruption and keeps story coherent, modestly benefiting show and others despite constraints.
Writers incorporate his death into the show as a major Season 2 plot point	Writers / showrunners	Show (narrative, audience)	65	70	Intelligent	Using his death as a plot point adds narrative value and audience engagement with some creative gain, no evident harm.
Peter pursues extremely dubious business positions (e.g., $30M ostrich farm, invisibility companies, GM cranberry fungus)	Peter	Peter’s company / investors	20	25	Stupid	His unusual investments appear financially reckless, risking his own capital and stakeholders’ money without shown payoff.
Laurie reviews Peter’s files	Laurie	Laurie (herself)	55	55	Intelligent	By auditing his positions she gains understanding and oversight, with neutral-to-positive effects on others.
Laurie informs others about the dubious investments (ostrich farm, invisibility firms, fungus cotton)	Laurie	Company leadership / partners	60	65	Intelligent	Revealing these positions helps correct or manage them, protecting the firm and stakeholders.
Peter acts as an eccentric mentor to the Pied Piper team before his death	Peter	Pied Piper team	60	80	Intelligent	His mentorship aims to help the team succeed and presumably enhances his own reputation/position.
Peter, as a reasonable authority, tolerates the Pied Piper crew and wants them to do well	Peter	Pied Piper team	65	85	Intelligent	His supportive oversight benefits the team while maintaining his role and potential upside.
Pied Piper team comes to Peter begging for emergency funding	Pied Piper team	Peter	40	55	Helpless	They reveal vulnerability and dependence, slightly weakening their position while seeking help that could also allow Peter to profit.
Peter spends most of the meeting analyzing every item on the Burger King menu	Peter	Pied Piper team	60	30	Bandit	He uses their urgent meeting for his own analytical process, delaying their funding and causing them stress while gaining insight.
Peter reveals he has devised a brilliant sesame-seed futures plan to fund the start-up team	Peter	Pied Piper team	85	90	Intelligent	His plan yields large profit for himself and directly provides needed funding to the team.
Peter uses Gavin Belson’s past friendship (implied network) as part of his business life	Peter	Gavin Belson (and mutual network)	65	60	Intelligent	The prior friendship likely affords social and business advantages to both without shown harm.
