Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Ordering atrocities during the Sack of King’s Landing and War of the Five Kings	Tywin	Commoners of Westeros	60	5	Bandit	He cements Lannister power through terror but causes extreme suffering and long-term hatred among the populace.
Psychologically and emotionally abusing his children, especially Tyrion	Tywin	His children	20	10	Stupid	His cruelty damages his heirs, destroys family cohesion, and later helps cause his own death and the house’s collapse.
Choosing not to kill Tyrion at birth because he is a Lannister	Tywin	Tyrion	40	35	Helpless	He frames sparing Tyrion as a sacrifice; it preserves his lineage but burdens him with a hated heir he then mistreats.
Going out of his way to make Tyrion’s life a living hell	Tywin	Tyrion	15	5	Stupid	Sustained abuse brings Tywin no real benefit and directly motivates the son who eventually kills him.
Setting the ruthless standard that the rest of House Lannister tries to meet	Tywin	House Lannister	55	25	Bandit	His example raises their effectiveness in war and politics but warps them toward fear, cruelty, and instability.
Covertly violating guest right via the Red Wedding arrangement	Tywin	Starks and Northern allies	70	10	Bandit	He eliminates a major military threat and wins the war, but massively deepens enmity and damages his house’s legitimacy.
Commanding as a frontline general even in old age	Tywin	His own forces	75	60	Intelligent	His presence bolsters morale and contributes to victories while enhancing his personal prestige.
Showing intermittent kindness to Arya and Tommen, then withdrawing it	Tywin	Arya and Tommen	55	45	Bandit	The warmth serves his need for control and image more than theirs, and he later undercuts it when it conflicts with his goals.
Undoing almost everything he built by leaving an unprepared, broken family behind	Tywin	House Lannister	15	20	Stupid	His legacy collapses soon after his death, and his descendants either die or end up serving others rather than ruling.
Exploiting Tyrion’s framing for Joffrey’s murder to try to execute him	Tywin	Tyrion	10	5	Stupid	He attempts to remove a capable but hated son, which directly triggers his own assassination and the destruction of his power base.
Failing to intimidate or manipulate Tyrion during their final confrontation	Tywin	Tyrion	20	30	Helpless	His usual methods collapse, gaining him nothing and freeing Tyrion psychologically to kill him.
