Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Resists the temptations of the One Ring	Aragorn	Sauron/evil influence	90	95	Intelligent	Protects his soul and agency while greatly aiding others by not falling to corruption.
Uses Andúril, a powerful reforged heirloom, in battle	Aragorn	Enemies in battle	85	80	Intelligent	Gains combat advantage and helps allies by wielding a superior weapon against foes.
Uses a Palantír and wrenches it out of Sauron's control	Aragorn	Sauron	88	90	Intelligent	Risks himself but gains crucial informational and psychological advantage for his side.
Chooses not to use the One Ring despite understanding it	Aragorn	Sauron/evil influence	92	95	Intelligent	Maximizes his integrity and security while keeping others safer from misuse of the Ring.
Fights back-to-back with Gimli at Helm's Deep	Aragorn	Uruk-hai	80	85	Intelligent	Improves his survival odds and contributes heavily to the defense.
Engages multiple Nazgûl alone and drives them off	Aragorn	Nazgûl	70	88	Intelligent	Takes personal risk but successfully protects companions from deadly enemies.
Leads a Batman Gambit to attack the Black Gate as a distraction	Aragorn	Sauron	82	96	Intelligent	Risks his life but strategically distracts Sauron to aid Frodo and all free peoples.
Personally challenges and goads Sauron through the Palantír	Aragorn	Sauron	78	90	Intelligent	Draws Sauron’s attention onto himself, endangering himself but greatly helping the overall plan.
Shouts battle cries while charging into combat	Aragorn	Enemies/Allies’ morale	65	70	Intelligent	Boosts his own fighting spirit and allies’ morale with no real downside.
Helps the Hobbits with swordwork training	Aragorn	Hobbits	60	82	Intelligent	Invests time/effort with modest gain to himself while strongly improving their skills and survival chances.
Keeps the Hobbits safe during battles	Aragorn	Hobbits	72	90	Intelligent	Risks himself but significantly increases the Hobbits’ survival and mission success.
Takes on an entire army of Orcs so Frodo can escape	Aragorn	Orcs/Frodo	55	95	Intelligent	Great personal danger but directly preserves Frodo and the quest.
Runs away from responsibilities as rightful king	Aragorn	Gondor/people of Men	40	30	Helpless	Harms his own status and delays his destiny while also depriving others of needed leadership.
Avoids becoming king out of fear of becoming a tyrant	Aragorn	Himself/subjects	55	65	Intelligent	Short-term self-loss but reduces risk of future harm to many; net protective for others.
Uses both bow and sword depending on battle phase	Aragorn	Enemies	70	68	Intelligent	Improves his own combat effectiveness and helps his side’s chances in battle.
Assumes leadership of the Fellowship after Gandalf falls	Aragorn	Fellowship	80	90	Intelligent	Takes on burdens and risk of command while giving the group needed direction and cohesion.
Accepts symbolic tokens (Evenstar, knife, bracers, Andúril) that strengthen his resolve	Aragorn	His followers/allies	78	78	Intelligent	Gains confidence and power while honoring others’ faith in him, which in turn supports their cause.
Orders Boromir to get the Fellowship moving after Moria	Aragorn	Fellowship	75	88	Intelligent	Sacrifices short-term popularity/comfort to keep everyone alive by avoiding orcs at nightfall.
Tracks Uruk-hai relentlessly for days to find Merry and Pippin	Aragorn	Merry and Pippin	69	88	Intelligent	Exerts himself greatly but uses his skills to rescue captured allies.
