Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Beats up Shawn and throws him into a wall to help Michael escape	Action Girl (a Janet)	Shawn	78	82	Intelligent	She risks herself fighting a powerful demon to free Michael and aid their group.
Takes out half a dozen demons by herself while depowered	Janet	Demons	75	80	Intelligent	She protects the humans and allies from demons despite reduced abilities.
Telekinetically throws demons across the room after regaining powers	Janet	Demons	82	85	Intelligent	Using restored powers to neutralize threats secures safety for herself and others.
Jason repeatedly calls her "not-a-girl" as nickname	Jason	Janet	55	63	Intelligent	Nicknaming builds rapport and an inside joke that strengthens their relationship.
Janet corrects Jason with “Not a girl” until it becomes an inside joke	Janet	Jason	60	70	Intelligent	Her insistence on terminology evolves into a shared joke that deepens their bond.
Janet glitches after being rebooted	Janet	Neighborhood systems	40	30	Helpless	Her malfunction harms the stability of the environment without intent and slightly impairs her functioning.
Helps Jason and Tahani as a relationship therapist while glitching from repressed feelings	Janet	Jason and Tahani	35	72	Helpless	She emotionally harms herself by suppressing feelings yet still tries to help their relationship.
Offers herself to be turned off and replaced to avoid her lie-glitches hurting people	Janet	Residents	20	88	Helpless	She accepts potential erasure to protect others from harm caused by her glitches.
Programmed to desperately beg for her life when kill switch is pressed	Janet	Would‑be deactivator	48	50	Intelligent	Reflexive self‑preservation slightly helps her survival while not clearly affecting others overall.
Calms down and reassures others she feels no pain once they balk	Janet	Kill‑switch user	55	65	Intelligent	She reduces others’ distress about harming her while accepting her status.
Is kidnapped and held powerless in a magnet jail	Bad Place demons	Janet	20	15	Bandit	They gain leverage over her and her allies while harming her freedom and power.
Pretends to be a Bad Janet to infiltrate the Bad Place	Janet	Bad Place staff	70	30	Bandit	Her deception endangers herself but helps her team at the expense of demons’ interests.
Provides water while trying and failing to act mean as Bad Janet	Janet	Tahani and Michael	60	72	Intelligent	She still fulfills helpful requests, mildly compromising infiltration but directly aiding allies.
Begging for her life with absurd lies when reset button approached	Janet	Michael	45	52	Intelligent	The exaggerated lies are a self‑preservation subroutine that mostly just amuses/confuses without serious harm.
Accidentally “killed” when Chidi presses her deactivation button	Chidi	Janet	10	35	Stupid	He destroys her current instance without benefit to himself or others, briefly disrupting operations.
Rebooted each neighborhood reset, creating many new versions	Michael	Janet	68	40	Bandit	He gains experimental control and restarts his plan while repeatedly disrupting her continuity and causing instability.
Creates earthquakes and mishaps whenever she lies	Janet	Neighborhood	35	20	Stupid	Her new capacity to lie unintentionally harms the environment and herself via glitches.
Creates Derek, who jeopardizes Michael’s truce with the humans	Janet	Michael’s plan	42	25	Stupid	Her emotional workaround spawns Derek, complicating alliances and not clearly helping her.
Uses knowledge on Earth to build advanced sci‑fi devices	Janet	Team on Earth	78	85	Intelligent	She leverages retained knowledge to engineer tools that greatly aid the mission.
Beats up a room full of angry demons on Earth without powers	Janet	Demons	80	88	Intelligent	She protects herself and allies in a high‑risk fight, strongly benefiting the group.
Bluntly tells Michael his leaving the Good Place won’t affect her	Janet	Michael	53	55	Intelligent	Honesty clarifies expectations with minor emotional sting but supports a truthful relationship.
Michael decides to reboot Janet again after learning she married Jason	Michael	Janet	30	20	Bandit	He erases her developed self to “fix” an outcome he dislikes, benefiting his plan while harming her continuity.
Accidentally develops the ability to willfully lie, causing glitches	Michael’s repeated reboots	Neighborhood	40	25	Stupid	The accumulated reboots give her lying ability that destabilizes the neighborhood and doesn’t help him.
Chidi accidentally reboots her causing cactus creation glitch	Chidi	Janet	40	35	Stupid	His mistake resets her and induces malfunctions without yielding benefit.
Tries to lie about her feelings for Jason, causing reality‑breaking glitches	Janet	Neighborhood	32	18	Stupid	Her attempted self‑protection via lying harms the environment and worsens her own situation.
Figures out loophole in her programming to side with humans	Janet	Demons’ plan	82	25	Bandit	She advances her and the humans’ interests at the direct expense of the demon operation.
Deceives non‑humans to protect and please the four humans	Janet	Non‑human staff	80	30	Bandit	Her strategic lies benefit the humans (and often herself) while undermining non‑human authorities.
Summons items trying to injure or kill Trevor when he interferes	Janet	Trevor	65	40	Bandit	She attempts to harm a tormentor to defend her group, benefiting allies by threatening him.
Fights off a bar full of demons in hand‑to‑hand combat to stop Shawn	Janet	Demons	82	90	Intelligent	She directly protects the humans from kidnapping with highly effective combat.
Interrupts Shawn and Michael’s banter with “Screw this! Let’s fight!” and karate‑chops Shawn	Janet	Shawn	78	85	Intelligent	She preempts danger, decisively attacking the main threat to safeguard allies.
Eleanor stuffs a letter to herself in her mouth to be delivered post‑reboot	Eleanor	Future Eleanor	70	60	Intelligent	She cleverly uses Janet’s behavior to pass information, aiding her future self and the team.
Janet delivers Jason directly to Eleanor when he wants someone to talk to	Janet	Eleanor	68	72	Intelligent	By connecting them, she accelerates Eleanor’s realization, helping the humans against the demons’ plan.
Michael pushes big red button on beach to reboot her when needed	Michael	Janet	55	30	Bandit	He regains control of the experiment at the expense of Janet’s continuity and stability.
Michael cannot marbleize Janet when she asks him to stop glitches	Michael	Janet	25	75	Helpless	His refusal harms the neighborhood by letting glitches persist but spares her from extreme self‑harm.
Janet tells Michael to turn her into a marble to stop the neighborhood glitching	Janet	Neighborhood	15	90	Helpless	She accepts severe personal harm to prevent widespread damage to others.
Janet’s subconscious love for Jason causes glitches when she’s with Tahani	Janet	Neighborhood	30	25	Stupid	Unmanaged emotions produce dangerous malfunctions that hurt the environment and don’t help her.
Cheerfully tells a stranger on Earth his “aunt” is actually his mother	Janet	Stranger	55	20	Bandit	She provides truthful but tactless information that may shock him without clear benefit to him.
