Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Mother blaming Rebecca for father leaving	Rebecca's mother	Rebecca	10	5	Stupid	Emotionally abusing and blaming her child harms Rebecca and offers no meaningful benefit to the mother beyond venting.
Rebecca realizes she's been foolish about Josh	Rebecca	Rebecca	70	55	Intelligent	Moments of clarity help her self-awareness and marginally improve how she treats others, even if temporary.
Rebecca repeatedly reverts to old obsessive behavior	Rebecca	Rebecca	20	25	Stupid	Backsliding into harmful patterns damages her well-being and relationships without real gain.
Rebecca opts out of high-powered job to move to West Covina	Rebecca	Rebecca's career firm	35	40	Helpless	She sacrifices an exceptional career track for a romantic fantasy, mildly benefiting Audra and others by freeing the position.
Rebecca kisses Valencia on the lips	Rebecca	Valencia	40	30	Bandit	She acts on confused desire/jealousy, briefly gratifying herself while destabilizing Valencia/Josh’s relationship.
Rebecca metabolizes her twin in the womb	Fetal Rebecca	Fetal twin	80	0	Bandit	Biologically absorbing the twin maximally benefits her existence while totally “harming” the twin.
Rebecca spends massive sums and ends up broke	Rebecca	Rebecca's finances	15	45	Helpless	Impulsive overspending severely harms her financial security while slightly benefiting businesses and recipients.
Rebecca accepts going to prison for her crimes	Rebecca	Society/people she harmed	45	70	Helpless	Initially self-punitive and limiting, it offers accountability and safety for others.
Rebecca later works genuinely on herself and makes amends	Rebecca	People she hurt	80	85	Intelligent	Therapy and restitution significantly improve her life and meaningfully repair others’ harm.
Rebecca excels to near-partner status at NYC firm	Rebecca	Law firm	90	85	Intelligent	Her hard work advances her career and generates high value for her prestigious firm.
Rebecca moves to West Covina to follow crush	Rebecca	Rebecca's former firm	30	40	Helpless	She walks away from a stellar path to chase Josh, slightly benefiting those filling her spot.
Rebecca still tries to have a relationship with deadbeat dad	Rebecca	Rebecca's dad	25	40	Helpless	She invests emotional effort into someone who doesn’t care, while he gains access and ego strokes.
Rebecca finally tells her father to fuck off	Rebecca	Rebecca's dad	75	30	Intelligent	Setting a boundary protects her mental health though it moderately harms his access and comfort.
Rebecca runs to a cliff intending suicide	Rebecca	Rebecca	5	10	Stupid	Suicidal intent gravely endangers her with no benefit and only trauma to others if completed.
Paula talks Rebecca down from cliff suicide attempt	Paula	Rebecca	80	90	Intelligent	Paula protects Rebecca’s life and preserves her own from grief and guilt.
Rebecca eats a whole bottle of anti-anxiety meds to die	Rebecca	Rebecca	0	5	Stupid	Deliberate overdose maximally harms herself with no real upside.
Rebecca asks flight attendant for help after overdose	Rebecca	Rebecca	85	75	Intelligent	Seeking rescue saves her life and reduces trauma to bystanders.
Flight attendant helps get Rebecca to hospital	Flight attendant	Rebecca	70	90	Intelligent	Assisting her is effortful and risky but saves her life.
Rebecca throws away her high-paying job to follow Josh	Rebecca	Rebecca's career trajectory	25	30	Helpless	She trades major professional upside for an unrealistic romantic goal, only slightly benefiting others who replace her.
Rebecca changes to natural curls after moving	Rebecca	Rebecca	65	55	Intelligent	Allowing her natural look reflects greater comfort and marginally improves her happiness and authenticity to others.
Rebecca dyes hair darker after being left at altar	Rebecca	Rebecca	45	40	Helpless	This symbolic act expresses pain more than it helps, offering brief catharsis but little real benefit.
Rebecca deconstructs sexualized bust image in “Heavy Boobs”	Rebecca	Audience/society	70	75	Intelligent	Using humor and critique empowers herself and challenges objectification norms for viewers.
Rebecca sings “You Stupid Bitch” to herself	Rebecca	Rebecca	20	35	Helpless	Extreme self-berating worsens her self-hate, with only small insight gained.
Rebecca tries to leverage sexuality to get things done	Rebecca	Her targets	60	30	Bandit	She often secures advantages through sex, while subtly exploiting or pressuring others.
Rebecca frequently clings to anyone who shows affection	Rebecca	Those she clings to	30	35	Helpless	Her neediness undermines her own stability and strains others despite providing them some attention.
Rebecca masturbates to gay porn as a distraction	Rebecca	Rebecca	55	50	Intelligent	Private sexual behavior provides stress relief and harms no one.
Rebecca becomes Valencia's friend to get closer to Josh	Rebecca	Valencia	40	20	Bandit	She gains proximity to Josh while betraying Valencia's trust, ultimately wrecking that relationship.
Rebecca acknowledges she used Valencia	Rebecca	Valencia	45	35	Helpless	Confession harms her own position and the friendship, but offers Valencia honesty and closure.
Rebecca realizes her fatal flaw about true love solving everything	Rebecca	Rebecca	70	55	Intelligent	Recognizing her destructive core belief improves self-understanding and may curb future harm.
Rebecca uses childhood trauma as an excuse for actions	Rebecca	People she hurts	35	30	Helpless	Blaming her past slightly eases her guilt but delays accountability and harms others through repeated bad behavior.
Rebecca rejects “Freudian excuse” and takes responsibility	Rebecca	People she’s harmed	80	80	Intelligent	Accepting responsibility promotes her growth and leads to more considerate behavior toward others.
Rebecca knows where Josh is at all times and follows him	Rebecca	Josh	40	20	Bandit	Her stalking feeds her obsession and proximity while deeply invading his privacy and autonomy.
Rebecca selectively denies wanting to date Josh while chasing him	Rebecca	Rebecca	25	30	Helpless	Self-deception blocks real healing and leads to more harmful schemes.
