Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Skinner makes serious egregious innuendos to students	Skinner	Students	40	20	Stupid	No benefit to him and it embarrasses/unnerves kids, risking his professional standing.
Skinner brings all kids on repeated tours of a box factory	Skinner	Students	55	20	Bandit	He satisfies his own boring preferences while wasting students’ time and joy.
Skinner bores police while recalling where he was when Burns was shot	Skinner	Springfield Police	45	40	Stupid	He provides little useful info, wastes their time, and gains nothing but awkwardness.
Skinner refuses to close school during heavy snow day	Skinner	Students on bus	30	5	Stupid	Risks students’ lives and gains only an attendance statistic.
Skinner shows an awful Christmas film only he enjoys	Skinner	Students	60	15	Bandit	He entertains himself while subjecting students to a miserable experience.
Skinner organizes drill-sergeant-style survival in snowed-in school and blocks escape attempts	Skinner	Students	35	10	Stupid	Harms students’ well-being and chances to escape with no real gain to himself.
Skinner regularly has silhouette portraits drawn with his mother	Skinner	Skinner & Agnes	70	70	Intelligent	Strengthens family bond and gives mutual sentimental satisfaction.
Skinner enjoys subjecting children to school hearing tests	Skinner	Students	60	40	Bandit	He gains pleasure from a process that is at best neutral and often annoying for students.
Skinner lets his mother control his life and wins a biggest-doormat award	Skinner	Agnes	25	60	Helpless	He sacrifices his autonomy and happiness to please her and amuse others.
Skinner schemes to eliminate music program	Skinner	Students & staff	50	15	Stupid	Possible minor budget relief but mainly destroys student enrichment and joy.
Skinner razes the school’s pool and gym	Skinner	Students	45	10	Stupid	Reduces facilities and student opportunities with very little clear upside for him.
Skinner enforces student uniforms to cut corners/discipline or from trauma	Skinner	Students	55	35	Bandit	He pursues order and savings at cost of student expression and comfort.
Skinner takes out Disney’s lawyers and goons threatening to sue the school	Skinner	School	80	80	Intelligent	Protects the school from legal/financial harm using his skills.
Skinner tolerates awful conditions for students due to rules, PTA, or budget	Skinner	Students	50	20	Stupid	He preserves his job and avoids conflict but allows ongoing harm to students.
Skinner fails to intervene while Jimbo bullies Bart in the bathroom	Skinner	Bart	50	20	Stupid	He avoids effort and conflict while Bart is harmed and gains nothing substantial.
Skinner gives Bart months/years of detention for minor infractions	Skinner	Bart	55	15	Bandit	He indulges punitive control that harms Bart more than it meaningfully benefits discipline.
Skinner teams up with Bart to pull off a zany scheme	Skinner	Bart	70	70	Intelligent	They cooperate for mutual success and shared fun.
Skinner displays a spine toward Agnes after learning she blocked his school choice	Skinner	Agnes	60	55	Intelligent	He asserts himself, slightly improving his autonomy without seriously harming her.
Skinner blackmails Bart into pretending to be illiterate at the award ceremony	Skinner	Bart & Edna	40	10	Stupid	He briefly protects his relationship but ruins Edna’s chance and gets exposed anyway.
Skinner confesses that Bart’s act was his idea	Skinner	Edna & audience	55	70	Intelligent	Honesty restores Bart’s reputation and allows emotional resolution, ultimately leading to Edna’s acceptance.
Skinner later gets cold feet and bolts from his wedding	Skinner	Edna	20	10	Stupid	He humiliates himself and Edna, losing the relationship and hurting her for no gain.
Skinner reprimands Jack’s bold mural as kid-unfriendly and forces a bland design	Skinner	Jack Crowley	45	25	Stupid	He asserts control, stifles creativity, and sets up later blowback with little real benefit.
Skinner blames Jack for the failed mural and disowns his own instructions	Skinner	Jack Crowley	35	15	Stupid	He tries to dodge blame, enrages Jack, and ruins Jack’s redemption with negligible gain.
Skinner screws Bart over when Bart genuinely tries to reform	Skinner	Bart	45	15	Stupid	He gains momentary spiteful satisfaction while undermining Bart’s improvement and his own future discipline.
Skinner relentlessly tracks truant Bart across Springfield to bring him back	Skinner	Bart	70	65	Intelligent	He fulfills his duty and reinforces school norms, and Bart ultimately respects his persistence.
Skinner gets back at Principal Kohoutek and “that little boy of his” after losing credit for a discovery	Skinner	Kohoutek & son	60	20	Bandit	He gains petty revenge while harming them over a naming slight.
Skinner keeps school open during waist-high snow to preserve attendance record	Skinner	Students	35	5	Stupid	He risks students’ safety for a personal attendance streak.
Skinner chooses Vietnam service over jail time when offered apology as third option	Skinner	Himself	10	50	Helpless	He needlessly chooses extreme self-harm over an easy non-punitive solution.
Skinner crushes students’ spirits, telling them they have no future	Skinner	Students	55	10	Bandit	He secures easier control and conformity by damaging their hope and aspirations.
Skinner gives Bart detention for trying to bribe him	Skinner	Bart	75	70	Intelligent	He upholds integrity and discourages corruption, which benefits school norms and himself.
Skinner toadies to Chalmers despite it making Chalmers hate him more	Skinner	Chalmers	30	40	Stupid	His obsequiousness backfires, worsening his own standing without helping Chalmers.
Skinner’s skulking behavior leads Chalmers to finally fire him	Skinner	Himself	10	40	Helpless	His own ingratiating tactics cost him his job while barely affecting others.
Skinner risks students’ lives rather than allow any slacking off	Skinner	Students	25	10	Stupid	He endangers them for rigid principle, harming them and ultimately his own position.
Skinner spends years obsessively seeking the Vietnamese stew in US restaurants	Skinner	Himself	35	55	Helpless	His fixation frustrates and nearly maddens him while only mildly harming restaurant staff’s patience.
Skinner leaves school art, PE, and music unfunded while framing Lisa to cut expenses	Skinner	Lisa & students	40	15	Stupid	He gains dubious budget relief at the cost of student welfare and his legitimacy, and the scheme collapses.
