Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Tom blows millions of dollars on flashy, pointless expenses for Entertainment 720 without defining the business purpose	Tom	Business partners/investors/associates	10	10	Stupid	Squanders large resources on nonfunctional showiness, leading to bankruptcy and no lasting benefit.
Tom neglects essential work and takes shortcuts in his early business ventures	Tom	Business partners/customers	15	20	Stupid	His laziness causes his ventures to fail, hurting his own prospects and wasting others’ time and money.
Tom slowly works to outgrow his laziness and become a successful businessman	Tom	His later employees/partners/customers	80	80	Intelligent	He deliberately self-improves and eventually achieves more stable success that benefits collaborators.
Tom invests in a gay bar	Tom	Bar patrons/community	70	70	Intelligent	He likely gains profit and experience while providing a social venue and service.
Tom drinks alcohol despite being a lightweight and gets drunk	Tom	People around him	30	45	Helpless	He harms his own functioning with little benefit; impact on others is minor but not clearly positive.
Tom tells Ben they should get Joan Callamezzo safely home when she’s drunk	Tom	Joan Callamezzo	60	80	Intelligent	He gains minor moral credit but primarily protects Joan from harm.
Tom marries Wendy so she can obtain citizenship	Tom	Wendy	65	75	Intelligent	He gains companionship/status and she gains a green card; no harm is indicated.
Tom wears pink and “peacocks” with fashion to stand out	Tom	People he wants to impress	60	55	Intelligent	He boosts his own image and networking with only negligible effects on others.
Tom reveals in “Jerry’s Retirement” that he was the “Jerry” of his previous office and reinvented himself	Tom	Pawnee coworkers	55	55	Intelligent	His reinvention helps his self-esteem and gives others context for his behavior without clear harm.
Tom picks on and bullies Garry to keep him at the bottom of the office hierarchy	Tom	Garry	55	10	Bandit	He gains status and deflects ridicule at significant emotional cost to Garry.
Tom carefully tries to avoid becoming the “new Jerry” after Garry retires	Tom	Office coworkers	30	40	Helpless	His anxious maneuvering backfires, lowering his status while not helping anyone else.
Tom goes to great lengths to find someone else (Andy, then an intern) to be the new “Jerry”	Tom	Andy/intern	20	15	Stupid	Attempts to offload humiliation just make him look more pathetic without securing an actual benefit.
Tom accidentally shoots Ron in the back of the head on a hunting trip because he doesn’t check his field of fire	Tom	Ron	25	5	Stupid	Reckless carelessness nearly causes severe injury and exposes him to consequences with no gain.
Tom, trying to distract from who shot Ron, opens fire on someone else and almost kills them	Tom	Another hunter/person	5	0	Stupid	He compounds the danger, risking more serious harm and legal trouble without solving his problem.
Tom lets Leslie take the fall for shooting Ron	Tom	Leslie	40	10	Bandit	He shields himself from punishment by shifting blame and risk onto Leslie.
Tom obnoxiously broadcasts that Ann is out of his league to everyone during their relationship	Tom	Ann	30	20	Stupid	His insecurity display undermines his own relationship and annoys Ann until she leaves.
Tom turns Leslie’s “Meet ’N’ Greet” into a pitch for Entertainment 720	Tom	Leslie	35	20	Bandit	He hijacks her event to chase funding for himself at the expense of her political goal.
Tom carelessly spends Entertainment 720’s money on excessive props and surplus attractive employees without doing real work	Tom	Investors/employees	15	15	Stupid	He burns capital and endangers jobs while failing to build a sustainable business.
Tom changes his birth name Darwish Sabir Ismael Gani to “Tom Haverford” for political viability	Tom	Prospective voters/employers	70	60	Intelligent	The rebranding gives him better career prospects and makes it easier for others to accept him in politics.
Tom frequently assigns nicknames to Ron	Tom	Ron	55	50	Intelligent	Light teasing and branding reinforce rapport and humor with no serious downside.
Tom secretly donates all the tips he earned from the Venezuelans to the park fund	Tom	Park project/community	70	85	Intelligent	He sacrifices immediate cash for reputation and the park’s benefit.
Tom rents his stylish clothes to middle school students through Rent-a-Swag	Tom	Middle school students	75	75	Intelligent	He finds a niche market, earning income and giving kids affordable fashion access.
Tom continues trying new ventures after failures, showing persistence	Tom	Future customers/partners	80	70	Intelligent	His resilience improves his eventual success and creates future services for others.
Tom plays music at “Prom” that is out of touch with high school students’ tastes	Tom	Prom attendees	40	40	Helpless	His misjudgment lowers his own social standing and reduces others’ enjoyment.
Tom cultivates a Jay-Z / T-Pain-inspired swagger and slang to seem cool	Tom	Peers	50	45	Helpless	His image work gives him limited benefit yet often comes off awkwardly to others.
Tom repeatedly schemes to get rich through new plans and inventions that usually fail	Tom	Various associates/investors	35	40	Helpless	His repeated failed schemes waste his own effort and some others’ time, with few clear gains.
Tom writes a massively successful self-help book based on his failures	Tom	Book readers	90	85	Intelligent	He transforms past losses into major personal success while providing useful guidance.
Tom boasts that he rides others’ coattails and takes partial credit	Tom	Colleagues	45	40	Helpless	His self-admission undermines his own image and slightly sours relationships without real upside.
Tom refuses to give up his “thinking PJs” and “YouTube blazer,” treating them as serious tools	Tom	People he works with	55	50	Intelligent	His personal rituals aid his confidence and focus with no meaningful effect on others.
Tom creates and runs Rent-a-Swag successfully before being bought out	Tom	Customers/competitor	80	75	Intelligent	He profits and fills a market gap, and the buyout suggests mutual economic benefit.
Tom returns to city government and creates the Business Liaison position to bring outside businesses to Pawnee	Tom	Pawnee businesses/community	85	90	Intelligent	He advances his career while facilitating economic growth for the town.
Tom uses his marketing talent in “Fluoride” to beat Councilman Jamm at his own game	Tom	Pawnee citizens	80	85	Intelligent	He gains political capital and helps pass a beneficial policy for the public.
Tom gradually becomes kinder over time	Tom	Friends/coworkers	80	85	Intelligent	His emotional growth improves his relationships and the well-being of those around him.
