Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Becomes defensive when doctor notes her anger toward her mother	Betty	Doctor	20	40	Helpless	Her defensiveness blocks therapeutic insight, mildly straining the doctor relationship without helping her.
Rides horses frequently to stave off depression	Betty	Betty	70	55	Intelligent	Non-destructive coping mechanism that improves her mental health with no evident harm to others.
Makes great strides toward an amicable relationship with Don as exes	Betty	Don	75	70	Intelligent	Reducing hostility with her ex benefits her stability and Don’s, as well as their co‑parenting.
Makes great strides toward an amicable relationship with Betty as exes	Don	Betty	70	70	Intelligent	Participating in an amicable post‑divorce relationship helps him and Betty, easing family tensions.
Has a one-night stand with Don that neither regrets	Betty	Don	60	35	Bandit	Provides short‑term emotional/physical gratification for both but risks boundary confusion and family complications.
Has a one-night stand with Betty that neither regrets	Don	Betty	60	35	Bandit	Similarly benefits him in the moment while risking long‑term relational confusion and instability.
Refuses lung cancer treatment partly out of vanity	Betty	Her children	5	5	Stupid	Hastening her death sacrifices her own life and deprives her children of time with her without compensating benefit.
Snaps at Henry that he doesn’t care about her weight because his mother is obese	Betty	Henry	25	20	Stupid	Hurts her relationship and insults Henry’s mother without helping her health or self‑esteem.
Lets go of bitterness toward Don by Season 6	Betty	Don	80	75	Intelligent	Releasing resentment improves her own well‑being and eases Don’s emotional burden and co‑parenting climate.
Calmly shoots birds in her garden with a gun	Betty	Birds	40	10	Bandit	She gets cathartic release from killing the birds while destroying harmless animals and modeling violence.
Slut-shames other women despite similar behavior herself	Betty	Other women	30	15	Bandit	Momentarily boosts her fragile self‑image while demeaning others and worsening her social environment.
Sleeps with Megan’s husband Don (her ex-husband)	Betty	Megan	45	15	Bandit	She gains ego and sexual gratification at the expense of Megan’s trust and marital stability.
Dates/sees at least a couple of men toward the end of her marriage to Don	Betty	Don	55	25	Bandit	She gains attention and affirmation but increases betrayal and harm to her already‑failing marriage.
Dresses seductively and enjoys attention from other men	Betty	Other men’s partners	60	30	Bandit	Ego and pleasure for her come with increased temptation and potential harm to others’ relationships.
