Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Fails to make connections with Mafiya wives	Rosa "Red" Reznikov	Mafiya wives	40	40	Helpless	Failure to network weakens her own position and offers no benefit to others.
Impresses Mafiya men with her cunning	Red	Mafiya men	80	60	Intelligent	Her criminal savvy improves her status while providing value to the organization.
Takes a bunch of unprescribed behavioral meds	Red	Red	15	45	Helpless	Unauthorized meds destabilize her mentally, with no shown benefit to her or others.
Develops theory that Piscatella kidnapped her friends	Red	Imprisoned friends	55	70	Intelligent	Accurate suspicion helps identify a real threat, aiding others with little downside to her.
Gets involved with Russian Mafia to keep supermarket afloat	Red and husband	Their family and store	35	30	Helpless	Short‑term survival choice entangles them with organized crime, ultimately harming them and not benefiting others.
Red loses temper and punches mobster's wife, rupturing implant	Red	Mobster's wife	20	10	Bandit	Impulsive assault worsens her Mafiya debt and harms the victim with no real gain.
Carries out errands for the mob to repay debt	Red and husband	Russian Mafia	55	25	Bandit	They reduce their own liability while enabling criminal operations that harm others.
Proves herself as shrewd criminal and becomes respected Mafiya member	Red	Russian Mafia	70	20	Bandit	Her rising criminal competence benefits her while strengthening a harmful organization.
Runs prison kitchen as “sexless powerhouse”	Red	Inmates	70	65	Intelligent	Her strong control of the kitchen benefits her status and feeds others effectively.
Brushes off abused son, implying he deserved assault	Red	Her son	45	15	Stupid	She emotionally harms her son and undermines his safety without gaining anything.
Frequently sides with sons’ wives against her sons	Red	Her sons	40	25	Stupid	Chronic unfairness damages her relationship with her sons and does not clearly help anyone.
Runs smuggling operation through kitchen	Red	Other inmates	60	20	Bandit	Contraband benefits her power and some inmates but contributes to a dangerous, corrupt system.
Pornstache leaks her smuggling to administrators	Pornstache	Red	70	25	Bandit	He enhances his standing with authorities at the cost of Red’s power and operation.
Revocation of her head-of-kitchen status	Administration	Red	20	40	Helpless	Loss of her role harms her while other inmates only marginally benefit via later better food.
Red attempts to sabotage Gloria’s kitchen	Red	Gloria’s kitchen staff	15	10	Stupid	Sabotage backfires, harming her and others with no real benefit.
Accidentally burns Gina during sabotage	Red	Gina	10	5	Stupid	She seriously harms a friend through a failed revenge scheme with no gain.
Loses Norma’s trust after sabotage	Red	Norma	20	20	Helpless	Destroying a key relationship hurts her; no one clearly benefits.
Loses food privileges like she did to Chapman	Prison administration	Red	15	55	Helpless	She suffers punitive loss while others are only neutrally or slightly positively affected.
Tells Piper not to be racist then stereotypes black inmates	Red	Black inmates	45	10	Stupid	Hypocritical racism undermines her credibility and demeans others without advantage.
Stereotypes Spanish inmates as crazy and superstitious	Red	Latina inmates	45	10	Stupid	Derogatory generalization harms group relations and her image without helping her.
States desire to eat smartest chicken to absorb its power	Red	Herself / listeners	55	45	Stupid	Revealing a bizarre belief makes her seem irrational, offering no benefit.
Manipulates Healy by pretending to be into him	Red	Healy	70	25	Bandit	She gains favors in a coercive structure by emotionally exploiting him.
Healy gets mad at her for using him	Healy	Red	35	50	Helpless	His anger risks their dynamic and offers no real benefit beyond brief moral satisfaction.
Explains she must use any means to stay afloat in prison	Red	Herself	55	55	Intelligent	Recognizing and articulating power imbalance helps justify survival strategies without extra harm.
Cuts off old prison family after they throw her under the bus	Red	Former prison “family”	40	35	Helpless	She protects herself emotionally but loses a critical support network, hurting everyone’s cohesion.
Specifically cuts off Frieda to get into Florida unit	Red	Frieda	60	30	Bandit	Securing transfer to Florida benefits her while betraying Frieda.
Lures Piscatella into the prison	Red	Her group / entire prison	10	5	Stupid	Revenge plan introduces a dangerous sadist into the facility, endangering many with no payoff.
Piscatella kidnaps and tortures Red’s “family”	Piscatella	Red and her family	5	0	Stupid	Extreme cruelty harms others massively without real benefit to him.
Frieda having and using secret bunker to save them	Frieda	Red and group	65	90	Intelligent	Her foresight and hidden bunker rescue many people with modest risk to herself.
Turns back on Tricia after SHU “to teach her a lesson”	Red	Tricia	20	10	Stupid	Withholding support from a vulnerable addict harms Tricia and damages Red’s future position.
Does not explain her plan to Nicky or Tricia	Red	Nicky and Tricia	20	10	Stupid	Poor communication causes resentment and miscalculation that later harms everyone.
Nicky tells Mendez about Red’s smuggling out of spite	Nicky	Red	25	15	Stupid	Spiteful betrayal invites harsher conditions and escalates drug trade, hurting all sides.
Mendez strong-arms Red into adding drugs to contraband	Mendez	Inmates via Red	40	10	Bandit	He expands his control and profit while pushing dangerous drugs on prisoners.
Mendez coerces Tricia into taking drugs	Mendez	Tricia	20	0	Bandit	He gains power/leverage by endangering her life.
Red’s earlier choices contribute to Tricia overdosing and dying	Red	Tricia	5	0	Stupid	Her misjudged “lesson” and secrecy chain-react into a fatal overdose.
Sends vague message about “the tall one” being killed	Red	Piper	40	20	Stupid	Ambiguity causes Piper to misinterpret events and damage their bond.
Piper assumes Alex is dead and abandons Red	Piper	Red	30	15	Helpless	Mistaken inference harms her relationship with Red and offers little benefit.
Lures Piscatella (Too Dumb to Live decision)	Red	Herself and inmates	10	5	Stupid	Reckless revenge plan risks many lives with no clear upside.
Hoist-by-own-petard scheme to get kitchen back that burns her friend	Red	Gina (best friend)	5	5	Stupid	Attempt to reclaim power results in her friend being set on fire and no gain to her.
Becomes commander of prison kitchen	Red	Inmates	75	70	Intelligent	Leadership role gives her influence and allows her to feed and organize others.
Acts as Team Mom and regulates several girls	Red	Younger inmates	70	85	Intelligent	Maternal guidance strengthens her position and significantly helps others’ behavior.
Helps junkies beat their addiction	Red	Junkie inmates	65	90	Intelligent	She invests effort to improve others’ health while earning loyalty and meaning.
Is distraught over Tricia’s death and feels responsible	Red	Herself	20	40	Helpless	Overwhelming guilt harms her mental state and helps no one beyond acknowledging her role.
Mentors Piper after becoming her bunk-mate	Red	Piper	65	80	Intelligent	Providing guidance benefits Piper while enhancing Red’s influence and sense of purpose.
Bonds with Flores while seeking dirt on Piscatella	Red	Flores	60	55	Intelligent	Forming an alliance strengthens both while targeting a dangerous guard.
