Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Leaving without warning	Donna's mother (Midge)	Donna and family	40	10	Bandit	She leaves abruptly to escape her unhappiness, relieving herself somewhat while severely distressing Donna and the family.
Stealing Bob's car	Midge	Bob	20	10	Bandit	She gains short‑term use/freedom from the car while materially and emotionally harming Bob.
Doing sexual acts with Bob around Donna	Midge	Donna	55	5	Bandit	She presumably enjoys intimacy but needlessly disgusts and upsets Donna.
Belittling Donna's feminist beliefs	Midge	Donna	45	15	Bandit	She protects her own comfort/justifies neglect by undermining Donna’s beliefs, hurting Donna’s confidence and values.
Giving cynical, pragmatic advice about high-school romance	Midge	Donna	60	75	Intelligent	She shares her realistic, pessimistic view, helping Donna appreciate her time with Eric despite emotional discomfort.
Arranging birth control for Donna	Midge	Donna	80	95	Intelligent	She proactively secures Donna’s reproductive safety and shows support, benefiting Donna a lot and affirming herself as a caring parent.
Praising Donna’s handling of the pregnancy scare	Midge	Donna (via Bob conversation)	70	80	Intelligent	Expressing pride reinforces Donna’s confidence while validating Midge’s role as a supportive mother.
Leaving Bob and moving to California (Season 4)	Midge	Bob	55	20	Bandit	She improves her own happiness/freedom while causing Bob emotional harm and destabilizing the family.
Returning to Bob in Season 6	Midge	Bob	55	40	Intelligent	She regains some family connection/relationship benefits and provides Bob and Donna some emotional support despite past turmoil.
Leaving again in Season 7	Midge	Bob and Donna	45	20	Bandit	She likely pursues her own perceived happiness again at the cost of renewed emotional disruption for Bob and Donna.
Telling Donna that Eric might miss the wedding but she must choose to forgive or move on	Midge	Donna	65	85	Intelligent	Her blunt framing forces Donna to make a clear, self-focused decision that ultimately benefits Donna’s long-term wellbeing.
Adopting a shallow “fad” feminism without understanding it	Midge	Donna	55	40	Helpless	Her ignorance comforts her and excuses her behavior but weakens the quality of guidance she gives Donna and the example she sets.
Abrupt departure causing Donna’s emotional turmoil leading to Casey relationship	Midge	Donna	35	10	Bandit	Her sudden exit frees her from the family but triggers a cascade of emotional harm and poor choices for Donna.
Telling Donna that her and Eric would likely break up after high school	Midge	Donna and Eric’s relationship	60	25	Bandit	The advice clarifies Midge’s worldview and somewhat helps Donna accept impermanence, but it leads Donna to undervalue the relationship, harming Eric and the bond.
