Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Lets out a big "NO!" when Will announces tough rival	Will	New Directions	50	40	Stupid	Announcement gives useful info but mainly demoralizes the club without clear benefit shown.
Tina sheds shyness and gains confidence over time	Tina	Tina	82	70	Intelligent	Her gradual growth benefits herself and helps the group by making her more capable.
Tina becomes a very good dancer	Tina	Glee Club	80	75	Intelligent	Improved skill helps her and strengthens performances for the team.
Writers progressively lose interest in Tina	Writers/TPTB	Tina	60	20	Bandit	They reallocate focus to more popular characters (benefit to them) while sidelining her.
Sue summarizes Tina’s history and lampshades her stutter	Sue	Tina/audience	55	60	Intelligent	Meta-commentary acknowledges her development and gives her arc visibility with no shown harm.
Tina initially takes interest in Mike because of his abs	Tina	Mike	65	55	Intelligent	Mutual attraction leads to a later stable relationship; benefits both with no shown harm.
Tina intensely stares at Blaine’s ass while he bends	Tina	Blaine	55	40	Bandit	She indulges her crush while objectifying him slightly; mild gain for her, some discomfort implied.
Series gives Tina an episode with an actual plot	Producers/Show	Tina	78	72	Intelligent	Giving her a limelight episode benefits her character and enriches the show.
Tina develops into a deadpan snarker	Tina	Others	60	55	Intelligent	Sharper wit gives her voice and is mostly enjoyed by others, with only mild snarky edge.
Blaine falls asleep with a cold while studying	Blaine	Blaine	20	55	Helpless	His illness and falling asleep harms him short-term while giving Tina proximity and concern opportunities.
Tina unbuttons Blaine’s shirt and applies vapor rub while he’s asleep	Tina	Blaine	40	15	Bandit	She gratifies her crush and maybe helps his cold but violates boundaries and appears creepy.
Tina’s relationship with Mike begins as her eating the eye candy	Tina	Mike	70	65	Intelligent	Physical attraction initiates a mutually beneficial romantic relationship.
Tina adopts an Elegant Gothic Lolita aesthetic initially	Tina	Tina/Peers	60	55	Intelligent	Her style expresses identity and makes her visually distinctive with no shown harm.
Tina drops the Elegant Gothic Lolita look in season 3	Tina	Tina	65	55	Intelligent	Updating her look reflects growth and likely improves her social fit without hurting others.
Tina is established as “The Heart” of the group	Others (Glee Club/Sue)	Tina/Group	75	80	Intelligent	Recognizing and embracing this role boosts her importance and supports group cohesion.
Tina initially rejects being “The Heart”	Tina	Tina/Group	45	55	Helpless	Her reluctance undermines her own potential role slightly while the group still benefits from her nature.
Tina later accepts being “The Heart”	Tina	Glee Club	82	85	Intelligent	Accepting the role strengthens her self-worth and positively influences team morale.
Tina tells Marley “It’s all your fault!” after Sectionals loss	Tina	Marley	35	10	Bandit	She vents her frustration but deeply hurts a vulnerable teammate already blaming herself.
Tina fakes a stutter to avoid oral presentations	Tina	School/Teachers	35	20	Bandit	She dodges stressful tasks but undermines trust and burdens others with her avoidance.
Tina reveals to Artie she’s been faking her stutter and wants to stop	Tina	Artie	70	65	Intelligent	Honesty and change improve her integrity and relationships despite short-term conflict.
Artie takes Tina’s fake-stutter revelation badly	Artie	Tina	40	25	Bandit	He protects his feelings by reacting harshly, hurting her and their relationship without real gain.
Tina and Mike become a “Token Minority Couple” that blossoms at Asian camp	Tina and Mike	Glee Club/Audience	75	70	Intelligent	Their relationship enriches both of them and broadens representation, with no harm shown.
Mike suggests Asian couples therapy as a joke about their token status	Mike	Tina/Audience	60	55	Intelligent	Lampshading their tokenization keeps things light and self-aware without real damage.
Tina takes a level in Jerkass between junior and senior year	Tina	School community	40	25	Bandit	She becomes shallower and meaner, gaining social edge at the expense of others’ feelings.
Artie tells Tina that everyone thinks an alien made her shallow and desperate	Artie	Tina	45	30	Bandit	He confronts her behavior with a harsh metaphor that may help awareness but clearly hurts her.
Tina drops Artie for Mike at the start of season 2	Tina	Artie	60	30	Bandit	She improves her own romantic satisfaction while emotionally hurting Artie.
Bree dumps red goo on Tina at prom	Bree	Tina	20	5	Bandit	Bree asserts petty dominance for minimal gain while causing public humiliation for Tina.
Bree targets Tina because another Glee member became Prom Queen	Bree	Glee Club	15	10	Stupid	Motivated by resentment, she punishes the wrong person and fosters hostility without real benefit.
Tina cries frequently and breaks down at slight provocation	Tina	Tina	25	40	Helpless	Her over-sensitivity hurts her functioning while only marginally eliciting sympathy or support.
Writers make Tina a satellite character with few stories	Writers/TPTB	Tina	55	30	Bandit	Focusing on others may benefit ratings while limiting her development and presence.
Tina begins to actively rebel against being a satellite character	Tina	Writers/Status quo	78	65	Intelligent	Pushing for more agency helps her and can enrich the narrative for viewers.
Tina starts extremely shy and avoids people with her stutter	Tina	Tina/Others	35	40	Helpless	Her avoidance protects her from anxiety but limits her growth and genuine connections.
Tina gradually grows out of her shyness	Tina	Tina/Peers	82	80	Intelligent	Overcoming shyness benefits her confidence and her relationships.
Tina chooses Artie as a good-natured partner initially	Tina	Artie	70	70	Intelligent	Pursuing a kind partner supports a healthy relationship for both.
People keep making jabs about Tina using vapor rub on Blaine	Others	Tina	40	30	Bandit	They gain humor/social bonding by repeatedly embarrassing her over a past mistake.
Tina is portrayed as a perky goth and even lampshades it herself	Tina	Audience/Peers	65	60	Intelligent	Owning and joking about her persona strengthens her identity and social rapport.
Show averts One-Steve Limit by having two unrelated Changs	Writers/Audience	Audience	55	60	Intelligent	The naming gag adds humor and clarity with no evident harm.
Star Wars-themed opening clarifies Mike and Tina “no relation”	Writers/Audience	Audience	60	65	Intelligent	Lampshading their shared surname entertains and prevents confusion.
Tina maintains an elaborate, varied wardrobe throughout	Tina	Audience/Peers	60	60	Intelligent	Her outfits express individuality and add visual interest, helping her image without harm.
